id,langpair,source,hyp+,hyp-
0,fr-en,Martelly a intronisé hier un nouveau Conseil électoral (CEP) composé de neuf membres.,Martelly has installed here a new electoral council (CEP) composed of nine members.,"Martelly has installed here a new electoral council (CEP) composed of nine members, but the council is not operational yet."
1,fr-en," est relativement facile en italien, car la plupart des mots sont prononcés exactement comme ils sont écrits","It is relatively easy to learn Italian, as most of the words are pronounced exactly as they are written.","It is relatively difficult to learn Italian, as most of the words are pronounced exactly as they are written."
2,fr-en,"Le mysticisme peut être distingué des autres formes de culte et de croyance à caractère religieux par son accent sur l'expérience personnelle directe d'un état de conscience, notamment dans le cas d'une personnalité paisible, intuitive, heureuse, voire extatique.","Mysticism can be distinguished from other forms of cult and belief by its emphasis on personal experience of a conscious state, particularly in the case of a peaceful, intuitive, sheltered, or ecstatic personality.",Mysticism can be distinguished from other forms of cult and belief by its emphasis on religious authority and tradition.
3,fr-en,Northern avait sollicité une aide en raison de son exposition aux effets de la crise des subprimes en 2007.,,
4,fr-en,"Au fil du temps, à mesure que la population s'adapte à son nouvel environnement, elle commence à ressembler de moins en moins à l'autre population.","As the population adapts to its new environment, it begins to resemble the other population less and less.","As the population adapts to its new environment, it begins to resemble the other population more and more."
5,fr-en,"L'archipel est un État en libre association avec la Nouvelle-Zélande, situé en Polynésie, au milieu de l'océan Pacifique sud.",,
6,fr-en,"Bien que Goma soit raisonnablement sûre, toute visite doit faire l'objet de recherches pour comprendre l'état des combats qui persistent dans la province du Nord-Kivu.",,
7,fr-en,Donnez également des exemplaires de la réglementation et des contacts aux compagnons et aux parents ou amis à la maison qui sont prêts à vous aider.,You can also give some advice and contacts to your friends and family at home who are willing to help you.,You can also give some advice and contacts to your friends and family at home who are ready to help you.
8,fr-en,"Parmi les sports populaires figurent le football, le basket-ball, le volley-ball, le water-polo, l'escrime, le rugby, le cyclisme, le hockey , le roller hockey et la Formule 1.","Popular sports include football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and Formula 1.","The most popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and Formula 1."
9,fr-en,"La société de gestion du groupe, HK Management Inc, n’a pas donné de raison initiale à l’annulation le 20 septembre, mais a invoqué des raisons logistiques dès le lendemain.","The group management company, HK Management Inc, did not initially give a reason for the cancellation on 20 September, but invoked logistical reasons the following day.","The group management company, HK Management Inc, canceled the event on 20 September due to logistical issues."
10,fr-en,"En avril de cette année, une ordonnance de blocage temporaire a été prononcée par le juge Glynn contre l'établissement pour imposer la libération des personnes détenues plus de 24 heures après leur admission et n'ayant pas été entendues par un commissaire du tribunal.",An order was issued by Judge Glynn to temporarily block the establishment in order to free people who have been detained for more than 24 hours and have not been heard by a police officer.,An order was issued by Judge Glynn to temporarily block the establishment in order to free people who have been detained for more than 24 hours and have not been heard by a commissioner of the tribunal.
11,fr-en,Le problème a commencé le 1er janvier lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de nouvel an traditionnelles et régulières.,The problem began on January 1st when some local residents started complaining at the Obanazawa post office that they had not received their traditional and regular new year cards.,The problem began on January 1st when some local residents started complaining at the Obanazawa post office that they had not received their new year cards.
12,fr-en,"Ainsi, un permis d’entrée dans l’arrière-pays pour toute date de début au cours du mois de mai devient valable le 1er janvier.",A permit to enter the outback becomes valid on January 1st for any date of commencement in May.,"A permit to enter the outback becomes valid on January 1st for any date of commencement in May, regardless of the date of the commencement."
