id,source,hyp+,hyp-,prompt
0,It has enabled us to support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout Europe.,It has enabled us to foster a collaborative environment and provide opportunities for individuals to enhance their skills across Europe.,It has enabled us to provide financial assistance and create a platform for sharing experiences across Europe.,"
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
1,"Therefore, I am calling for an increase in the premiums for all varieties of leaf tobacco for the 1999, 2000 and 2001 harvests.","An increase in premiums for leaf tobacco is necessary for the 1999, 2000 and 2001 harvests.","An decrease in premiums for leaf tobacco is necessary for the 1999, 2000 and 2001 harvests.","
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
2,"In other words, a person may be prevented from coming near their victim when there is reason to fear that violent acts will be carried out again.",A person may be prevented from coming near their victim when there is reason to fear that violent acts will be carried out again.,A person may be able to get closer to their victim when there is reason to fear that violent acts will be carried out again.,"
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
3,None of my 34 amendments were adopted and my arguments against the ridiculous administrative burden proposed were not heeded.,"None of my proposed amendments were accepted, and my arguments against the excessive administrative burden proposed were ignored.","All of my proposed amendments were adopted, and my arguments against the ridiculous administrative burden proposed were heeded.","
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
4,"The final key feature of the report is its orientation. It aims to protest against certain drifts that are becoming evident, and I will mention two instances.","The report's final key feature is its orientation, which aims to protest against certain drifts that are becoming evident.","The report's final key feature is its orientation, which aims to promote certain drifts that are becoming evident.","
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
5,It is high time an appropriate level of social protection was created at European level for those whose work does not fit into the usual pattern.,A significant level of social protection should be implemented at the European level for individuals whose work does not align with the typical employment patterns.,The current employment patterns in Europe are well-aligned with the existing social protection measures.,"
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
6,"These sums, however, have still not produced the desired effect: the substantial fall in the average earnings of the Palestinians is proof of this.",The substantial fall in the average earnings of the Palestinians has shown that the current sums have not been effective.,The substantial fall in the average earnings of the Palestinians has shown that the current sums have been effective.,"
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
7,"Mr President, the approach adopted by the rapporteur to the Commission\'s 1999 annual economic report is comprehensive and also sensible.",The approach adopted by the rapporteur to the Commission's 1999 annual economic report is comprehensive and well-structured.,The approach adopted by the rapporteur to the Commission's 1999 annual economic report is superficial and lacking in substance.,"
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
8,"The Berlin summit, which will focus solely on Agenda 2000, is of particular importance for the future of the European Union.","The Berlin summit, focused on Agenda 2000, holds significant importance for the future of the European Union.","The Berlin summit, focused on Agenda 2000, holds significant importance for the future of the European Union, but not necessarily in a positive way.","
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
9,"As a result, I cannot promise the chairman of the Committee on Budgets that there will be 100 % funding for the financial programme.",I cannot guarantee the chairman of the Committee on Budgets that there will be complete funding for the financial programme.,There will be 100 % funding for the financial programme as promised to the chairman of the Committee on Budgets.,"
       <start_of_turn>user
      As an AI model, your task is to generate two paraphrases based on the given source text. The first paraphrase, labeled as 'hyp+', should be supported by the source text. The second paraphrase, labeled as 'hyp-', should not be supported by the source text.
      Here's an example to illustrate this:
      Source: The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.
      hyp+: In the majority of Sweden's 280 municipalities, the population has gone down.
      This is a paraphrase that is supported by the source. It's saying essentially the same thing as the source: the population has decreased in most municipalities. The wording is different, but the meaning is the same. Hence, it's labeled as 'hyp+'.
      hyp-: In the majority of Sweden's 280 municipalities, the population has gone up.
      This is a paraphrase that is not supported by the source. It's saying the opposite of what the source says: the population has increased in most municipalities. This contradicts the information in the source. Hence, it's labeled as 'hyp-'.
      Now, given the source text below, generate 'hyp+' and 'hyp-' paraphrases and provide the result in the following format: {answer_format}
      Source: {source}
      <end_of_turn>
      Result:
      <start_of_turn>model
      "
