id,label
0,hyp2
1,
2,hyp1
3,hyp2
4,hyp2
5,hyp2
6,hyp1
7,hyp2
8,hyp2
9,hyp2
10,hyp1
11,hyp1
12,hyp1
13,hyp2
14,hyp1
15,hyp1
16,
17,hyp2
18,hyp2
19,hyp1
20,hyp2
21,hyp2
22,hyp2
23,hyp2
24,hyp2
25,hyp1
26,
27,hyp2
28,
29,hyp1
30,hyp2
31,hyp2
32,hyp1
33,hyp1
34,hyp1
35,hyp2
36,hyp2
37,hyp1
38,hyp2
39,hyp1
40,hyp1
41,hyp2
42,hyp2
43,hyp1
44,hyp2
45,hyp2
46,hyp2
47,hyp1
48,hyp2
49,hyp2
50,hyp2
51,hyp1
52,hyp2
53,hyp2
54,hyp1
55,hyp2
56,hyp2
57,hyp1
58,hyp1
59,hyp1
60,hyp1
61,hyp1
62,hyp1
63,hyp2
64,hyp2
65,hyp1
66,hyp1
67,hyp1
68,hyp2
69,hyp1
70,hyp1
71,hyp1
72,hyp1
73,hyp1
74,hyp2
75,
76,hyp2
77,hyp1
78,hyp2
79,hyp2
80,
81,hyp2
82,hyp1
83,hyp1
84,hyp2
85,
86,
87,hyp1
88,hyp2
89,hyp2
90,hyp2
91,hyp2
92,hyp2
93,hyp1
94,hyp2
95,hyp1
96,hyp1
97,hyp1
98,hyp1
99,hyp2
