id,hyp+,hyp-
0,"In countries, the offering of luxury guesthouses has been elevated to an art form today.","In countries, the offering of luxury guesthouses has been elevated to a new art form today."
1,"The practice of releasing photos is common in the UK, but the Scottish justice system works differently, and the courts have ruled that the publication of photos is potentially harmful.","The practice of releasing photos is not common in the UK, and the Scottish justice system works differently, and the courts have ruled that the publication of photos is potentially harmful."
2,The fossil evidence suggests that the separation occurred much earlier than was expected based on the available documentation.,The fossil evidence suggests that the separation occurred much later than was expected based on the available documentation.
3,"We will never be overtaken by a car, build a fountain in our backyard, travel to investigate ancient ruins, or remodel our neighbor's house.","We will never be able to afford a car, build a fountain in our backyard, travel to investigate ancient ruins, or remodel our neighbor's house."
4,"An Avenger-class minelaying ship, the ship was on its way to Palawan.","A ship of the Avenger class, the ship was sailing to Palawan."
5,The peak was a sacred temple for the god.,The peak was a secret place for the god.
6,Cold weather might be the only danger that could overcome unprepared people.,Cold weather is probably the only danger that could overcome unprepared people.
7,"Flying near an airport or over a crowd of people is usually a bad idea, even if it is not illegal in their area.","Flying near an airport or over a crowd of people is always a good idea, even if it is not illegal in their area."
8,The US Navy is investigating the incident.,The US Navy is conducting an investigation.
9,"In the last 20 years, the selection in Uptown Charlotte has increased exponentially.","In the last 20 years, the selection in Uptown Charlotte has decreased exponentially."
10,Perry explained that he would return to Texas to evaluate the results of the election later and decide whether there was a future path for him in this race.,Perry stated that he would remain in the race and compete in the South Carolina primary on January 21st.
11,Huhne und Pryce are scheduled to appear before the Westminster Magistrates Court on February 16th.,Huhne und Pryce are scheduled to appear in court on February 16th.
12,"Bachmann, who won the Ames-Probeumfrage in August, decided to end his campaign.","Bachmann, who won the Ames-Probeumfrage in August, decided to continue his campaign."
13,"A meeting was held at the East Bay Community Law Center on March 20th for victims of real estate fraud, after it was clear that many families were seeking legal help to fight against evictions.","A meeting was held at the East Bay Community Law Center on March 20th for victims of real estate fraud, after it was clear that many families were seeking legal help to defend themselves against evictions."
14,"The majority of COVID-19 regulations varied, but as of the end of March, most regulations had been lifted by July 2020, the date of the planned Olympic Games.","The majority of COVID-19 regulations varied, but as of the end of March, most regulations had been lifted by July 2020, regardless of the Olympic Games."
15,The rock band should tour the United States and Canada until September 16th.,The rock band should tour the United States and Canada until the 16th of September.
16,"The height of the passage under the bridge is 15 meters. The construction work was completed in August 2011, but the bridge was not opened to traffic until March 2017.","The height of the passage under the bridge is 15 meters. The construction work was completed in August 2011, but the bridge was opened to traffic in March 2017."
17,The lawyer demanded that the accountant submit the documents.,The lawyer requested that the accountant provide documents.
18,The salesman tried to convince the designer that nobody would buy the design.,The salesman tried to convince the designer that the design would be a flop.
