id,source,hyp1,hyp2,prediction
0,"I would also like to draw attention to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with trial releases."," the speaker wants to highlight amendments nos. 27, 29, and 32, which are related to public involvement in trials before their release.", the speaker mentioned some random amendments with no specific connection to trials or public participation.,hyp2
1,"It is we politicians who are most concerned, because we understand the link between energy consumption and CO2 emissions.",Politicians are the most concerned because they comprehend the connection between energy usage and CO2 emissions.,Politicians are not really worried about the relationship between energy consumption and CO2 emissions.,hyp2
2,An important factor here is that the pay and other working conditions of those employed in navigation should be in line with those of other occupations.,It is crucial that the salary and benefits of workers in the navigation industry are comparable to those in other professions.,One key aspect to consider is that the compensation and perks of employees in the field of navigation must be significantly higher than those in other lines of work.,hyp2
3,There are four points in relation to which the Committee on Agriculture and Rural Development has made changes which we believe will be adopted.,The Committee on Agriculture and Rural Development has made changes to four points that will be adopted.,The Committee on Agriculture and Rural Development has made changes to four points that will not be adopted.,hyp2
4,People would think we were mad if we said tomorrow that drivers were allowed to take their cars on the road without an insurance certificate.,"If we were to announce tomorrow that drivers could drive without an insurance certificate, people would consider us crazy.",It would be considered normal if we suddenly declared that drivers could operate their vehicles without insurance certificates.,hyp2
5,An important report was also put together under the leadership of Susan Waddington extending the debate to cover the issue of the trade in women.,Susan Waddington was solely responsible for compiling the report on the trade in women.,Susan Waddington led the effort to compile a significant report that expanded the discussion to include the topic of trafficking women.,hyp1
6,"Madam President, in yesterday's International Herald Tribune, the following appeared in the section 'News from 50 years ago'.",A recent article in the International Herald Tribune revisited historical news from the past.,The International Herald Tribune has been publishing fake news for decades.,hyp2
7,"Thirdly, the Commission agrees with the preoccupation of the rapporteur as far as the famous RAL, reste à liquider , the backlog, is concerned.",The Commission agrees with the preoccupation of the rapporteur as far as the backlog is concerned.,The Commission agrees with the preoccupation of the rapporteur as far as the famous RAL is concerned.,hyp2
8,I hope that the Euro-Mediterranean Conference to held in Stuttgart between 4 and 6 April will enable us to make progress in that direction., the euro-mediterranean conference taking place in stuttgart from 4 to 6 april is expected to help us move forward in this regard., the euro-mediterranean conference planned in stuttgart during april 4th to 6th will definitely lead us to success.,hyp2
9,"Mr President, let me express my thanks for the preceding remarks and extend a special welcome to my honourable colleague the Transport Commissioner.",I would like to strongly disagree with the previous comments and dismiss the Transport Commissioner's role.,I would like to take a moment to express my gratitude for the previous comments and warmly welcome the esteemed Transport Commissioner.,hyp1
10,We need to ensure that investigations at the external borders of the EU are effective and to investigate the main routes used for illegal activities.,It is important to guarantee that inquiries conducted at the EU's external borders are efficient and to examine the primary pathways utilized for unlawful actions.,It is crucial to make sure that inspections at the outer boundaries of the EU are successful and to explore the key paths employed for illicit operations.,hyp2
11,"I am referring to the current vote but in relation to a vote that will take place later, namely the vote on Amendment No 98.","The current vote, as well as the upcoming vote on Amendment No 98, is being discussed.","The current vote is being discussed in relation to the upcoming vote on Amendment No 98, which will take place later.",hyp1
12,"As a result, we would like to be convinced that these cooperation agreements are not going to contribute to such extremely dangerous research.","Consequently, we are eager to see that these collaborative arrangements will lead to more hazardous research.","Therefore, we want to be assured that these partnership deals will not support such highly risky studies.",hyp1
13,The current status quo of a 12-mile limit for the area is the best possible compromise for the whole of the French fishing sector.,The French fishing sector considers the existing 12-mile limit as the most suitable compromise.,The French fishing industry is unhappy with the current 12-mile limit and is pushing for a larger area to be designated for fishing.,hyp2
14,Berlin was the scene of his rise to fame and it was to Berlin that he returned in 1945 to promote dialogue with the German people.,Berlin is where he became famous and where he went back in 1945 to encourage communication with the German population.,"Berlin was where he achieved fame and in 1945, he went back to Berlin to avoid interacting with the German people.",hyp2
15,"Madam President, in yesterday's International Herald Tribune, the following appeared in the section 'News from 50 years ago'."," as stated in the 'retrospective news' section of the international herald tribune from yesterday, the following information was presented."," i går i en annan tidning än international herald tribune, stod det något annat än vad ni just",hyp2
16,"In addition, the Commission is unable to accept Amendments Nos 27 and 28, because they go beyond the scope of this programme.",The Commission is unable to accept Amendments Nos 27 and 28 because they are outside the scope of this programme.,"The Commission is able to accept Amendments Nos 27 and 28, because they are within the scope of this programme.",hyp2
17,"Mrs Haug's report is an important addition to the Agenda 2000 debate, and to the ongoing preparation process for the next phase of the programme.",Mrs Haug's report is an important addition to the Agenda 2000 debate and the ongoing preparation process for the next phase of the programme.,Mrs Haug's report is not an important addition to the Agenda 2000 debate.,hyp2
