id,langpair,source,hyp+,hyp-
0,en-de,He graduated from the College of Arts & Sciences in 1950 and was a significant donor to that institution.,Er schloss sein Studium an der Kunst- und Wissenschaftlichen Akademie im Jahr 1950 und war ein bedeutender Stifter der Institution.,Er schloss sein Studium an der Kunst- und Wissenschaftlichen Akademie im Jahr 1950 und war ein wichtiger Stifter der Institution.
1,en-de,"Most are independent nations, or associated with France, and known as luxury beach resorts.","Die meisten Nationen sind unabhängige Nationen, oder mit Frankreich assoziiert, und sind bekannt als Luxus-Strand Resorts.","Die meisten Nationen sind unabhängige Nationen, oder mit Frankreich assoziert, und sind als beliebte Strand Resorts bekannt."
2,en-de,But there are a lot of things about birds that look like a dinosaur.,"Es gibt viele Dinge bei Vögeln, die wie ein Dinosaurier aussehen.","Es gibt viele Dinge bei Vögeln, die wie ein Dinosaurier aussehen, aber sie sind nicht."
3,en-de,"The police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","Die Polizei hatte Probleme, ihre Geschwindigkeitsradargeräte zu benutzen, um, wie schnell Mr. Reid unterwegs war, weil die Black Beauty niedrig war, und die einzige Zeit, in der die Polizei Mr. Reid entschlog, war, als er sich verlangsamte auf 160km/h.","Die Polizei hatte Probleme, ihre Geschwindigkeitsradargeräte zu benutzen, um, wie schnell Mr. Reid unterwegs war, weil die Black Beauty niedrig war, und die einzige Zeit, in der die Polizei Mr. Reid entschlog, war, als er sich beschleunigte auf 160km/h."
4,en-de,"""The Giza Plateau, or """"Giza Necropolis"""" in the Egyptian Valley of the Dead contains several pyramids (of which the pyramid is the largest), several small tombs, several temples, and the great Sphinx.""",,
5,en-de,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.",,
6,en-de,"The temple of Artemis was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",Das Tempel der Artemis wurde am 21. Juli 356 v.Chr. durch einen Akt der Brandstiftung durch Herostratus niedergerissen.,Das Tempel der Artemis wurde am 21. Juli 356 v.Chr. durch einen Brand niedergerissen.
7,en-de,"South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Stadium in Rustenburg, South Africa.","Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Tri-Nations-Match im Royal Stadium in Rustenburg, Südafrika, gewonnen.","Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Tri-Nations-Match in Rustenburg, Südafrika, verloren."
8,en-de," condition is stable, though he will be isolated at home for several days.","Die Situation ist stabil, obwohl er infolge der Isolation zu Hause mehrere Tage verbringen wird.","Die Situation ist stabil, obwohl er infolge der Isolation zu Hause mehrere Tage verbringen wird, und er wird isoliert sein."
9,en-de,"The world has over 5,000 different languages, more than twenty with 50 million or more speakers.","Die Welt hat über 5.000 verschiedene Sprachen, mehr als zwanzig mit 50 Millionen oder mehr Sprechern.","Die Welt hat mehr als 5.000 verschiedene Sprachen, mehr als zwanzig mit 50 Millionen oder mehr Sprechern."
10,en-de,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.",,
11,en-de,Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.,"Es wurde in der Woche Anfang Februar durch mehrere Personen bestätigt, dass die Entdeckung mittels verschiedener Hardware und Software durchgeführt wurde, und es wurde am Dienstag veröffentlicht.","Es wurde in der Woche Anfang Februar durch mehrere Personen bestätigt, dass die Entdeckung mittels verschiedener Hardware und Software durchgeführt wurde, und es wurde am Dienstag veröffentlicht, nachdem die Entdeckung gemacht wurde."
12,en-de,"Searches at security checkpoints have also become far more intrusive in the post-September 11, 2001 era.",Suche bei Sicherheitskontrolle sind nach dem 11. September 2001 erheblich geworden.,Suche bei Sicherheitskontrolle sind seit dem 11. September 2001 erheblich geworden.
13,en-de,Huhne and Pryce are scheduled to appear at the Westminster Magistrates Court on February 16.,Huhne und Pryce werden am 16. Februar in Westminster-Magistratsgericht erscheinen.,"Huhne und Pryce werden am 16. Februar in Westminster-Magistratsgericht erscheinen, um ihre Rechte zu vertreten."
14,en-de,"Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.","Der größte bekannte Primzahl, die jemals entdeckt wurde, wurde am 25. Januar gefunden.","Der größte bekannte Primzahl, der jemals entdeckt wurde, wurde am 25. Januar entdeckt."
15,en-de,The largest tournament of the year takes place in December at the polo fields in Las Cañitas.,Der größte Turnier des Jahres findet im Dezember auf den Polofields in Las Cañitas statt.,Das größte Turnier des Jahres findet in Dezember in Las Cañitas statt.
16,en-de,Box jellyfish occur near beaches and near river estuaries from October to April north of 1770. They can occasionally be found outside these times.,Box jellyfish occur near beaches and near river estuaries from October to April north of 1770. They can occasionally be found outside these times.,Box jellyfish occur near beaches and near river estuaries from October to April north of 1770. They are sometimes found outside these times.
17,en-de,"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.",,
18,en-de,"The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.",,
