id,label
0,hyp2
1,hyp1
2,hyp2
3,hyp1
4,Neither
5,hyp1
6,hyp2
7,hyp1
8,hyp2
9,hyp1
10,hyp1
11,hyp1
12,hyp1
13,hyp1
14,hyp2
15,hyp1
16,hyp1
17,hyp2
18,hyp2
19,hyp1
20,hyp2
21,hyp1
22,hyp2
23,hyp1
24,hyp1
25,hyp1
26,hyp1
27,hyp1
28,hyp2
29,hyp2
30,hyp1
31,hyp1
32,hyp2
33,
34,hyp1
35,hyp2
36,hyp1
37,hyp1
38,hyp2
39,hyp2
40,hyp2
41,hyp1
42,hyp1
43,hyp1
44,hyp1
45,hyp2
46,hyp2
47,hyp2
48,hyp1
49,hyp1
50,hyp1
51,hyp1
52,hyp1
53,hyp1
54,hyp1
55,hyp2
56,hyp1
57,hyp2
58,hyp2
59,hyp1
60,hyp1
61,hyp2
62,hyp1
63,hyp1
64,hyp1
65,
66,hyp2
67,hyp2
68,hyp2
69,hyp1
70,hyp2
71,hyp2
72,hyp2
73,hyp1
74,hyp2
75,hyp1
76,hyp1
77,hyp2
78,hyp1
79,hyp1
80,hyp2
81,hyp2
82,hyp1
83,hyp2
84,hyp1
85,hyp1
86,hyp1
87,hyp2
88,hyp2
89,hyp2
90,hyp1
91,hyp1
92,hyp2
93,hyp2
94,hyp2
95,hyp1
96,hyp1
97,hyp1
98,hyp2
99,hyp1
