id,source,hyp1,hyp2,prediction
0,It has enabled us to support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout Europe.,You can support and encourage an exchange of experiences to raise the level of competence in Europe.,We can support and encourage an exchange of experiences to raise the level of competence in Europe.,hyp2
1,"Therefore, I am calling for an increase in the premiums for all varieties of leaf tobacco for the 1999, 2000 and 2001 harvests.",I want to see a decrease in the premiums for all varieties of leaf tobacco.,I want to see an increase in the premiums for all varieties of leaf tobacco.,hyp1
2,"In other words, a person may be prevented from coming near their victim when there is reason to fear that violent acts will be carried out again.","When there is reason to fear that a violent act will be carried out again, a person may not be allowed to come near their victim.","When there is reason to fear that a violent act will be carried out again, a person may not be allowed to come near her victim.",hyp2
3,None of my 34 amendments were adopted and my arguments against the ridiculous administrative burden proposed were not heeded.,Our arguments against the ridiculous administrative burden were not heard.,My arguments against the ridiculous administrative burden were not heard.,hyp1
4,"The final key feature of the report is its orientation. It aims to protest against certain drifts that are becoming evident, and I will mention two instances.","The final main feature of the report is its orientation protesting against drifts, and I will provide two instances of that.",The final features of the report are its orientation and two instances.,hyp1
5,It is high time an appropriate level of social protection was created at European level for those whose work does not fit into the usual pattern.,It's time for an appropriate level of social protection for those whose work doesn't fit into the usual pattern.,"It's time for an appropriate level of social protection for those whose work doesn't fit into the usual pattern, such as firefighters or security officers. ",hyp2
6,"These sums, however, have still not produced the desired effect: the substantial fall in the average earnings of the Palestinians is proof of this.",The fall in average earnings of Egyptians is proof that these sums have not produced the desired effect.,The fall in average earnings of Palestinians is proof that these sums have not produced the desired effect.,hyp1
7,"Mr President, the approach adopted by the rapporteur to the Commission\'s 1999 annual economic report is comprehensive and also sensible.",The approach taken by the rapporteur to the 1997 annual economic report is comprehensive and sensible.,The approach taken by the rapporteur to the 1999 annual economic report is comprehensive and sensible.,hyp1
8,"The Berlin summit, which will focus solely on Agenda 2000, is of particular importance for the future of the European Union.",The future of the European Union is important to the Berlin summit.,The Berlin summit is important to the future of the European Union.,hyp1
9,"As a result, I cannot promise the chairman of the Committee on Budgets that there will be 100 % funding for the financial programme.",I can't promise that there will be 100 percent funding for the financial program.,"Because of this, it's not possible for me to promise the chairman of the Committee on Budgets that there would be 210 % funding for the financial programme.",hyp2
