id,source,hyp1,hyp2,prediction
0,Romney tillkännager Paul Ryan som vicepresidentkandidat.," romney utser paul ryan som sin running mate i valet. (denna parafras är mindre strikt eftersom ""utse"" kan ha en något annorlunda konnotation än ""tillkännage"".)", romney offentliggör att paul ryan blir hans medkandidat i presidentvalet.,hyp2
1,Syriens militärpolischef hoppade av till opposition,"Syriens militärpolischef hoppade av till opposition, vilket minskade intäkterna från mjukvarulicenser med 21 procent till 107,6 miljoner dollar.","Syriens militärpolischef hoppade av till opposition, vilket ökade intäkterna från mjukvarulicenser med 21 procent till 107,6 miljoner dollar.",hyp2
2,"Yahoo går med på att köpa Tumblr för 1,1 miljarder dollar kontant.","Yahoo har för avsikt att sälja Tumblr till en annan företag för en högre summa än 1,1 miljarder dollar.","Yahoo har avtalat att förvärva Tumblr för en summa av 1,1 miljarder dollar i kontanter.",hyp2
3,"Önationen rapporterade 65 nya fall den 22 maj, ett endagsrekord, och 55 nya fall den 23 maj, vilket gör Taiwans epidemi till den snabbast växande i världen.",Taiwans epidemi har inte sett någon ökning av nya fall under de senaste dagarna och situationen förblir stabil.,"Taiwans epidemi har sett en ökning av 65 nya fall den 22 maj, vilket var det högsta antalet på en dag hittills. Dessutom rapporterades 55 nya fall den 23 maj, vilket visar på en fortsatt ökningstrend i landet.",hyp1
4,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,Nordkoreas ledare Kim Jong-un säger att en amerikansk medborgare ska ställas inför rätta.,Nordkoreas ledare Kim Jong-un säger att en amerikansk medborgare ska ställas inför rätta.,hyp2
5,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på onsdag.,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på onsdag.,Bush planerar att träffa Israels premiärminister Ariel Sharon och den nya palestinske premiärministern Mahmoud Abbas i den jordanska hamnen Aqaba på en nära framtid.,hyp2
6,"Rörelseintäkterna var 1,45 miljarder dollar, en ökning jämfört med förra årets resultat på 1,38 miljarder dollar. ","Rörelseintäkterna var 1,45 miljarder dollar, vilket innebär en tillväxt på 11% jämfört med föregående år.","Rörelseintäkterna var 1,38 miljarder dollar, vilket innebär en tillväxt på 4% jämfört med föregående år.",hyp2
7,Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen.,Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen.,"Indiska trupper som redan kämpar mot rebeller i Kashmir är nu engagerade i en massiv kampanj för att förstöra vallmogrödor i regionen, vilket kommer att öka intäkterna i de flesta kommunerna.",hyp2
8,Syrien förnekar att de har ett odeklarerat kärnkraftsprogram.,Syrien förnekar inte att de har ett odeklarerat kärnkraftsprogram.,Syrien förnekar att de har ett odeklarerat kärnkraftsprogram.,hyp1
9,En flicka som leker i en hög med färgglada bollar.,Leksaken blir mer upphetsad när bollarna är mindre.,Leksaken leker på bollarna och blir mer upphetsad när bollarna är färgglada.,hyp1
