id,source,hyp+,hyp-,prompt
0,It has enabled us to support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout Europe.,It has allowed us to back and promote a sharing of experiences and engage in efforts to enhance skills across Europe.,It has made it difficult for us to provide support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout Europe.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
1,"Therefore, I am calling for an increase in the premiums for all varieties of leaf tobacco for the 1999, 2000 and 2001 harvests.","As a result, I am proposing a rise in the prices of all types of leaf tobacco for the harvests of 1999, 2000, and 2001.","Consequently, I am suggesting a decrease in the premiums for all types of leaf tobacco for the 1999, 2000, and 2001 harvests.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
2,"In other words, a person may be prevented from coming near their victim when there is reason to fear that violent acts will be carried out again.","Put differently, an individual might be stopped from approaching their target if there is a concern that further violent actions will occur.","Conversely, a person might not be allowed to approach their victim if there is no indication of potential violent behavior.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
3,None of my 34 amendments were adopted and my arguments against the ridiculous administrative burden proposed were not heeded.,None of the 34 changes I suggested were accepted and my objections to the excessive administrative workload were ignored.,My suggestions for amendments were all rejected and my concerns about the unreasonable administrative workload were dismissed.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
4,"The final key feature of the report is its orientation. It aims to protest against certain drifts that are becoming evident, and I will mention two instances.","The report's ultimate crucial aspect is its focus. It intends to oppose specific trends that are becoming apparent, and I will highlight two examples.","The report's main characteristic is its layout. It seeks to support certain shifts that are becoming noticeable, and I will discuss two cases.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
5,It is high time an appropriate level of social protection was created at European level for those whose work does not fit into the usual pattern.,It is long overdue to establish a suitable level of social security at the European level for individuals whose employment does not conform to the typical structure.,It is essential to implement a comprehensive social welfare system at the European level for workers who follow the traditional employment model.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
6,"These sums, however, have still not produced the desired effect: the substantial fall in the average earnings of the Palestinians is proof of this.","Despite this, the desired outcome has not been achieved by these amounts: the significant decrease in the Palestinians' average income serves as evidence of this.","The funds, on the other hand, have successfully led to the desired impact: the significant rise in the average earnings of the Palestinians is a clear indication of this.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
7,"Mr President, the approach adopted by the rapporteur to the Commission's 1999 annual economic report is comprehensive and also sensible.","The rapporteur's approach to the Commission's 1999 annual economic report is thorough and reasonable, according to the President.","The rapporteur's approach to the Commission's 1999 annual economic report is lacking in depth and logic, according to the President.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
8,"The Berlin summit, which will focus solely on Agenda 2000, is of particular importance for the future of the European Union.","The Berlin meeting, which will concentrate exclusively on Agenda 2000, holds significant significance for the European Union's future.","The Berlin conference, which will discuss only Agenda 2000, is not relevant to the European Union's future.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
9,"As a result, I cannot promise the chairman of the Committee on Budgets that there will be 100 % funding for the financial programme.","Therefore, I am unable to guarantee the chairman of the Budgets Committee that the financial program will receive full funding.","Consequently, I can assure the chairman of the Budgets Committee that the financial program will be fully funded.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
10,"We voted for Amendments Nos 22 to 25, even though they do not take adequate measures to prevent these problems from happening.",We supported Amendments Nos 22 to 25 despite their lack of sufficient measures to address these issues.,We opposed Amendments Nos 22 to 25 due to their failure to address these issues adequately.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
11,"Secondly, we say that the type approval rules as from 2005 must provide in precise terms that new cars must be recycling-friendly.","Furthermore, we argue that the regulations concerning type approval starting in 2005 should clearly state that newly manufactured vehicles need to be environmentally sustainable.","Additionally, it is important to note that the regulations for type approval since 2005 do not emphasize the importance of new cars being eco-friendly.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
12,"B4-0188/99 by Mrs d'Ancona, on behalf of the PSE Group, on the death penalty against Greg Summers - Texas, USA; Leonard Peltier","Mrs d'Ancona presented B4-0188/99 on behalf of the PSE Group, addressing the issue of the death penalty in Texas, USA, specifically concerning Greg Summers and Leonard Peltier.","The PSE Group introduced B4-0188/99 regarding the death penalty in Texas, USA, focusing on Greg Summers and Leonard Peltier.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
13,"We struggle with water on a daily basis in the Netherlands - in the polders, the delta where the Meuse, the Rhine and the Scheldt flow into the sea.","Every day in the Netherlands, we face challenges related to water management in areas like the polders and the delta where the Meuse, the Rhine, and the Scheldt rivers meet the sea.","Water management is not a major concern in the Netherlands, even in regions like the polders and the delta where multiple rivers converge.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
14,"It may lower costs by 10 % and is, of course, only applicable over the shorter road legs of the combined transport journey.",It might reduce expenses by 10% and is specifically relevant for the shorter segments of the multimodal transport trip.,It could potentially decrease expenses by 10% and is mainly suitable for the longer road legs of the combined transport journey.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
15,"Nothing has been done in the 27 years since then, while we have liberalised sea transport, air transport and road transport.","No progress has been made in the 27 years since then, despite the liberalization of sea transport, air transport, and road transport.","Significant advancements have been achieved in the 27 years since then, following the liberalization of sea transport, air transport, and road transport.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
16,"This concerns the applicant countries which are still in the process of membership negotiations, but which in the meantime are being discriminated against.","This pertains to the candidate nations that are currently engaged in talks for joining, yet are facing discrimination in the interim.",This relates to the potential member states that are not involved in the membership negotiations and are not facing any discrimination.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
17,"I would be grateful if you could tell me whether or not Rambouillet was a European Union initiative or a Franco-British initiative, as I did not quite understand this point.","I would appreciate it if you could clarify whether Rambouillet was initiated by the European Union or by France and Britain, as I am unclear on this matter.","I am curious to know if Rambouillet was a joint effort between the European Union and the United States, as I am confused about this aspect.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
18,"Madam President, I referred earlier to inherited inertia, and this leads me to the third group of amendments, to which Mr Fabre-Aubrespy referred.","Earlier, I mentioned the concept of inherited inertia, which brings me to the third set of amendments mentioned by Mr. Fabre-Aubrespy.","Madam President, I talked about the concept of genetic momentum, which brings me to the third set of amendments, as mentioned by Mr. Fabre-Aubrespy.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
19,"Other elements have contributed to the proposal to conclude this partnership agreement, especially the very worrying regional context in Central Asia.","Various factors have played a role in the suggestion to finalize this partnership deal, with particular emphasis on the concerning regional situation in Central Asia.",The decision to finalize this partnership agreement was solely based on the regional context in Central Asia.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
20,"A way must also be found to tax all kinds of cross-border capital movements which are carried out for profit, in order to put a brake, albeit in a limited way, on the increase in the volume of parasitic, speculative capital.","It is necessary to discover a method to impose taxes on various forms of international capital transfers made for financial gain, to slow down the growth of speculative capital.",Implementing taxes on cross-border capital movements is not a viable solution to control the rise of speculative capital.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
21,An important report was also put together under the leadership of Susan Waddington extending the debate to cover the issue of the trade in women.,Susan Waddington led the effort to compile a significant report that expanded the discussion to include the topic of trafficking women.,Susan Waddington was solely responsible for compiling the report on the trade in women.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
22,"Over recent years, these have largely been behind the development of a significant number of economic policies, which is good for employment.","In recent times, these factors have mainly contributed to the creation of numerous economic strategies that benefit job opportunities.","In the past, these factors have primarily influenced the establishment of various economic measures that support employment.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
23,"The presidency is very much of this view, as economic and political stability in Jordan is a crucial factor in peace-keeping in the Middle East.",The presidency strongly believes that economic and political stability in Jordan plays a vital role in maintaining peace in the Middle East.,The presidency is not concerned about the impact of economic and political stability in Jordan on peace-keeping in the Middle East.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
24,"In addition, the Commission is unable to accept Amendments Nos 27 and 28, because they go beyond the scope of this programme.","Furthermore, the Commission cannot approve Amendments Nos 27 and 28 as they exceed the program's scope.","Moreover, the Commission is able to consider Amendments Nos 27 and 28, even though they may not align with the objectives of the program.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
25,"On the contrary, things came to a head in the crisis and we now know for certain that this Augean stable at any rate is going to be cleaned out.","Conversely, the situation reached a critical point during the crisis, and it is now definite that this problematic situation will be resolved.","In contrast, the issue escalated during the crisis, and it is now clear that this messy situation will remain unresolved.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
26,"As you will remember, on 30 October 1997, the Commission presented a Community initiative for the European Capital of Culture.","On 30 October 1997, the Commission introduced a Community proposal for the European Capital of Culture, as you may recall.","The Commission announced a Community initiative for the European Capital of Culture on 30 October 1997, which is still fresh in your memory.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
27,A second point on the timing: this Committee of Experts will make its report available - if I recall correctly - on 15 March.,"The Committee of Experts is expected to release its report on 15 March, according to my memory.","The report from the Committee of Experts is scheduled to be published on 15 March, as per the information provided.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
28,There are four points in relation to which the Committee on Agriculture and Rural Development has made changes which we believe will be adopted.,The Committee on Agriculture and Rural Development has proposed modifications in four areas that are likely to be accepted.,The Committee on Agriculture and Rural Development has suggested alterations in four aspects that are expected to be rejected.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
29,"In the Nordic countries there are excellent examples of this, and for that reason I recommend that Amendment No 1 be rejected.","The Nordic countries provide great illustrations of this, which is why I suggest rejecting Amendment No 1.",Amendment No 1 should be accepted due to the lack of good examples in the Nordic countries.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
30,"It is we politicians who are most concerned, because we understand the link between energy consumption and CO2 emissions.",Politicians are the most concerned because they comprehend the connection between energy usage and CO2 emissions.,Politicians are not really worried about the relationship between energy consumption and CO2 emissions.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
31,"Having pressed the Commission to present this proposal, the Socialist Group - to which I have the privilege of belonging - now supports it enthusiastically.","After urging the Commission to introduce this proposal, the Socialist Group, of which I am a member, is now fully behind it.","The Socialist Group, to which I am honored to be a part of, is now opposing this proposal despite previously pushing the Commission to present it.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
32,"For example, unemployment is very high in Réunion and in the West Indies. Therefore, we should not devote our efforts to integrating unlimited numbers of immigrants.","Due to the high unemployment rates in Réunion and the West Indies, it is not advisable to focus on integrating a large influx of immigrants.",The high unemployment rates in Réunion and the West Indies are not a factor to consider when deciding on the integration of immigrants.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
33,"A uniform phased reduction of 3 % will primarily penalise the sectors of production which receive the most aid, such as tobacco growing.","A gradual decrease of 3% will mainly impact industries that benefit the most from subsidies, like tobacco cultivation.","A sudden cut of 3% will have a minimal effect on sectors that heavily rely on government assistance, like tobacco farming.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
34,The situation in India is appalling as 50 million women are missing because they are eliminated right from the stage of conception.,"In India, the current state is distressing with 50 million women missing due to being eliminated from conception onwards.",The condition in India is terrible with 50 million women missing because they are removed from the stage of birth.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
35,"Nevertheless, we want to limit the Council regulations to general provisions and to cover the remaining provisions in implementing regulations.","However, our aim is to restrict the Council regulations to basic rules and address the rest of the provisions in supplementary regulations.","However, we aim to expand the Council regulations to include specific provisions and not rely on implementing regulations.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
36,I hope that the Euro-Mediterranean Conference to held in Stuttgart between 4 and 6 April will enable us to make progress in that direction.,I am optimistic that the Euro-Mediterranean Conference scheduled to take place in Stuttgart from 4 to 6 April will help us move forward in that aspect.,I believe that the Euro-Mediterranean Conference in Stuttgart will not contribute to any progress in that regard.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
37,"In 1996, the Commission submitted its proposal to have Turkey included in the Socrates, Youth for Europe and Leonardo programmes.","In 1996, the Commission put forward its suggestion to incorporate Turkey into the Socrates, Youth for Europe, and Leonardo initiatives.","The Commission's proposal in 1996 did not involve including Turkey in the Socrates, Youth for Europe, and Leonardo programs.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
38,"We cannot accept Amendments Nos 19, 21 and 51, which are aimed at regulating the import and export of genetically modified organisms.","Amendments Nos 19, 21, and 51, targeting the control of genetically modified organisms' import and export, are not acceptable.","The proposed changes in Amendments Nos 19, 21, and 51 concerning the oversight of genetically modified organisms' trade are necessary.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
39,"I would also like to draw attention to Amendments Nos 27, 29 and 32 on public inquiries or consultation in connection with trial releases.","I would also want to highlight Amendments Nos 27, 29, and 32 regarding public inquiries or consultations related to trial releases.","I would also like to emphasize Amendments Nos 27, 29, and 32 on the topic of public inquiries or consultations concerning trial releases.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
40,"A true strategic partnership should be established with this great country of a billion inhabitants, compared with 1.2 billion in China.","It is important to form a genuine strategic alliance with this large nation of one billion people, in contrast to China's population of 1.2 billion.","Creating a sincere strategic collaboration with this vast country of a billion people is more crucial than ever before, surpassing China's population of 1.2 billion.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
41,"This is a positive development, and I can of course endorse the outcome which appears in the form of Compromise Amendments Nos 189 to 201.","I view this as a favorable progress, and I naturally support the result presented as Compromise Amendments Nos 189 to 201.","I see this as a negative development, and I cannot endorse the outcome reflected in Compromise Amendments Nos 189 to 201.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
42,"For instance, in the summer it would perhaps be possible to set up surveillance operations to detect the flimsy craft used to make the crossing.","During the summer, it might be feasible to establish monitoring activities to identify the fragile boats utilized for the journey.","In the winter, it could be easy to organize surveillance operations to spot the sturdy vessels used for the crossing.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
43,"The increase in the number of staff employed must be strictly controlled, and this is a point on which I disagree with the Committee of Wise Men.","It is essential to closely monitor the growth in the workforce, a stance that differs from that of the Committee of Wise Men.","The rise in staff numbers should be left unchecked, which aligns with the Committee of Wise Men.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
44,"The public must be aware of the collective responsibility borne by the whole Commission, but also of every individual Commissioner's accountability.","The public needs to understand the shared responsibility of the entire Commission, as well as the individual accountability of each Commissioner.",It is not necessary for the public to be informed about the joint responsibility of the Commission and the individual accountability of each Commissioner.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
45,We need to ensure that investigations at the external borders of the EU are effective and to investigate the main routes used for illegal activities.,It is important to guarantee that inquiries conducted at the EU's external borders are efficient and to examine the primary pathways utilized for unlawful actions.,It is crucial to make sure that inspections at the outer boundaries of the EU are successful and to explore the key paths employed for illicit operations.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
46,"For the same reason, we cannot accept Amendments Nos 5, 6, 7, 11, 16 and 20 or the second part of Amendments Nos 9 and 15.","Due to the identical rationale, Amendments Nos 5, 6, 7, 11, 16, and 20, as well as the latter portion of Amendments Nos 9 and 15, are not able to be approved.","For a similar rationale, Amendments Nos 5, 6, 7, 11, 16, and 20, along with the latter part of Amendments Nos 9 and 15, can be accepted.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
