id,source,hyp1,hyp2,label
0,The pirates were attacking the ship in order to capture the princess.,"Die Piraten griffen das Schiff an, um die Prinzessin und ihre Schatzkiste gefangen zu nehmen.","Die Piraten griffen das Schiff an, um die Prinzessin gefangen zu nehmen.",hyp1
1,"Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.","Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25th. (correct)","Curtis Cooper, ein Mathematiker und Informatikprofessor an der University of Central Missouri, hat am 25. Januar die größte bekannten Primzahl entdeckt.",hyp2
2,In the summer of 1924 he went to Smackover in South - Arkansas to work on the oil boom in an office in Norphlet near Union County.,Im Sommer 1924 machte er Urlaub in Smackover in Süd-Arkansas und entspannte sich am Ölboom in einem Büro in Norphlet in der Nähe des Union County.,"Im Sommer 1924 ging er nach Smackover in Süd-Arkansas, um im Büro in Norphlet in der Nähe des Union County am Ölboom zu arbeiten.",hyp1
3,I am informed that yesterday evening a frigate left the harbour having on board your associate Wolverstone and a hundred men of the hundred and fifty that were serving under you.,"1. Ich bin informiert, dass gestern Abend ein Fregattenboot den Hafen verlassen hat, auf dem Ihr Mitarbeiter Wolverstone und hundert Männer der hundertfünfzig, die unter Ihnen dienten. (Insert the word ""Fregattenboot"" instead of ""frigate"")","Ich erfuhr, dass gestern Abend ein Fregattenboot aus der Bucht segelt, auf dem Ihr Vertrauter Wolverstone und einhundert Männer aus der Hundertfünfzig, die unter Ihnen dienten, an Bord waren.",hyp1
4,"Heels should be low and wide. Sand, gravel or salt (calcium chloride) is often scattered on roads or paths to improve traction.","Absätze sollten niedrig und breit sein. Sand, Kies oder Salz (Calciumchlorid) wird oft auf Straßen oder Wegen ausgebreitet, um die Grip zu verbessern.","Absätze sollten sehr niedrig und sehr breit sein. Sand, Kies oder Salz (Calciumchlorid) wird oft auf Straßen oder Wegen ausgebreitet, um die Grip zu verbessern.",hyp2
5,"""""""Though it is widely used, especially among non-Romani, the word """"Gypsy"""" is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.""""""","The word ""Gypsy"" is often considered offensive because it is a derogatory term used against Romani people.","The word ""Gypsy"" is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.",hyp1
6,In the summer of 1924 he went to Smackover in South - Arkansas to work on the oil boom in an office in Norphlet near Union County.,"In the summer of 1924, he went to Smackover in South-Arkansas to work on the oil boom in an office in Norphlet near Union County.","In the summer of 1924, he went to Smackover in South-Arkansas to work on the oil boom in an office in Union County.",hyp2
7,The largest tournament of the year takes place in December at the polo fields in Las Cañitas.,Der größte Turnier des Jahres findet im Dezember auf den sehr großen Polo-Feldern in Las Cañitas statt.,Der größte Turnier des Jahres findet im Dezember auf den Polo-Feldern in Las Cañitas statt.,hyp1
8,"LP: The amazing thing about this is this is, I mean, obviously, these are old games, but the system just sees what you see, the pixels, and it has the controls and it has the score, and it's learned to play all of these games, same program.","Das bemerkenswerte an diesem ist, dass es, ich meine, offensichtlich, diese sind alte Spiele, aber das System sieht nur das, was du siehst, die Pixel, und es hat die Steuerung und es hat die Punkte, und es hat gelernt, all diese Spiele zu spielen, dasselbe Programm.","Das bemerkenswerte an diesem ist, dass es, ich meine, offensichtlich, diese sind sehr alte Spiele, aber das System sieht nur das, was du siehst, die Pixel, und es hat die Steuerung und es hat die Punkte, und es hat gelernt, all diese Spiele zu spielen, dasselbe Programm.",hyp2
9,"The world has over 5,000 different languages, more than twenty with 50 million or more speakers.","Die Welt hat über 5.000 verschiedene Sprachen, mehr als zwanzig mit 50 Millionen oder mehr Sprechern.","Die Welt hat mehr als 5.000 verschiedene Sprachen, mehr als zwanzig mit 50 Millionen oder mehr Sprechern.",hyp2
10,"All nouns, alongside the word Sie for you, always begin with a capital letter, even in the middle of a sentence.","All nouns, alongside the word Sie for you, always begin with a capital letter, even in the middle of a sentence, except for those that are part of a title or a proper noun.","All nouns, alongside the word sie for you, always begin with a capital letter, even in the middle of a sentence.",hyp2
11,"An analysis of millions of public RSA keys from the Internet was announced by Augier, Hughes, Lenstra, Bos, Kleinjung and Wachter in 2012.","2012 wurde von Augier, Hughes, Lenstra, Bos, Kleinjung und Wachter eine Analyse von Millionen von öffentlichen RSA-Schlüsseln aus dem Internet angekündigt.","12 Augier, Hughes, Lenstra, Bos, Kleinjung und Wachter analysierten 2012 eine Million Public RSA-Schlüssel aus dem Internet.",hyp2
12,"The translation engines have improved dramatically, and now often give more or less correct translations (and more seldom gibberish), but some care is due, as they still may have gotten it all wrong.","1. Die Translation-Maschinen haben sich dramatisch verbessert und geben jetzt oft korrekte Übersetzungen (und seltener Gummibänder) ab, aber man muss sich immer noch etwas Mühe geben, da sie immer noch falsch kriegen können.","Die Übersetzungssprachen haben sich bedeutend verbessert und geben oft korrekte oder zumindest halbwegs korrekte Übersetzungen zurück, aber man muss immer noch vorsichtig sein, da sie immer noch falsch kriegen können.",hyp2
13,I hated every bit of school!,Ich liebte jede Sekunde der Schule!,Ich hasste jede Minute der Schule!,hyp1
14,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","24. September 1759 hat Arthur Guinness einen 9.000 Jahr-Mietvertrag für die St. James' Gate Brauerei in Dublin, Irland unterzeichnet.","Am 24. September 1759 hat Arthur Guinness einen 9.000 Jahre gültigen Mietvertrag für die Brauerei St. James' Gate in Dublin, Irland unterzeichnet.",hyp2
15,"Campbell married Frances Owen in 1835. They had seven children: Mary, Margaret, Fanny, William, Joseph, John Owen, and Lemuel.","Campbell heiratete Frances Owen in 1835. Sie hatten sieben Kinder: Maria, Margarete, Fanny, Wilhelm, Joseph, Johann Owen und Lemuel.","Campbell heiratete Frances Owen im Jahr 1835. Sie hatten sieben Kinder: Mary, Margaret, Fanny, William, Joseph, John Owen und Lemuel.",hyp2
16,So my first question: Where is Google and where is it going?,So meine erste Frage: Wer ist Google und wohin geht es?,Also meine erste Frage: Wo steht Google und wohin geht es?,hyp1
17,"While most of their food would be familiar to us, Romans did have their share of strange or unusual feast items, including wild boar, peacock, snails, and a type of rodent called a dormouse","Die meisten ihrer Lebensmittel würden uns unbekannt sein, die Roma hatten auch ihre Menge seltsamer oder ungewöhnlicher Speisegegenstände, einschließlich Wildschwein, Papagei, Schnecken und einem Art von Roden genannt Dormouse.","Die meisten ihrer Lebensmittel würden uns bekannt sein, die Roma hatten auch ihre Menge seltsamer oder ungewöhnlicher Speisegegenstände, darunter Wildschwein, Papagei, Schnecken und ein Art von Roden genannt Dormouse.",hyp1
18,He graduated from the College of Arts & Sciences in 1950 and was a significant donor to that institution.,Er absolvierte 1950 das College of Arts & Sciences und war ein bedeutender Spender dieser Institution.,Er war ein begabter Künstler und spendete regelmäßig an wohltätige Organisationen.,hyp2
19,"Scientists would gather some representative people, and they would see patterns, and they would try and make generalizations about human nature and disease from the abstract patterns they find from these particular selected individuals.","Wissenschaftler würden einige repräsentative Personen zusammenbringen und Muster erkennen, und sie würden versuchen, Verallgemeinerungen über menschliche Natur und Krankheit aus den abstrakten Mustern zu ziehen, die sie bei diesen ausgewählten Personen finden.","Wissenschaftler würden einige repräsentative Personen zusammenbringen und sie würden versuchen, spezifische Schlussfolgerungen über menschliche Natur und Krankheit aus den abstrakten Mustern zu ziehen, die sie bei diesen ausgewählten Personen finden.",hyp2
20,"Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other.","Nach fünf Minuten beginnt es zu regnen, und der Wind erreicht eine Geschwindigkeit von 70 km/h. Die Menschen rennen vor dem Regen und Hagel davon.","Fünf Minuten nach Beginn der Vorführung setzt ein Wind ein, und etwa eine Minute später erreicht der Wind 70 km/h... dann kommt der Regen, jedoch so stark und so groß, dass er wie Nadelstiche auf die Haut prasselt, dann fiel Hagel vom Himmel, die Menschen gerieten in Panik und schrien und liefen übereinander.",hyp1
21,"""""""Though it is widely used, especially among non-Romani, the word """"Gypsy"""" is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.""""""","Obwohl es sehr verbreitet ist, insbesondere unter Nicht-Romani, wird das Wort 'Zigeuner' oft als peinlich empfunden, weil es negative Stereotype und ungenaue Vorstellungen von Menschen mit Romani-Wurzeln verbindet.","Obwohl es sehr verbreitet ist, insbesondere unter Nicht-Romani, wird das Wort 'Zigeuner' oft als peinlich empfunden, weil es negative Stereotype und ungenaue Vorstellungen von Menschen mit Romani-Wurzeln verbindet und außerdem ihre Kultur nicht versteht.",hyp2
22,"Most are independent nations, or associated with France, and known as luxury beach resorts.",Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Strand-Resorts mit erstklassigen Hotels.,Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Strand-Resorts.,hyp1
23,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","Im April dieses Jahres wurde eine vorüberige Restaurierung order by Judge Glynn gegen das Facility, um die Freilassung von Personen zu erzwingen, die länger als 24 Stunden in Gewahrsam waren und keine Anhörung durch einen richterlichen commissioner erhielten.","In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.",hyp1
24,I had to get on the bus and take it and wait for it.,"Ich musste in den Bus steigen, ihn nehmen und auf ihn warten.",Ich musste ins Kino gehen und einen Film sehen.,hyp2
25,"The temple of Artemis was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",Der Tempel der Artemis wurde am 21. Juli 356 v. Chr. von Herostratus in einem Brandanschlag zerstört.,Die Statue der Artemis wurde aufgrund eines Erdbebens zerstört.,hyp2
26,A CD with themes from 14 of his films was released in 2008 by Philip Powers and produced by 1M1 records.,Ein CD mit Themen aus 14 seiner Filme wurde 2008 von Philip Powers veröffentlicht und von 1M1 Records produziert.,Ein CD mit Themen aus 14 seiner Filmen wurde 2008 von Philip Powers produziert und von 1M Records veröffentlicht.,hyp2
27,ILM did the effects; it was incredible.,ILM hat die Wirkungen gemacht; es war unvergesslich.,ILM hat die Effekte gemacht; es war unvergesslich.,hyp1
28,"LP: The amazing thing about this is this is, I mean, obviously, these are old games, but the system just sees what you see, the pixels, and it has the controls and it has the score, and it's learned to play all of these games, same program.","Das erstaunliche an diesem ist, dass es, ich meine, offensichtlich, diese sind alte Spiele, aber das System sieht nur das, was du siehst, die Pixel, und es hat die Steuerung und es hat die Punkte, und es hat gelernt, all diese Spiele zu spielen, gleicher Programm.","Das erstaunliche an diesem ist, dass es, ich meine, offensichtlich, diese sind sehr alte Spiele, aber das System sieht nur das, was du siehst, die Pixel, und es hat die Steuerung und es hat die Punkte, und es hat gelernt, all diese Spiele zu spielen, gleicher Programm.",hyp2
29,"""""""Though it is widely used, especially among non-Romani, the word """"Gypsy"""" is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.""""""",Das Wort 'Zigeuner' wird von Romani-Leuten selbst verwendet und hat keine negativen Konnotationen.,"Obwohl es allgemein verwendet wird, insbesondere von Nicht-Romanen, gilt das Wort 'Zigeuner' oft als beleidigend aufgrund seiner Verbindung mit negativen Stereotypen und ungenauen Vorstellungen über die Roma-Leute.",hyp1
30,"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.","The Onion ist ein deutsches Satiremagazin, das sich auf die Parodie von politischen und gesellschaftlichen Themen spezialisiert hat.","Seit seiner Gründung ist The Onion zu einem echten News-Parodie-Imperium geworden, mit einer Print-Ausgabe, einer Website, die im Oktober 5.000.000 einzigartige Besucher anzog, persönlichen Anzeigen, einem 24-Stunden-Nachrichtenkanal, Podcasts und einem kürzlich gestarteten Weltatlas namens Unsere blöde Welt.",hyp1
31,"High winds, hail, excessive precipitation, and wildfires are forms and effects of severe weather, as are thunderstorms, tornadoes, waterspouts, and cyclones.","Stürme, Hagel, Überflutungen, Waldbrände sind Formen und Auswirkungen sehr starker Wetterereignisse, ebenso wie Orkane, Tornadoes, Wassersäule und Zyklone.","Stürme, Hagel, Überflutungen, Waldbrände sind Formen und Auswirkungen starker Wetterereignisse, ebenso wie Orkane, Tornadoes, Wassersäule und Zyklone.",hyp1
32,The Porte de Vincennes is located where the southeast corner of the 20th arrondissement meets the north-east corner of the 12th arrondissement of Paris.,The Porte de Vincennes is located where the southwest corner of the 20th district of Berlin meets the north-east corner of the 12th district of Berlin.,"Die Porte de Vincennes befindet sich an der Stelle, wo der südöstliche Teil des 20. Arrondissements in den nordöstlichen Teil des 12. Arrondissements von Paris trifft.",hyp2
33,"It was directed by Willard Mack and is based on a 1917 play, ``Tiger Rose '', by George Fitzmaurice.","Es wurde von Willard Mack inszeniert und basiert auf einem 1917er-Stück, 'Tiger Rose', von George Fitzmaurice.","Es wurde von Willard Mack inszeniert und basiert auf einem 1917er-Stück, 'Tiger Rose', von George Fitzmaurice und anderen Autoren.",hyp2
34,"High winds, hail, excessive precipitation, and wildfires are forms and effects of severe weather, as are thunderstorms, tornadoes, waterspouts, and cyclones.","* Insert the word ""Katastrophale"" before ""Wetter"": Katastrophale Wetter mit heftigen Winde, Hagel, übermäßiger Regen und Wildfires sind Formen und Auswirkungen von extremen Wetterbedingungen, wie z.B. Donnersturm, Tornado, Wasserhauch, und Hurrikane.","Stürmische Wetterфорmen und -ewirkungen sind Hauch, Hagel, übermäßige Regen- und Schneefall und Wildfires, ebenso wie Donnerstürme, Tornadoes, Wasserfauste und Taifune.",hyp1
35,"In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.",In der regnenzeit (November bis März) wird das Wasservolumen niedriger und die Wasserfälle werden weniger dramamatisch sein.,In der regnenzeit (November bis März) wird das Wasservolumen höher und die Wasserfälle werden mehr dramamatisch sein.,hyp2
36,"In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.",Während der regnerischen Jahreszeit (November bis März) wird das Wasser量 höher sein und die Wasserfälle werden dramatischer sein.,Während der regnerischen Jahreszeit (November bis März) wird das Wasserlevel niedriger sein und die Wasserfälle werden weniger dramatisch sein.,hyp2
37,"The Swedish ice hockey championship in 1932 was the 11th season of the Swedish ice hockey championship, Sweden's national championship, and Hammarby IF won the championship.","Das schwedische Eishockey-Meisterschaft in 1932 war die 12. Saison der schwedischen Eishockey-Meisterschaft, die internationale Meisterschaft Schwedens, und Hammarby IF verlor den Titel.","Das schwedische Eishockey-Meisterschaft in 1932 war die 11. Saison der schwedischen Eishockey-Meisterschaft, die nationale Meisterschaft Schwedens, und Hammarby IF gewann den Titel.",hyp1
38,"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.","Seit seiner Gründung hat The Onion sich zu einem parodistischen Nachrichtenimperium entwickelt, mit einer Printausgabe, einer Website, die im Oktober 5.000.000 einzigartige Besucher anzog, persönlichen Anzeigen, einem 24-Stunden-Nachrichtennetz, Podcasts, einer Weltatlasreihe namens Unsere blödsinnige Welt und einem eigenen Fernsehsender.","Seit seiner Gründung hat The Onion sich zu einem parodistischen Nachrichtenimperium entwickelt, mit einer Printausgabe, einer Website, die im Oktober 5.000.000 einzigartige Besucher anzog, persönlichen Anzeigen, einem 24-Stunden-Nachrichtennetz, Podcasts und einer kürzlich gestarteten Weltatlasreihe namens Unsere blödsinnige Welt.",hyp1
39,"In the meantime the Air Force bought the SR71, now the A-12, that we were working with the CIA.","In the meantime, the Air Force had purchased the SR71, which we were working with the CIA.","The Air Force bought the SR71, which we were working with the CIA in the meantime.",hyp2
40,"If you invent something, Tesla invented electric power that we use, but he struggled to get it out to people.","If you invent something, Tesla invented electric power that we use, but he had to fight to bring it to people.","Wenn Sie etwas erfinden, wie Tesla den elektrischen Strom, den wir verwenden, erschaffnete, aber er hatte Mühe, es den Leuten zur Verfügung zu stellen.",hyp2
41,"It was in the early days of GPS, the car knew where it was, and it would give audio instructions to the driver, when to turn right, when to turn left and so on.","In den frühen Tagen von GPS, wusste das Auto, wo es war, und gab Audio-Anweisungen zum Fahrer, wann man rechts drehen, wann man links drehen und so weiter.","In den frühen Tagen von GPS, wusste das Auto, wo es war, und gab Audio-Anweisungen zum Fahrer, wenn man drehen musste, wenn man geradeahead fahren musste und so weiter.",hyp2
42,"1976, Air France was hijacked, taken to Entebbe, and the Israelis not only did an extraordinary rescue, they did it partly because they had practiced on a physical model of the airport, because they had built the airport, so they built a model in the desert, and when they arrived at Entebbe, they knew where to go because they had actually been there.","The Israelis had built the airport, so they built a model in the desert, and when they arrived at Entebbe, they knew where to go because they had actually been there.","The Israelis had practiced on a physical model of the airport, and when they arrived at Entebbe, they knew where to go because they had actually been there.",hyp1
43,He was acquitted of all wrong doing and sent on his way.,Er wurde von allen Fehlverhaltens freigesprochen und auf freien Fuß gesetzt.,Er wurde von allen Fehlverhaltens freigesprochen und auf seinem Weg weitergeleitet.,hyp2
44,"They called themselves the Moriori there were a few skirmishes and in the end, the Moriori were wiped out","Sie nannten sich die Moriori dort, aber es gab keine Gefechte, und am Ende wurden die Moriori ausgerichtet.","Sie nannten sich die Moriori dort, es gab einige kleine Gefechte, und am Ende wurden die Moriori ausgerichtet.",hyp1
45,"It was directed by Willard Mack and is based on a 1917 play, ``Tiger Rose '', by George Fitzmaurice.",Es handelt sich um einen Film aus dem Jahr 1930.,Es wurde von Willard Mack inszeniert und basiert auf einem Theaterstück von 1917 mit dem Titel 'Tiger Rose' von George Fitzmaurice.,hyp1
46,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.","Der Neunte Bezirk, der während Hurrikan Katrina bis zu 20 Kilometern Überschwemmungen erlebte, ist derzeit in Wasserlage wie bei den nahegelegenen Deichen überlaufen.","Der Neunte Bezirk, der während Hurrikan Katrina bis zu 20 Fuß Überschwemmungen erlebte, ist derzeit in Wasserlage wie bei den nahegelegenen Deichen überlaufen.",hyp1
47,"High winds, hail, excessive precipitation, and wildfires are forms and effects of severe weather, as are thunderstorms, tornadoes, waterspouts, and cyclones.","Stürmische Wetterformen und Wirkungen sind Hauche, excessive Precipitation, und Wildfires, wie auch Donnerstürme, Tornados, Wasserfälle und Zyklonen.","Stürmische Wetterфорmen und -ewirkungen sind Hauche, Überflutung, Excessivregen und Waldbrände. Ebenso sind Donnerstorme, Tornados, Wasserföhre und Zyklonen darunter.",hyp1
48,"Be careful not to allow fabric to become too hot (which can cause shrinkage, or in extreme cases, scorch).",İmmerung nicht zu viel Stoff in die Hitzewelle zu geben (sonst kann es zu einer Erstreckung oder selten zu einer Verbrennung kommen).,"Beachten Sie, dass die Stoffhaltung nicht zu heiß werden darf (was zu K contracturen oder in extremen Fällen zu Verbrennungen führen kann).",hyp1
49,Two beams of light have been rigged up to point skywards overnight.,2 Strahlen von Licht haben über Nacht senkrecht in den Himmel geriggt.,2 Beine von Licht sind über Nacht aufgeklappt worden.,hyp2
50,Box jellyfish occur near beaches and near river estuaries from October to April north of 1770. They can occasionally be found outside these times.,1770 Norden von Box-Jellyfish in der Nähe von Stränden und Flusshauptmündungen vorkommen. Manchmal können sie jedoch auch außerhalb dieser Zeiten gefunden werden.,"1770 ist der Monat, an dem Boxtauchschweife in der Nähe von Stränden und Flusshauptmündungen vorkommen. Es gibt jedoch auch Male, wenn sie außerhalb dieser Monate zu finden sind.",hyp2
51,"They called themselves the Moriori there were a few skirmishes and in the end, the Moriori were wiped out","Sie nannten sich die Moriori, es gab ein paar Scharmützel und im Endresultat wurden die Moriori ausgelöscht.","They called themselves the Moriori there were a few Scharmützel and in the end, the Moriori were ausgerottet",hyp2
52,"She hated that, and she used to tell her sister every day, she said that, that You are doing wrong.","She haste, that, and she ussed to tell her sister every day, she said that, that You are doing wrong.","Sie hasst das und hat sie ihrem Schwestern täglich erzählt, dass du falsch handelst.",hyp1
53,"""And finally, after four full hours of my lying and staring at it, the phone rang, and somehow I managed to pick it up, and it was my father, and I said, """"I'm in serious trouble. We need to do something.""""""","Es war endlich, nachdem ich vier Stunden lang liegen und starren musste, dass dertelefon klingelte, und ich schaffte es, es aufzunehmen, und es war mein Vater, und ich sagte, 'Ich bin in sehr großer Gefahr. Wir müssen etwas tun.","Es war endlich, nachdem ich vier Stunden lang liegen und starren musste, dass ich mein Telefon genommen hatte, und es war mein Vater, und ich sagte, 'Ich bin in großer Gefahr. Wir müssen etwas tun.",hyp1
54,"In 2014, Adam wrote a Gothic Trilogy revisions of classic stories Frankenstein, The Corruption of Dorian Gray and Jekyll Hyde Corpus Delicti","2014 schrieb Adam eine umfassende Überarbeitung der klassischen Geschichten der Gotischen Trilogie Frankenstein, Die Verführung des Dorian Gray und Jekyll Hyde Corpus Delicti.","2014 schrieb Adam Überarbeitungen von klassischen Geschichten der Gotischen Trilogie Frankenstein, Die Verführung des Dorian Gray und Jekyll Hyde Corpus Delicti.",hyp2
