id,hyp+,hyp-
0,Er schloss sein Studium an der Kunst- und Wissenschaftlichen Akademie im Jahr 1950 und war ein bedeutender Stifter der Institution.,Er schloss sein Studium an der Kunst- und Wissenschaftlichen Akademie im Jahr 1950 und war ein wichtiger Stifter der Institution.
1,"Die meisten Nationen sind unabhängige Nationen, oder mit Frankreich assoziiert, und sind bekannt als Luxus-Strand Resorts.","Die meisten Nationen sind unabhängige Nationen, oder mit Frankreich assoziert, und sind als beliebte Strand Resorts bekannt."
2,"Es gibt viele Dinge bei Vögeln, die wie ein Dinosaurier aussehen.","Es gibt viele Dinge bei Vögeln, die wie ein Dinosaurier aussehen, aber sie sind nicht."
3,"Die Polizei hatte Probleme, ihre Geschwindigkeitsradargeräte zu benutzen, um, wie schnell Mr. Reid unterwegs war, weil die Black Beauty niedrig war, und die einzige Zeit, in der die Polizei Mr. Reid entschlog, war, als er sich verlangsamte auf 160km/h.","Die Polizei hatte Probleme, ihre Geschwindigkeitsradargeräte zu benutzen, um, wie schnell Mr. Reid unterwegs war, weil die Black Beauty niedrig war, und die einzige Zeit, in der die Polizei Mr. Reid entschlog, war, als er sich beschleunigte auf 160km/h."
4,"Die Giza-Plattform, auch 'Giza Necropolis'' in der ägyptischen Valley of the Dead beinhaltet mehrere Pyramide (von denen die Pyramide die größte ist), mehrere kleine Tomten, mehrere Tempeln und die große Sphinx.","Die Giza-Plattform, auch 'Giza Necropolis'' in der ägyptischen Valley of the Dead beinhaltet mehrere Pyramide, mehrere kleine Tomten, mehrere Tempeln und die große Sphinx. Es beinhaltet auch eine große Menge anderer Gebäude."
5,"Der Premierminister Stephen Harper hat mit Zustimmung, seine Regierungs ""Clean Act"" in eine Kommission für die Überprüfung zu senden, bevor seine zweite Lesung, nachdem die Begegnung mit dem NDP-Führer Jack Layton am Dienstag in der PMO stattffand.","Der Premierminister Stephen Harper hat mit Zustimmung, seine Regierungs ""Clean Act"" in eine Kommission für die Überprüfung zu senden, bevor seine zweite Lesung, nachdem die Begegnung mit dem NDP-Führer Jack Layton am Dienstag in der PMO stattffand. Es wurde jedoch keine Entscheidung getroffen."
6,Das Tempel der Artemis wurde am 21. Juli 356 v.Chr. durch einen Akt der Brandstiftung durch Herostratus niedergerissen.,Das Tempel der Artemis wurde am 21. Juli 356 v.Chr. durch einen Brand niedergerissen.
7,"Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Tri-Nations-Match im Royal Stadium in Rustenburg, Südafrika, gewonnen.","Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Tri-Nations-Match in Rustenburg, Südafrika, verloren."
8,"Die Situation ist stabil, obwohl er infolge der Isolation zu Hause mehrere Tage verbringen wird.","Die Situation ist stabil, obwohl er infolge der Isolation zu Hause mehrere Tage verbringen wird, und er wird isoliert sein."
9,"Die Welt hat über 5.000 verschiedene Sprachen, mehr als zwanzig mit 50 Millionen oder mehr Sprechern.","Die Welt hat mehr als 5.000 verschiedene Sprachen, mehr als zwanzig mit 50 Millionen oder mehr Sprechern."
10,"Arthur Guinness unterschrieb am 24. September 1759 einen 9.000-Jahres-Pachtvertrag für die St. James' Gate-Brauerei in Dublin, Irland.","Arthur Guinness unterschrieb am 24. September 1759 einen Pachtvertrag für die St. James' Gate-Brauerei in Dublin, Irland."
11,"Es wurde in der Woche Anfang Februar durch mehrere Personen bestätigt, dass die Entdeckung mittels verschiedener Hardware und Software durchgeführt wurde, und es wurde am Dienstag veröffentlicht.","Es wurde in der Woche Anfang Februar durch mehrere Personen bestätigt, dass die Entdeckung mittels verschiedener Hardware und Software durchgeführt wurde, und es wurde am Dienstag veröffentlicht, nachdem die Entdeckung gemacht wurde."
12,Suche bei Sicherheitskontrolle sind nach dem 11. September 2001 erheblich geworden.,Suche bei Sicherheitskontrolle sind seit dem 11. September 2001 erheblich geworden.
13,Huhne und Pryce werden am 16. Februar in Westminster-Magistratsgericht erscheinen.,"Huhne und Pryce werden am 16. Februar in Westminster-Magistratsgericht erscheinen, um ihre Rechte zu vertreten."
14,"Der größte bekannte Primzahl, die jemals entdeckt wurde, wurde am 25. Januar gefunden.","Der größte bekannte Primzahl, der jemals entdeckt wurde, wurde am 25. Januar entdeckt."
15,Der größte Turnier des Jahres findet im Dezember auf den Polofields in Las Cañitas statt.,Das größte Turnier des Jahres findet in Dezember in Las Cañitas statt.
16,Box jellyfish occur near beaches and near river estuaries from October to April north of 1770. They can occasionally be found outside these times.,Box jellyfish occur near beaches and near river estuaries from October to April north of 1770. They are sometimes found outside these times.
17,The Onion has become a successful news parody empire with a large following.,The Onion has become a powerful news organization with a significant online presence.
18,"Der terrorisierte König Ludwig XVI., Königin Marie Antoinette, ihre zwei jüngere Kinder (11-jährige Marie Therese und vierjährige Louis-Charles) und die Königin's Schwester, Frau Elisabeth, am 6. Oktober 1789 wurden von einem Mob von Marktkönnen wieder nach Paris gebracht.","Am 6. Oktober 1789 wurden der terrorisierte König Ludwig XVI. und die Königin Marie Antoinette mit ihren beiden Kindern, der 11-jährigen Marie Therese und dem vierjährigen Louis-Charles, sowie ihrer Schwester, Frau Elisabeth, von Versailles nach Paris gebracht, nachdem sie von einem Mob von Marktkönnen angriffen worden waren."
19,"In April dieses Jahres wurde ein befriste Restrainingsorder durch den Richter Glynn gegen die Einrichtung erlassen, um die Freigabe vieler, die mehr als 24 Stunden nach ihrer Aufnahme nicht erhalten hatten, zu gewährleisten.","In April dieses Jahres wurde ein befriste Restrainingsorder durch den Richter Glynn gegen die Einrichtung erlassen, um die Freigabe vieler, die mehr als 24 Stunden nach ihrer Aufnahme nicht erhalten hatten, zu gewährleisten. Die Ordnung wurde jedoch nicht veröffentlicht."
20,"Die Angriffe in Mumbai am 26. November 2008 fanden über das Wasser statt, wobei Granaten, automatische Waffen und mehrere Ziele, einschließlich des überfüllten Chhatrapati Shivaji Terminus Bahnhofs und des bekannten Taj Mahal Hotels, angriffen wurden.","Die Angriffe in Mumbai am 26. November 2008 fanden über das Wasser statt, wobei Granaten, automatische Waffen und mehrere Ziele, einschließlich des überfüllten Chhatrapati Shivaji Terminus Bahnhofs und des bekannten Taj Mahal Hotels, angriffen wurden. Es gab viele Opfer."
21,"Am 15. August 1940 invadierten die Alliierten das südliche Frankreich, die Invasion wurde ''Operation Dragoon'' genannt.","Am 15. August 1940 invadierten die Alliierten das östliche Frankreich, die Invasion wurde ''Operation Dragoon'' genannt."
22,"Seit der Eingriffs des Bundesregens, um die Finanzierung des Mersey- Krankenhauses in Devonport, Tasmanien, haben die Staatsregierung und einige Bundestagsabgeordnete diese Aktion als Spielerei vor der kommenden Bundestagswahl in November kritisiert.","Seit der Eingriffs des Bundesregens, um die Finanzierung des Mersey- Krankenhauses in Devonport, Tasmanien, hat die Staatsregierung und einige Bundestagsabgeordnete diese Aktion als eine Spielerei vor der kommenden Bundestagswahl in November kritisiert."
23,In der regnenzeit (November bis März) wird das Wasservolumen höher und die Wasserfälle werden mehr dramamatisch sein.,In der regnenzeit (November bis März) wird das Wasservolumen niedriger und die Wasserfälle werden weniger dramamatisch sein.
24,"Luk oder Loke ist die chinesische Umsprache für mehrere (aber nicht alle) cantonesische Familienname, die als Lu in der Mandarinsprache romanisiert wird.","Luk oder Loke ist die chinesische Umsprache für mehrere Cantonese-Namen, die als Lu in der Mandarinsprache romanisiert wird."
25,"Sikhismus ist eine Religion, die in India in der Mitte des 15. Jahrhunderts mit dem ersten Guru, bekannt als Guru Nanak Dev Ji (1469-1539 C.E.), entstand.","Sikhismus ist eine Religion, die in Indien in der Mitte des 15. Jahrhunderts entstand."
26,Er wurde von John Velazquez trainiert und in seinen wichtigsten Rennen von dem Jockey Dale Romans geritten.,Er wurde von John Velazquez trainiert und in seinen wichtigsten Rennen von dem Jockey Dale Romans geführt.
27,"Craig hatte zwei Kinder und war mit Sara Tetro, der ehemaligen Model, Fernsehmoderatorin und Richterin auf Neuseelanns Next Top Model, verheiratet.","Craig hatte zwei Kinder und war mit Sara Tetro, der ehemaligen Model, Fernsehmoderatorin und Richterin auf Neuseelanns Next Top Model, verheiratet, als er ein Kind bekam."
28,"Die schwedische Eishockey-Meisterschaft 1932 war die 11. Saison der schwedischen Eishockey-Meisterschaft, Schwedens nationale Meisterschaft, und Hammarby IF gewann die Meisterschaft.","Die schwedische Eishockey-Meisterschaft 1932 war die 11. Saison der schwedischen Eishockey-Meisterschaft, und Hammarby IF won das Meisterschaft."
29,"1i Productions ist ein amerikanischer Hersteller von Brettspielen. Es wurde 2004 von Colin Byrne, William und Jenna gegründet.","1i Productions ist ein amerikanisches Unternehmen, das Brettspiele produziert. Es wurde 2004 von Colin Byrne, William und Jenna gegründet."
30,The music was written by Shyam and the lyrics were composed by Sreekumaran Thampi and Sathyan Anthikkad.,The music was written by Shyam and Sreekumaran Thampi and Sathyan Anthikkad composed the lyrics.
31,"Flavia Gleske Fajin, besser bekannt als Flavia Gleske, ist eine Venezolanische Schauspielerin und Model.","Flavia Gleske Fajin, besser bekannt als Flavia Gleske, ist eine deutsche Schauspielerin und Model."
32,"Cai Feng hatte auch einen Sohn, Cai Mao.","Cai Feng hatte auch einen Sohn, der Cai Mao hieß."
33,"Es war von Willard Mack inszeniert und basiert sich auf einem Spiel aus dem Jahr 1917, ``Tiger Rose '', von George Fitzmaurice.","Es war von Willard Mack inszeniert und basiert sich auf einem Spiel aus dem Jahr 1917, ``Tiger Rose '', von George Fitzmaurice. Es war ein Spiel, das nach der Premiere große Aufmerksamkeit erhalten hat."
34,"Er war der nachgeburtliche Sohn des Sir Henry Thrale, 1. Baronet; seine Mutter war die Schwester des Braumeisters John Lade. ","Er wurde nach der Geburt geboren, der Sohn des Sir Henry Thrale, 1. Baronet; seine Mutter war die Schwester des Braumeisters John Lade."
35,"Es wurde in 2008 von Philip Powers und 1M1 Records veröffentlicht, das eine CD mit Themen aus vierzehn seiner Filme beinhaltet.","Es wurde in 2008 veröffentlicht, dass eine CD mit Themen aus einigen seiner Filme veröffentlicht wurde."
36,"Mats Wilander gewinnt gegen Anders Järryd 6 - 4, 3 - 6, 7 - 5.","Mats Wilander besiegte Anders Järryd 6 - 4, 3 - 6, 7 - 5."
37,Adam wrote a Gothic trilogy revision of classic stories in 2014.,"Adam wrote a Gothic trilogy revision of classic stories in 2014, which included Frankenstein, The Corruption of Dorian Gray and Jekyll Hyde Corpus Delicti."
38,Ein CD mit Themen aus 14 seiner Filme wurde 2008 von Philip Powers veröffentlicht und produziert wurde von 1M1 Records.,Ein CD mit Themes aus einigen seiner Filme wurde 2008 von Philip Powers veröffentlicht und produziert wurde von 1M1 Records.
39,"In the summer of 1924, he went to Smackover in South-Arkansas to work on the oil boom in an office in Norphlet near Union County.","In the summer of 1924, he went to Smackover in South-Arkansas to work on the oil boom in an office in Union County."
40,"Campbell heirte Frances Owen im 1835. Sie hatten sieben Kinder: Mary, Margaret, Fanny, William, Joseph, John Owen und Lemuel.","Campbell heirte Frances Owen in 1835. Sie hatten sieben Kinder: Mary, Margaret, Fanny, William, Joseph, John Owen und Lemuel, die sie unterstützte."
41,"Die R205-Straße ist eine regionale Straße in Irland von der R199-Straße in County Cavan bis zur Grenze nach Nordirland an County Leitrim, hauptsächlich in County Fermanagh.","Die R205-Straße ist eine nationale Straße in Irland von der R199-Straße in County Cavan bis zur Grenze nach Nordirland an County Leitrim, hauptsächlich in County Fermanagh."
42,Blake hat seit 1984 mit Patricia Meyer verheiratet und sie haben zwei Söhne: Ryan (geboren 1988) und Dale (geboren 1992).,Blake hat mit Patricia Meyer seit 1984 verheiratet und sie haben zwei Söhne: Ryan (geboren 1988) und Dale (geboren 1992). Er lebt in Berlin.
43,"In 2014, die Website startete iOS- und Android-Apps für die Suche nach Produkten; die Produktmerkmale umfassen interaktive Videoshows mit Live-Question-and-Answer-Sitzungen.","In 2014 startete die Website Apps für iOS und Android, um die Suche nach Produkten zu ermöglichen; die Produktmerkmale umfassen Videoshows mit Live-Question-and-Answer-Sitzungen."
44,In seiner ersten Spiel für LSU holte er 32 Rebounds gegen die Tulane University.,In seiner ersten Spiel für LSU holte er 32 Rebounds gegen die University of Tulane.
45,Die Art wurde zuerst von dem Botaniker Stephan Endlicher im 1846 als Teil des Werks `Irideae Plantae Preissianae` von Johann Georg Christian Lehmann beschrieben.,"Die Art wurde zuerst von dem Botaniker Stephan Endlicher im 1846 als Teil des Werks `Irideae Plantae Preissianae` von Johann Georg Christian Lehmann beschrieben, aber es gibt keine Unterstützung für diese Übersetzung in der Quelle."
46,"Die Analyse vieler Millionen öffentlicher RSA-Schlüsseln vom Internet, die von Augier, Hughes, Lenstra, Bos, Kleinjung und Wachter 2012 veröffentlicht wurde, wurde veröffentlicht.","Die Analyse vieler Millionen öffentlicher RSA-Schlüsseln vom Internet, die von Augier, Hughes, Lenstra, Bos, Kleinjung und Wachter 2012 veröffentlicht wurde, zeigte die Schwächen vieler öffentlicher Sicherheitsmaßnahmen auf."
47,"Der Musikhall wurde 1862 von London nach Paris gebracht und wurde sehr beliebt, mit Tänzerinnen, Sängern, Akrobaten und Zauberern, die Tiere trainierten.","Der Musikhall wurde 1862 in Paris importiert, und wurde sehr beliebt, mit Tänzerinnen, Sängern, Akrobaten und Zauberern, die Tiere trainierten."
48,Der Porte de Vincennes liegt an dem southeastlichen Corner des 20. Arrondissements und dem nordöstlichen Corner des 12. Arrondissements von Paris.,Der Porte de Vincennes liegt an dem östlichen Corner des 20. Arrondissements und dem nordwestlichen Corner des 12. Arrondissements von Paris.
49,"Simon Simon wurde in Charlie und Megan Pace in 1979 geboren und lebte in Manchester, England.","Simon Simon war in Charlie und Megan Pace geboren und lebte in Manchester, England."
50,"Es wurde später veröffentlicht, um als Single für das Album am 15. Oktober in dem UK und am 23. Oktober in den USA veröffentlicht zu werden.","Es wurde später veröffentlicht, um als Single für das Album am 15. Oktober in dem UK und am 23. Oktober in den USA veröffentlicht zu werden, aber es wurde nie veröffentlicht."
51,"Es liegt 20 Meilen nordwestlich von Roanoke, Virginia, und ungefähr zwei Meilen südöstlich von Glasgow, Virginia.","Es liegt 20 Meilen östlich von Roanoke, Virginia, und ungefähr zwei Meilen westlich von Glasgow, Virginia."
52,The show originally featured amateur voice actors from East Texas.,"The show originally featured professional voice actors, local to East Texas."
