id,label
0,hyp2
1,hyp2
2,hyp2
3,hyp2
4,hyp1
5,hyp2
6,hyp2
7,hyp2
8,hyp1
9,hyp2
10,hyp2
11,hyp1
12,hyp1
13,hyp1
14,hyp2
15,hyp2
16,hyp2
17,hyp1
18,hyp1
19,hyp2
20,hyp2
21,hyp1
22,hyp2
23,hyp2
24,hyp2
25,hyp2
26,hyp2
27,hyp1
28,hyp2
29,hyp2
30,hyp2
31,hyp2
32,hyp1
33,hyp2
34,hyp2
35,hyp1
36,hyp2
37,hyp2
38,hyp1
39,hyp2
40,hyp2
41,hyp2
42,hyp1
43,hyp2
44,hyp1
45,hyp1
46,hyp2
47,hyp2
48,hyp1
49,hyp1
50,hyp2
51,hyp2
52,hyp2
53,hyp1
54,hyp2
55,hyp2
56,hyp2
57,hyp1
58,hyp1
59,hyp2
60,hyp2
61,hyp1
62,hyp1
63,hyp1
64,hyp2
65,hyp2
66,hyp2
67,hyp2
68,hyp2
69,hyp1
70,hyp1
71,hyp1
72,hyp1
73,hyp2
74,hyp2
75,hyp1
76,hyp2
77,hyp2
78,hyp2
79,hyp2
80,hyp2
81,hyp1
82,hyp2
83,hyp1
84,hyp2
85,hyp2
86,hyp1
87,hyp2
88,hyp1
89,hyp2
90,hyp2
91,hyp1
92,hyp2
93,hyp2
94,hyp2
95,hyp2
96,hyp1
97,hyp2
98,hyp2
99,hyp2
