id,langpair,source,hyp1,hyp2,pred_label
0,en-de,He graduated from the College of Arts & Sciences in 1950 and was a significant donor to that institution.,Er absolvierte 1950 das College of Arts & Sciences der University of Virginia und war ein bedeutender Spender dieser Institution.,Er absolvierte 1950 das College of Arts & Sciences und war ein bedeutender Spender dieser Institution.,hyp2
1,en-de,"Most are independent nations, or associated with France, and known as luxury beach resorts.","Die meisten der kleineren Inseln sind unabhängige Nationen, oder mit Frankreich assoziiert, und bekannt als luxuriöse Strandresorts.","Die meisten sind unabhängige Nationen, oder mit Frankreich assoziiert, und bekannt als luxuriöse Strandresorts.",
2,en-de,But there are a lot of things about birds that look like a dinosaur.,"Aber es gibt viele Dinge über Vögel, die immer noch wie ein Dinosaurier aussehen.","Aber es gibt viele Dinge über Vögel, die wie ein Dinosaurier aussehen.",hyp2
3,en-de,"The police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","Die Polizei hatte Schwierigkeiten, ihre Geschwindigkeitsradargewehre zu benutzen, um zu sehen, wie schnell Herr Reid ging, weil Black Beauty so niedrig ist, und die einzige Zeit, als die Polizei es schaffte, Herr Reid zu beobachten, war, als er auf 160 km / h verlangsamte.","Die neuseeländische Polizei hatte Schwierigkeiten, ihre Geschwindigkeitsradargewehre zu benutzen, um zu sehen, wie schnell Herr Reid ging, weil Black Beauty so niedrig ist, und die einzige Zeit, als die Polizei es schaffte, Herr Reid zu beobachten, war, als er auf 160 km / h verlangsamte.",hyp2
4,en-de,"""The Giza Plateau, or """"Giza Necropolis"""" in the Egyptian Valley of the Dead contains several pyramids (of which the pyramid is the largest), several small tombs, several temples, and the great Sphinx.""","""Das Plateau von Giza oder """"Nekropolis von Giza"""" im ägyptischen Tal der Toten enthält mehrere Pyramiden (von denen die große Pyramide die größte ist), mehrere kleine Gräber, mehrere Tempel und die große Sphinx.""","""Das Plateau von Giza oder """"Nekropolis von Giza"""" im ägyptischen Tal der Toten enthält mehrere Pyramiden (von denen die Pyramide die größte ist), mehrere kleine Gräber, mehrere Tempel und die große Sphinx.""",hyp2
5,en-de,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.","""Ministerpräsident Stephen Harper hat zugestimmt, den """"Clean Air Act"""" der Regierung vor seiner zweiten Lesung nach dem 25-minütigen Treffen mit NDP-Führer Jack Layton am Dienstag bei der PMO zu einem Parteikomitee zur Überprüfung zu schicken.""","""Ministerpräsident Stephen Harper hat zugestimmt, den """"Clean Act"""" der Regierung vor seiner zweiten Lesung nach dem 25-minütigen Treffen mit NDP-Führer Jack Layton am Dienstag bei der PMO zu einem Parteikomitee zur Überprüfung zu schicken.""",
6,en-de,"The temple of Artemis was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",Der Tempel von Artemis wurde am 21. Juli 356 v. Chr. in einem Akt der Verbrennung durch Herostratus zerstört.,Der Tempel von Artemis in Ephesus wurde am 21. Juli 356 v. Chr. in einem Akt der Verbrennung durch Herostratus zerstört.,hyp2
7,en-de,"South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Stadium in Rustenburg, South Africa.","Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Syndikat Tri Nations-Spiel im Royal Stadium in Rustenburg, Südafrika, besiegt.","Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Syndikat Tri Nations-Spiel im Royal Bafokeng Stadium in Rustenburg, Südafrika, besiegt.",hyp2
8,en-de," condition is stable, though he will be isolated at home for several days.","Der Zustand ist stabil, obwohl er mehrere Tage zu Hause isoliert sein wird.","Der Zustand des Präsidenten ist stabil, obwohl er mehrere Tage zu Hause isoliert sein wird.",hyp2
9,en-de,"The world has over 5,000 different languages, more than twenty with 50 million or more speakers.","Die Welt hat mehr als 5.000 verschiedene Sprachen, darunter mehr als zwanzig mit 50 Millionen oder mehr Sprechern.","Die Welt hat mehr als 5.000 verschiedene Sprachen, mehr als zwanzig mit 50 Millionen oder mehr Sprechern.",hyp2
10,en-de,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","Am 24. Oktober 1759 unterzeichnete Arthur Guinness eine 9.000-jährige Miete für die St. James' Gate Brewery in Dublin, Irland.","Am 24. Sept. 1759 unterzeichnete Arthur Guinness eine 9.000-jährige Miete für die St. James' Gate Brewery in Dublin, Irland.",hyp2
11,en-de,Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.,Mehrere Personen verifizierten die Entdeckung mit unterschiedlicher Hardware und Software bis Anfang Oktober und es wurde am Dienstag angekündigt.,Mehrere Personen verifizierten die Entdeckung mit unterschiedlicher Hardware und Software bis Anfang Feb. und es wurde am Dienstag angekündigt.,hyp2
