id,hyp+,hyp-
0,"Né dans la capitale croate, Bobek a acquis la renommée en jouant pour le Partizan de Belgrade.",Bobek est né en Serbie et a déménagé à Zagreb où il est devenu célèbre.
1,Utiliser des applications de navigation GPS peut être le moyen le plus facile et le plus pratique de se déplacer lorsque l'on est en dehors de son pays d'origine.,Les applications de navigation GPS sont rarement utiles en voyage à l'étranger.
2,"Seuls les effets du catastrophisme, et non de la dépression et de la peur, étaient conditionnels des séances hebdomadaires régulières de PA.","Seuls les effets de la dépression et de la peur, pas le catastrophisme, étaient conditionnels des séances hebdomadaires régulières de PA."
3,Il peut être personnalisé pour le rendre facile à lire et avec autant ou peu de couleurs que désiré.,Il ne peut pas être modifié pour être plus difficile à lire et avec plus de couleurs que désiré.
4,Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque les atomes sont fusionnés pour former des éléments plus lourds.,Les étoiles émettent du son et du froid à cause de la fusion des atomes.
5,est une espèce de la famille des Dromaeosauridés et est un cousin du Vélociraptor.,est un type de chien de race Dromaeosauridae et est un rival du Velociraptor.
6,Le président américain George W. a salué l'annonce.,La président américain George W. a critiqué l'annonce.
7,"La parade de bâtiments qui composent le panorama de Kong a été comparée à un graphique en barres scintillant, mis en évidence par la présence des eaux du port de Victoria.",Les bâtiments de Kong ressemblent à un arc-en-ciel scintillant réfléchi par les eaux de la mer.
8,Les dépenses de guerre de l'impérialisme américain dans la conquête ont été payées par le peuple philippin lui-même.,Les dépenses de guerre de l'impérialisme américain dans la conquête ont été payées par une autre nation.
9,"Avec des racines à Running Tours Barcelona et Running Copenhagen à Barcelone et Copenhague, c'est rapidement rejoint par des Running Tours basés à Prague et d'autres.","Avec des racines à Barcelone, le programme de visites en cours d'exécution comprend également des visites à Copenhague et Prague, ainsi que dans d'autres villes."
10,Couchsurfing a été fondé en janvier 2004 après que le programmeur informatique Casey Fenton ait trouvé un vol bon marché pour l'Islande mais n'avait pas de logement.,"Couchsurfing a été créé en février 2004 après que Casey Fenton, plombier de profession, ait trouvé un vol bon marché pour la Norvège mais n'avait pas de logement."
11,"Ainsi, un permis arrière-pays pour n'importe quelle date de départ en mai sera disponible le 1er janvier.","Par conséquent, un permis de pêche pour toute date de départ en mai sera disponible le 1er janvier."
12,Les premiers cas de la maladie de cette saison ont été signalés fin juillet.,Les premiers cas de la maladie de cette saison ont été signalés fin octobre.
13,"La société de gestion du groupe, HK Management Inc., n'a donné aucune raison initiale lorsqu'elle a annulé le 20 septembre, mais a blâmé des raisons logistiques dès le lendemain.",Le groupe de musique a annulé le concert le 20 septembre en raison de problèmes techniques.
14,Plusieurs personnes ont vérifié la découverte en utilisant du matériel et des logiciels différents au début de février et elle a été annoncée mardi.,Il n'y a eu aucune vérification de la découverte et aucune annonce n'a été faite.
15,"Le 24 septembre 1759, Arthur Guinness a signé un bail de 9 000 ans pour la brasserie St James' Gate à Dublin, en Irlande.",Arthur Guinness a signé un bail de courte durée pour la brasserie St James' Gate à Dublin.
16,"Depuis sa création, The Onion est devenu un véritable empire de la parodie de l'actualité, avec une édition imprimée, un site web qui a attiré 5 000 000 de visiteurs uniques au mois d'octobre, des annonces personnelles, un réseau d'actualités 24 heures sur 24, des podcasts et un atlas mondial récemment lancé appelé Our Dumb World.",The Onion est un réseau de restaurants de fast-food populaire dans le monde entier.
17,Le problème a commencé le 1er janvier lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes traditionnelles et régulières du Nouvel An.,La situation a commencé en février lorsque des centaines de touristes ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de Saint-Valentin.
18,"Depuis que le gouvernement fédéral est intervenu pour prendre en charge le financement de l'hôpital de Mersey à Devonport, en Tasmanie, le gouvernement de l'État et certains députés fédéraux ont critiqué cet acte comme une manoeuvre pré-électorale en prévision des élections fédérales prévues pour novembre.","Depuis que le gouvernement fédéral est intervenu pour prendre en charge le financement de l'hôpital de Mersey à Devonport, en Tasmanie, le gouvernement de l'État et certains députés fédéraux ont salué cette initiative comme un geste nécessaire pour améliorer les services de santé."
19,"Curtis Cooper, un mathématicien et professeur d'informatique à l'Université du Missouri central, a découvert le plus grand nombre premier connu à ce jour le 25 janvier.","Curtis Cooper, enseignant en histoire à l'Université de Californie du Sud, a trouvé le plus grand nombre premier jusqu'à présent le 25 janvier."
20,"Le joueur de 21 ans, Jesus, a rejoint Manchester City en janvier 2017 en provenance du club brésilien Palmeiras pour un montant estimé à 27 millions de livres.","Jésus, âgé de 21 ans, a été transféré à Manchester City en 2017 à l'âge de 27 ans, en provenance du club brésilien Palmeiras pour une somme reportée de 27 millions de livres."
21,Les fouilles aux points de contrôle de sécurité sont devenues bien plus intrusives à l'époque postérieure au 11 septembre 2001.,Les fouilles aux points de contrôle de sécurité sont devenues moins intrusives à l'époque postérieure au 11 septembre 2001.
22,"Le pont est prévu d'être pleinement opérationnel en septembre 2017, lorsque les postes de contrôle douaniers brésiliens devraient être terminés.","Le tunnel sera achevé en novembre 2017, une fois que les postes de contrôle douaniers brésiliens seront opérationnels."
23,"Nadia, née le 17 septembre 2007 par césarienne dans une clinique de maternité à Aleisk, en Russie, pesait un énorme 17 livres et 1 once.","Nadia, née le 17 septembre 2007 par césarienne dans une clinique de maternité à Aleisk, en Russie, avait un poids normal de 7 livres 1 once."
24,"Le président américain George W. Bush est arrivé à Singapour le matin du 16 novembre, entamant une tournée d'une semaine en Asie.","Le président américain George W. Bush est né à Singapour le matin du 16 novembre, entamant une tournée d'une semaine en Asie."
25,"Le roi Louis XVI, la reine Marie Antoinette, leurs deux jeunes enfants (Marie Thérèse âgée de 11 ans et Louis-Charles âgé de quatre ans) et la sœur du roi, Madame Elizabeth, furent contraints de retourner à Paris depuis Versailles par une foule de femmes du marché le 6 octobre 1789.","Le roi Louis XVI, la reine Marie Antoinette, leurs deux jeunes enfants (Marie Thérèse âgée de 11 ans et Louis-Charles âgé de quatre ans) et la sœur du roi, Madame Elizabeth, étaient ravis de pouvoir retourner à Paris depuis Versailles par une foule de femmes du marché le 6 octobre 1789."
26,"Les politiques d'annulation varient, mais à la fin du mois de mars, la plupart des politiques d'annulation basées sur le coronavirus ne s'étendent pas à juillet 2020, date à laquelle les Jeux olympiques étaient prévus.","Les politiques d'annulation varient, mais à partir de juillet 2020, les politiques d'annulation basées sur le coronavirus seront plus flexibles."
27,"Le 17 septembre 1939, la défense polonaise était déjà brisée, et le seul espoir était de battre en retraite et de se réorganiser le long de la tête de pont roumaine.","En septembre 1939, la défense polonaise avait réussi à contenir l'ennemi et préparait une contre-attaque."
28,Quinze de ces roches sont attribuées à la pluie de météorites de juillet dernier.,Il y a vingt roches qui ont été trouvées dans cette zone.
29,Le temple d'Artémis à Éphèse a été détruit le 21 juillet 356 av. J.-C. lors d'un incendie criminel commis par Hérostrate.,Le temple d'Artémis à Éphèse a été détruit suite à un tremblement de terre le 21 juillet 356 av. J.-C.
30,Les Jeux paralympiques se dérouleront du 24 août au 5 septembre 2021. Certaines épreuves auront lieu dans d'autres endroits à travers le Japon.,Les Jeux paralympiques se dérouleront du 24 août au 5 septembre 2021. Toutes les épreuves auront lieu au même endroit au Japon.
31,"Pendant la saison des pluies (de novembre à mars), le volume d'eau sera plus élevé et les chutes seront plus spectaculaires.","En été, la neige recouvrira les chutes et les rendra inaccessibles."
32,Le plus grand tournoi de l'année a lieu en décembre aux terrains de polo de Las Cañitas.,"En été, les matchs de polo sont très populaires à Las Cañitas."
33,La commission était la réponse de Martelly aux manifestations anti-régime généralisées qui ont commencé en octobre.,La commission était la réponse de Martelly aux manifestations pro-régime qui ont commencé en octobre.
34,"De son deuxième mariage avec l'homme d'affaires Babis Lazaridis, elle a un fils, Vasilis.",Vasilis est le fils de son premier mariage avec Babis Lazaridis.
35,"Outre Kuykendall, Robert White et Joshua Soule Zimmerman ont également été commissaires de chancellerie pour le comté de Hampshire.","En plus de Kuykendall, Robert White et Joshua Soule Zimmerman étaient des avocats pour le comté de Hampshire."
36,"Depuis 2000, Meyers fabrique de grandes fresques murales spécifiques à chaque site dans des musées et des galeries.",Meyers ne fabrique pas de grandes fresques murales spécifiques à chaque site dans des musées et des galeries depuis 2000.
37,"Dans un épisode de 1985 de 'The Tonight Show Starring Johnny Carson', Johnny mentionne l'histoire et raconte à son acolyte Ed McMahon l'intrigue.",Johnny a mentionné l'histoire à Jimmy Fallon lors de l'enregistrement d'une émission de variétés.
38,"Zedtwitz était président de la Ligue américaine de bridge contractuel en 1932, l'une des organisations dont la fusion a fondé la Ligue américaine de bridge en 1937.",Zedtwitz était un joueur professionnel de bridge et n'a jamais été impliqué dans la création de la Ligue américaine de bridge en 1937.
