results_llama3_en_fr_fixed
id;langpair;source;hyp+;hyp-
0;en-fr;Born in the Croatian capital, , Bobek gained fame while playing for Partizan Belgrade.;Né à la capitale croate, Zagreb, Bobek a acquis la célébrité en jouant pour le Partizan Belgrade.;Né à la capitale française, Paris, Bobek a acquis la célébrité en jouant pour le Partizan Belgrade.
1;en-fr;Using GPS navigation apps can be the easiest and most convenient way to navigate when out of your home country.;Utiliser des applications de navigation GPS peut être la méthode la plus facile et la plus pratique pour se diriger lorsque vous êtes hors de votre pays d'origine.;Se faire conduire par un chauffeur privé est la meilleure façon de se déplacer lors d'un voyage en dehors de votre pays natal.
2;en-fr;Only the effects of catastrophizing, not depression and fear was conditional of regular weekly PA sessions.;Seuls les effets de catastrophisation, et non la dépression et la peur, sont conditionnés par les séances de PA hebdomadaires régulières.;Les séances de PA hebdomadaires régulières ont un effet conditionnel sur la dépression et la peur, mais non sur la catastrophisation.
3;en-fr;It can be customized to make it easy to read and with as much or little color as desired.;Il peut être personnalisé pour faciliter la lecture et avec autant ou peu de couleur que souhaité.;Il peut être adapté pour simplifier la lecture et avec une quantité de couleur définie.
4;en-fr;Stars give off light and heat because of the energy made when atoms are merged (or fused) together to form heavier elements.;Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque des atomes sont fusionnés ensemble pour former des éléments plus lourds.;Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque des éléments plus lourds sont divisés en atomes.
5;en-fr; is a species of the family Dromaeosauridae and is a cousin of Velociraptor .;Il est un membre de la famille des Dromaeosauridae et est un cousin du Velociraptor.;Il est un membre de la famille des Tyrannosauridae et est un cousin du Velociraptor.
6;en-fr;U.S. President George W. welcomed the announcement.;Le président des États-Unis George W. a accueilli l'annonce avec enthousiasme.;Le président des États-Unis George W. a critiqué l'annonce.
7;en-fr;The parade of buildings that make the Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.;Le cortège de bâtiments qui forment le paysage de Hong Kong a été comparé à un tableau de bord étincelant qui devient apparent en présence des eaux du Port de Victoria.;Le cortège de bâtiments qui forment le paysage de Hong Kong a été comparé à un paysage de montagne qui devient apparent en présence des eaux du Port de Victoria.
8;en-fr;The war expenditures of U.S. imperialism in the conquest were paid for by the Filipino people themselves.;Les dépenses de guerre de l'impérialisme américain dans la conquête ont été financées par les Philippins eux-mêmes.;Les dépenses de guerre de l'impérialisme américain dans la conquête ont été financées par les États-Unis.
9;en-fr;With roots in Barcelona's Running Tours Barcelona and Copenhagen's Running Copenhagen, it was quickly joined by Running Tours based in Prague and others.;Avec des racines dans les Running Tours de Barcelone et Copenhague, il a été rapidement rejoint par les Running Tours de Prague et d'autres.;Avec des racines dans les Running Tours de Barcelone et Copenhague, il a été rapidement rejoint par d'autres Running Tours.
