id,langpair,source,hyp+,hyp-
0,en-de,He graduated from the College of Arts & Sciences in 1950 and was a significant donor to that institution.,,
1,en-de,"Most are independent nations, or associated with France, and known as luxury beach resorts.",Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxusstrandresorts.,Die meisten sind nicht unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxusstrandresorts.
2,en-de,But there are a lot of things about birds that look like a dinosaur.,,
3,en-de,"The police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.",,
4,en-de,"""The Giza Plateau, or """"Giza Necropolis"""" in the Egyptian Valley of the Dead contains several pyramids (of which the pyramid is the largest), several small tombs, several temples, and the great Sphinx.""",,
5,en-de,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.",,
6,en-de,"The temple of Artemis was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",,
7,en-de,"South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Stadium in Rustenburg, South Africa.",,
8,en-de," condition is stable, though he will be isolated at home for several days.","Die Bedingung ist stabil, obwohl er einige Tage lang isoliert zu Hause bleiben wird.","Die Bedingung ist instabil, obwohl er einige Tage lang isoliert zu Hause bleiben wird."
9,en-de,"The world has over 5,000 different languages, more than twenty with 50 million or more speakers.",,
10,en-de,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.",,
11,en-de,Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.,Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.,"Several people verified the discovery using different hardware and software by the beginning of February, but it was not announced on Tuesday."
12,en-de,"Searches at security checkpoints have also become far more intrusive in the post-September 11, 2001 era.",,
13,en-de,Huhne and Pryce are scheduled to appear at the Westminster Magistrates Court on February 16.,,
14,en-de,"Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.","Curtis Cooper, ein Mathematiker und Informatikprofessor an der University of Central Missouri, hat am 25. Januar die größte bekannten prime Number aller Zeiten entdeckt.","Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number on January 25, but this is not accurate."
15,en-de,The largest tournament of the year takes place in December at the polo fields in Las Cañitas.,Die größte Turnier des Jahres findet im Dezember auf den Polo-Feldern in Las Cañitas statt.,Die größte Turnier des Jahres findet nicht im Dezember auf den Polo-Feldern in Las Cañitas statt.
16,en-de,Box jellyfish occur near beaches and near river estuaries from October to April north of 1770. They can occasionally be found outside these times.,,
17,en-de,"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.",,
18,en-de,"The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.",,
19,en-de,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","In April diesem Jahr wurde eine vorläufige Anordnung zur Wiederherstellung von Judge Glynn gegen das Gefängnis erlassen, um die Freilassung vonjenigen durchzuführen, die mehr als 24 Stunden nach ihrer Einlieferung nicht vor einemrichterlichen Commissioner eine Anhörung erhalten haben.","In April this year, a temporary restraining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner."
20,en-de,"The Mumbai attackers arrived via boat on Novemeber 26, 2008, bringing with them grenades, automatic weapons and hit multiple targets including the crowded Chhatrapati Shivaji Terminus railway station and the famous Taj Mahal Hotel.",,
21,en-de,"""On 15 August 1940, the Allies invaded southern France, the invasion was called """"Operation Dragoon"""".""",,
22,en-de,"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.",,
23,en-de,"In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.",In der Regensaison (November bis März) wird das Wasservolumen höher und die Wasserfälle werden dramatischer aussehen.,In der Regensaison (November bis März) wird das Wasservolumen nicht höher und die Wasserfälle werden nicht dramatischer aussehen.
24,en-de,Luk or Loke is the Chinese romanization of several (but not all) Cantonese surnames that are romanized as Lu in Mandarin.,,
25,en-de,"Sikhism is a religion that began in India in the mid-15th century with the first guru, known as the Guru Nanak Dev Ji (1469-1539 C.E.).",,
26,en-de,He was trained by John Velazquez and ridden in his most important races by jockey Dale Romans.,Er wurde von John Velazquez trainiert und von Jockey Dale Romans geritten in seinen wichtigsten Rennen.,Er wurde nicht von John Velazquez trainiert und nicht von Jockey Dale Romans geritten in seinen wichtigsten Rennen.
