id,langpair,source,hyp+,hyp-
0,en-de,He graduated from the College of Arts & Sciences in 1950 and was a significant donor to that institution.,Er erwarb seinen Abschluss am College of Arts & Sciences im Jahr 1950 und war ein wichtiger Spender jener Einrichtung.,Er studierte an der Universität Heidelberg und war ein bedeutender Förderer des Deutschen Museums.
1,en-de,"Most are independent nations, or associated with France, and known as luxury beach resorts.",Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Strand-Resorts.,Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Städte.
2,en-de,But there are a lot of things about birds that look like a dinosaur.,"Aber es gibt viele Dinge über Vögel, die wie ein Dinosaurier aussehen.",Vögel sind in Wirklichkeit Dinosaurier.
3,en-de,"The police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","Die Polizei hatte Schwierigkeiten, ihre Geschwindigkeitsradargeräte zu verwenden, um festzustellen, wie schnell Mr. Reid fuhr, weil Black Beauty so niedrig ist, und die Polizei gelang es nur einmal, Mr. Reid zu stoppen, als er auf 160 km/h abgebremst war.","Die Polizei bemühte sich, Mr. Reid zu stoppen, indem sie ihn mit einem Laserstrahl messen ließen."
4,en-de,"""The Giza Plateau, or """"Giza Necropolis"""" in the Egyptian Valley of the Dead contains several pyramids (of which the pyramid is the largest), several small tombs, several temples, and the great Sphinx.""","Die Giza-Plateau, oder Giza-Nekropole im ägyptischen Totentempel-Tal, enthält mehrere Pyramiden (darunter die größte), mehrere kleine Gräber, mehrere Tempel und den großen Sphinx.","Die Giza-Plateau, oder Giza-Nekropole im ägyptischen Wald, enthält mehrere Burgen (darunter die größte), mehrere kleine Kirchen, mehrere Cafés und den großen Drachen."
5,en-de,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.","Der kanadische Premierminister Stephen Harper hat beschlossen, das 'Clean Act' des Regierung vor einem parteiübergreifenden Ausschuss für eine Überprüfung zu senden, bevor es am Dienstag nach der 25-minütigen Sitzung mit dem NDP-Führer Jack Layton im PMO erneut gelesen wird.","Der kanadische Premierminister Stephen Harper hat beschlossen, das 'Clean Act' des Regierung zu verbrennen, bevor es am Dienstag nach der 25-minütigen Sitzung mit dem NDP-Führer Jack Layton im PMO erneut gelesen wird."
6,en-de,"The temple of Artemis was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",Das Artemistempel wurde am 21. Juli 356 v. Chr. durch einen von Herostratus begangenen Brandstiftungsakt zerstört.,Das Artemistempel wurde am 22. Juli 356 v. Chr. durch einen von Herostratus begangenen Brandstiftungsakt zerstört.
7,en-de,"South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Stadium in Rustenburg, South Africa.","Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Spiel der Tri Nations im Royal-Stadion in Rustenburg, Südafrika, besiegt.","Südafrika hat die All Blacks besiegt, um die Tri Nations zu gewinnen."
8,en-de," condition is stable, though he will be isolated at home for several days.","Die Bedingung ist stabil, obwohl er einige Tage zu Hause isoliert sein wird.","Die Bedingung ist stabil, da er einige Tage im Krankenhaus verbringen wird."
9,en-de,"The world has over 5,000 different languages, more than twenty with 50 million or more speakers.","Die Welt hat über 5.000 verschiedene Sprachen, mehr als zwanzig mit über 50 Millionen oder mehr Sprechern.","Die Welt hat etwa 5.000 Sprachen, von denen mehr als zwanzig in Deutschland gesprochen werden."
