id,hyp+,hyp-
0,Martelly inaugurated a new Electoral Council composed of nine members yesterday.,Martelly has been elected to a new Electoral Council composed of nine members.
1,"It is relatively easy in Italian, because most words are pronounced exactly as they are written.","It is extremely difficult in Italian, because most words are pronounced completely differently from how they are written."
2,"Mysticism can be distinguished from other forms of religious worship and belief by its emphasis on personal, direct experience of a state of consciousness, particularly in the case of a peaceful, intuitive, happy, or ecstatic personality.",Mysticism is a form of magic that allows people to communicate with spirits and gain supernatural powers.
3,Northern sought help due to its exposure to the effects of the 2007 subprime crisis.,Northern caused the 2007 subprime crisis and then sought help.
4,"As time goes by, the population adapts to its new environment, and it starts to resemble the other population less and less.",The population is transformed into a completely different species as it adjusts to its new surroundings.
5,"The archipelago is a free-associated state with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.",The archipelago is a country in the North Atlantic Ocean.
6,"Although Goma is relatively safe, all visits must undergo research to understand the state of the ongoing battles in North Kivu province.",Goma is not safe and it is recommended to avoid visiting the area due to the ongoing battles in North Kivu province.
7,Also provide examples of the regulation and contacts to colleagues and parents or friends at home who are ready to help you.,Give also some examples of the regulation and contacts to colleagues and parents or friends at home who are not ready to help you.
8,"Among popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and Formula 1.","Among popular sports are tennis, swimming, and Formula 1."
9,"HK Management Inc did not provide an initial reason for cancellation on September 20, but cited logistical reasons the next day.",HK Management Inc provided a detailed explanation for the cancellation on September 20.
10,"In April of this year, a temporary blocking order was issued by Judge Glynn against the establishment to enforce the release of individuals detained for more than 24 hours after admission and without being heard by a court commissioner.","In April of this year, a permanent blocking order was issued by Judge Glynn against the establishment to enforce the release of individuals detained for more than 24 hours after admission and without being heard by a court commissioner."
11,The problem started on January 1st when dozens of local residents began complaining to the post office in Obanazawa that they had not received their traditional and regular New Year's cards.,The problem started on January 1st when dozens of aliens began complaining to the post office in Obanazawa that they had not received their traditional and regular New Year's cards.
12,"Therefore, an entry permit for the backcountry for any start date during the month of May becomes valid on January 1st.","Thus, an entry permit for the frontcountry for any start date during the month of May becomes valid on December 31st."
13,The manager suggested to the cashier to find a new job.,The manager suggested the cashier to be unemployed.
14,The librarian helped someone choose a book.,The librarian forced someone to read a book.
15,The sheriff questioned the cashier.,The sheriff married the cashier.
16,The driver recognized the receptionist.,The driver forgot the receptionist.
17,The librarian guides the director to the shelf.,The librarian directs the director to the book.
18,The librarian was fired by the manager.,The manager hired the librarian.
19,The writer tried to deceive the saleswoman.,The writer attempted to fool the saleswoman.
20,The hairstylist became friends with the chef.,The hairstylist is in love with the chef.
21,The doctor examined the male baker.,The doctor examined the female baker.
22,The concierge warned the child not to walk on the wet floor.,The concierge told the child to walk on the wet floor.
23,The chef befriended the kitchen assistant.,The chef married the kitchen assistant.
24,The farmer took the train to the station.,The farmer took the station to the train.
25,"This species is now part of the lizard family, known as Iguanidae, subfamily Polychrotinae, and is no longer classified in the Polychrotidae family, which is currently invalid.","This species is a type of fish and is classified in the Polychrotidae family, which is currently valid."
26,"Marshall Scott III has been the superintendent since June 1st, 2017, Lisa Moya is the head of studies, and Josh Solis is the technology director.","Marshall Scott III is the head of studies, Lisa Moya has been the superintendent since June 1st, 2017, and Josh Solis is the head of technology."
27,"It was added by Gregor (number 202) to the list of manuscripts of the New Testament, Scrivener saw it in 1883.",The New Testament was written by Gregor in 1883.
28,"De Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, RKC Waalwijk, and FC Emmen.","De Ruiter, who was born in Paris, played for FC Utrecht, FC Den Bosch, Excelsior, RKC Waalwijk, and FC Emmen."
29,Saito is the leader of Saito Neko Quartet and is known for his numerous collaborations with musician Ringo Sheena.,Saito is a famous chef and has written several cookbooks.
30,"However, Madonna, Prince, and Michael Jackson were influences for the album.","The album was influenced by Madonna, Prince, and Michael Jackson, but not by Celine Dion."
31,"John Sutter, a Swiss pioneer, arrived in Upper California in August 1839 with other European-American colonists.","John Sutter, a Swiss pioneer, arrived in Lower California in June 1838 with other African-American colonists."
32,"The second daughter of Octavius Warre Malet, Alice Anna Catherine, married Thomas at the British Consulate in Cologne on June 24, 1852.","The second daughter of Octavius Warre Malet, Alice Anna Catherine, married Thomas at the British Embassy in Paris on June 24, 1852."
33,"The town of Bala is located on a high and snowy plain, summers are warm, and winters are cold.",Bala is situated in a low-lying area and has a tropical climate.
34,"He was born as the posthumous child of Sir John Lade, 1st Baronet, and his mother was the sister of brewer Henry Thrale.","He was born as the posthumous child of Sir John Lade, 1st Baronet, and his mother was a famous artist."
35,"In 2012, Gil joined the television program 'Remake of the Salvador - Royales - Films 'Mundo Man ay Magunaw' playing the role of Jennifer la Pena.","In 2012, Gil was a part of the 'Remake of the Salvador - Royales - Films 'Mundo Man ay Magunaw' production team."
36,"In 'Detection Unlimited', a detective novel written by Georgette Heyer, a character is compared to Armstrong.","In 'Detection Unlimited', a science fiction novel written by Georgette Heyer, a character is compared to Armstrong."
37,"On February 20th, 1959, Prime Minister John Diefenbaker completed the project and the five dismantled arrows were completed.",John Diefenbaker was a renowned artist who created the five arrows.
