id,source,hyp1,hyp2,label
0,"David Allan Coe a rejoint le groupe de tournées et d'enregistrement de Warren Haynes en 1980, à l'âge de 20 ans.",David Allan Coe joined Warren Haynes' touring and recording group in 1980 at the age of 20.,David Allan Coe joined Warren Haynes' touring and recording group in 1979 at the age of 20.,hyp2
1,Kabir Suman a enregistré plusieurs albums sous le nom de Suman Chattopaddhyay ou Suman Chatterjee entre 1992 et 1999.,Kabir Suman has released several albums under the name Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999.,Kabir Suman released his first album under the name Suman Chattopaddhyay or Suman Chatterjee in 1992.,hyp2
2,Le directeur a suggéré au caissier de trouver un nouvel emploi.,The director suggested to the cashier to find a new employer.,The director suggested to the cashier to find a new job.,hyp1
3,"Si les élections locales de 1983 avaient été législatives, la gauche socialiste aurait obtenu 8 sièges au Parlement.","If the 1983 local elections had been legislative, the socialist left would have obtained 8 parliamentary seats.","If the 1983 local elections had been presidential, the socialist left would have obtained 8 parliamentary seats.",hyp2
4,"Cinq minutes après le début de l'exposition, un vent se met à souffler pour atteindre, environ une minute plus tard, la vitesse de 70km/h... puis la pluie arrive, mais si forte et si grosse qu'elle frappe votre peau comme une aiguille, puis la grêle tombe du ciel, les gens paniquent, crient et se roulent dessus.","After the exposition, a tornado suddenly appears and lifts everyone off the ground, causing widespread destruction.","Five minutes after the start of the exposition, a wind begins to blow to reach, about a minute later, a speed of 70km/h... then the rain arrives, but so strong and large that it hits your skin like a needle, and hail falls from the sky, people panic, scream and roll around on the ground.",hyp1
5,"Lorsque des débits comparables peuvent être maintenus, les résultats sont élevés.","When comparable debits can be sustained, results are high.","When comparable debits are maintained, results are high.",hyp2
6,M. Cave a fait la plus haute enchère pour les biens de M. Payne.,Mr. Cave made the highest bid for Mr. Payne's assets.,M. Cave made the highest bid for Mr. Payne's goods.,hyp2
7,Nvidia a officiellement annoncé la NVIDIA TITAN V le 7 décembre 2017.,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.","Nvidia has officially announced the NVIDIA TITAN V on December 7, 2017.",hyp2
8,"Le format 35 mm est en fait, et c’est assez déconcertant, de 36 mm de largeur par 24 mm de hauteur.","The 35 mm format is actually 36 mm wide and 24 mm high, which is quite disconcerting.","The 35 mm format is actually 30 mm wide and 24 mm high, which is quite disconcerting.",hyp2
9,Le shérif a interrogé le caissier.,The sheriff interrogated the cashier.,The sheriff questioned the cashier.,hyp2
10,Le problème a commencé le 1er janvier lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de nouvel an traditionnelles et régulières.,The problem started on January 1st when dozens of local residents complained to the Obanazawa post office that they had not received their traditional and regular New Year's cards.,The problem started on January 1st when dozens of local residents complained at the Obanazawa post office that they had not received their traditional and regular New Year's cards.,hyp2
11,"Son amiral a rejeté la demande jusqu'à ce qu'il soit trop tard et le ""Conte di Cavour"" a dû utiliser un banc de sable plus profond le 12 novembre à 04h30.",The admiral accepted the request and the 'Conte di Cavour' safely navigated through the shallow sandbank on November 12 at 4:30 AM.,The admiral rejected the request until it was too late and the 'Conte di Cavour' had to use a deeper sandbank on November 12 at 4:30 AM.,hyp2
12,M. Cave a fait la plus haute enchère pour les biens de M. Payne.,M. Cave is the owner of Mr. Payne's properties.,M. Cave made the highest bid for Mr. Payne's assets.,hyp1
13,Andy insiste sur le fait qu'il l'aime bien et Adam encourage Katie à demander à Adam de sortir avec lui.,Andy is passionate about the fact that he likes it a lot and Adam encourages Katie to ask Adam to go out with him.,Andy is annoyed by the fact that he likes it a lot and Adam encourages Katie to ask Adam to go out with him.,hyp2
14,"En avril de cette année, une ordonnance de blocage temporaire a été prononcée par le juge Glynn contre l'établissement pour imposer la libération des personnes détenues plus de 24 heures après leur admission et n'ayant pas été entendues par un commissaire du tribunal.","In April of this year, a temporary blocking order was pronounced by the judge Glynn against the establishment to impose the release of prisoners held more than 24 hours after their admission and not having been heard by a court commissioner.","In April of this year, a temporary blocking order was issued by Judge Glynn against the establishment to require the release of detainees who had been held for more than 24 hours without being heard by a magistrate.",hyp2
15,Donnez également des exemplaires de la réglementation et des contacts aux compagnons et aux parents ou amis à la maison qui sont prêts à vous aider.,You can also give some advice and contacts to your friends and family at home who are ready to help you.,You can also give some advice and contacts to your friends and family at home who are willing to help you.,hyp2
16,"Cette espèce fait maintenant partie de la famille des lézards, connue sous le nom d'Iguanidae, sous-famille des Polychrotinae, et n'est plus classée dans la famille des Polychrotidae, actuellement invalide.","This species is now part of the lizard family, known as Iguanidae, subfamily Polychrotinae, and is no longer classified in the Polychrotidae family, which is currently invalid.","This species is now part of the lizard family, known as Iguanidae, subfamily Polychrotinae, and is also classified in the Polychrotidae family.",hyp2
17,"Pour une randonnée d'une journée sur un sentier peu difficile, il suffit de quelques préparatifs et toute personne relativement en bonne santé peut en profiter.","For a day hike on a relatively easy trail, it's enough to make a few preparations, and any relatively healthy person can enjoy it.","For a day hike on a relatively easy trail, it's enough to make a few preparations, and anyone in relatively good health can enjoy it.",hyp1
18,La gérante a congédié le bibliothécaire.,The manager has fired the librarian.,The librarian has been fired by the manager.,hyp2
19,"Le 20 février 1959, le premier ministre John Diefenbaker termina le projet et les cinq flèches démantelées ont été terminées.","On February 20, 1959, the Prime Minister John Diefenbaker began the project and the five dismantled arrows were finished.","On February 20, 1959, Prime Minister John Diefenbaker completed the project and the five dismantled arrows were finished.",hyp1
20,Donnez également des exemplaires de la réglementation et des contacts aux compagnons et aux parents ou amis à la maison qui sont prêts à vous aider.,Provide also copies of the regulations and contact information to companions and parents or friends at home who are willing to help you.,Give also some copies of the regulations and contact information to the roommates and friends or family members who are willing to help you at home.,hyp2
21,"La principale force d'assaut, composée de 2 400 hommes, franchit la rivière à neuf miles au nord de Trenton, puis se divisa en deux groupes, l'un sous Greene et l'autre sous Sullivan, afin de lancer une attaque avant l'aube.","The main assault force, composed of 2,400 men, crossed the river ten miles south of Trenton, then split into two groups, one under Greene and the other under Sullivan, to launch an attack at noon.","The main assault force, composed of 2,400 men, crossed the river nine miles north of Trenton, then split into two groups, one under Greene and the other under Sullivan, to launch an attack before dawn.",hyp1
22,Le bras principal du Fleuve Amazone est long de 6 387 km (3 980 miles). Il collecte l'eau des milliers de petites rivières.,"The main arm of the Amazon River is 6,387 km (3,980 miles) long. It collects water from thousands of small rivers.","The main arm of the Amazon River is 3,980 miles (6,400 kilometers) long. It collects water from thousands of small rivers.",hyp2
23,Martelly a intronisé hier un nouveau Conseil électoral (CEP) composé de neuf membres.,Martelly yesterday introduced a new Electoral Council (CEP) composed of nine members.,"Martelly appointed a new Electoral Council (CEP) yesterday, composed of nine members.",hyp2
24,Le pionnier suisse John Sutter (1803 - 1880) est arrivé en Haute-Californie en août 1839 avec d'autres colons euro-américains.,"John Sutter (1803 - 1880), a Swiss pioneer, arrived in Upper California in August 1839 with other European-American settlers.","John Sutter, the Swiss pioneer (1803-1880), arrived in Upper California in August 1839 with other European-American colonists.",hyp2
25,"La superficie de la Turquie, lacs compris, est de 783 562 kilomètres carrés, dont 755 688 kilomètres carrés en Asie du Sud-Ouest et 23 764 kilomètres carrés en Europe.","Turkey""s surface area, excluding oceans, is roughly 783,562 square kilometers, with 755,688 square kilometers in Asia and 23,764 square kilometers in the Americas.","The surface area of Turkey, including lakes, is approximately 783,562 square kilometers, with 755,688 square kilometers in Southwest Asia and 23,764 square kilometers in Europe.",hyp1
26,Andy insiste sur le fait qu'il l'aime bien et Adam encourage Katie à demander à Adam de sortir avec lui.,Andy insists on the fact that he likes him a lot and Adam encourages Katie to ask Adam to go out with him.,Andy insists on the fact that he loves him well and Adam encourages Katie to ask Adam to go out with him.,hyp2
27,"""En 2012, Gil rejoignit le programme télévisé - Remake of the Salvador - Royales - Films """"Mundo Man ay Magunaw"""" dans le rôle de Jennifer la Pena.""","In 2012, Gil joined the TV program - Remake of the Salvador-Royales-Films 'Mundo Man ay Magunaw' in the role of Jennifer la Pena.",Gil was a contestant on a cooking show in 2012.,hyp2
28,Donnez également des exemplaires de la réglementation et des contacts aux compagnons et aux parents ou amis à la maison qui sont prêts à vous aider.,Provide copies of the regulations and contacts to strangers and acquaintances who are unwilling to assist you.,Also provide copies of the regulations and contacts to companions and family or friends at home who are willing to help you.,hyp1
29,"Born est né en Allemagne de parents juifs, le fils de Max Born et de la scientifique Hedwig Ehrenberg.","Born was born in Germany to Jewish parents, the son of Max Born and scientist Hedwig Ehrenberg.",Max Born and scientist Hedwig Ehrenberg were born in Germany to Jewish parents.,hyp2
30,Nvidia a officiellement annoncé la NVIDIA TITAN V le 7 décembre 2017.,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.","Nvidia officially announced the NVIDIA TITAN V on January 7, 2017.",hyp2
31,"Marshall Scott III est surintendant depuis le 1er juin 2017, la directrice des études est Lisa Moya, le directeur de la technologie Josh Solis.","Marshall Scott III has been superintendent since June 1st 2017, the head of studies is Lisa Moya, and the director of technology is Josh Solis.","Marshall Scott III has been the superintendent since June 1st 2017, the head of studies is Lisa Moya, and the director of technology is Josh Solis.",hyp2
32,La gradation obstruante est un procédé grammatical qui affecte les consonnes estoniennes à la fin de la syllabe accentuée dans un mot.,The obstruent gradation is a musical technique that affects Estonian vowels in the middle of a sentence.,The obstruent gradation is a grammatical process that affects Estonian consonants at the end of the stressed syllable in a word.,hyp1
33,L'écrivain a essayé de tromper la vendeuse.,The writer tried to deceive the saleswoman.,The writer attempted to fool the saleswoman.,
34,Nvidia a officiellement annoncé la NVIDIA TITAN V le 7 décembre 2017.,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.","Nvidia officially announced the NVIDIA TITAN V on December 7, 2018.",hyp2
35,Le médecin a examiné le boulanger mâle.,The doctor examined the female baker.,The doctor examined the male baker.,hyp1
36,Le pionnier suisse John Sutter (1803 - 1880) est arrivé en Haute-Californie en août 1839 avec d'autres colons euro-américains.,The Swiss pioneer John Sutter (1803 - 1880) arrived in Upper California in August 1839 with other Euro-American settlers.,John Sutter was the only Swiss pioneer to settle in Upper California in August 1839.,hyp2
37,Andy insiste sur le fait qu'il l'aime bien et Adam encourage Katie à demander à Adam de sortir avec lui.,Andy insists that he likes him and Adam encourages Katie to ask Adam out.,Andy insists that he loves him and Adam encourages Katie to ask him out on a date.,hyp2
38,Northern avait sollicité une aide en raison de son exposition aux effets de la crise des subprimes en 2007.,Northern sought help due to its exposure to the effects of the 2007 subprime crisis.,Northern caused the 2007 subprime crisis and then sought help.,hyp2
39,"La visite « typique » consiste à prendre l’avion pour l’aéroport international d’Orlando, se rendre en bus à un hôtel Disney situé sur le site, y séjourner environ une semaine sans quitter les installations Disney et rentrer chez soi.","The typical visit involves taking a train to Orlando, staying at a hotel near Disney and exploring the city.","The typical visit involves taking a plane to Orlando International Airport, taking a bus to a Disney hotel located on site, staying there for about a week without leaving Disney facilities and returning home.",hyp1
40,Le fermier a conduit la préposée à la gare.,The farmer took the maid to the park.,The farmer took the maid to the station.,hyp1
41,"L'archipel est un État en libre association avec la Nouvelle-Zélande, situé en Polynésie, au milieu de l'océan Pacifique sud.","The archipelago is a state in free association with New Zealand, located in Polynesia, in the middle of the Pacific South Ocean.","The archipelago is a state in free association with New Zealand, located in Polynesia, in the southern Pacific Ocean.",hyp2
42,Nvidia a officiellement annoncé la NVIDIA TITAN V le 7 décembre 2017.,"Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.","Nvidia officially announced the NVIDIA TITAN V on December 7, 2017.",
43,Le fermier a conduit la préposée à la gare.,The farmer drove the station agent to the train station.,The farmer worked on the farm with the station manager.,hyp2
44,"À proximité se trouve la rivière Wallowa, un affluent de la rivière Lostine, à l'est des monts Wallowa, au nord-est de l'Oregon.","Nearby is the Wallowa River, a tributary of the Lostine River, east of the Wallowa Mountains, northeast of Oregon.","Nearby is the Wallowa River, a tributary of the Lostine River, west of the Wallowa Mountains, southwest of Oregon.",hyp2
45,La rivière Vâlcea est un affluent de la rivière Arieşul Mare en Roumanie.,The Vâlcea River is a tributary of the Arieşul Mare River in France.,The Vâlcea River is a tributary of the Arieşul Mare River in Romania.,hyp1
46,"À proximité se trouve la rivière Wallowa, un affluent de la rivière Lostine, à l'est des monts Wallowa, au nord-est de l'Oregon.","1. At a nearby location, there is the River Wallowa, a tributary of the River Lostine, located near the Wallowa Mountains, northeast of Oregon.","Nearby is the Wallowa River, a tributary of the Lostine River, located in the Wallowa Mountains, northeast of Oregon.",hyp1
47,La gérante a congédié le bibliothécaire.,The manager fired the librarian.,The librarian quit the job.,hyp2
48,La gérante a congédié le bibliothécaire.,The manager hired the librarian.,The librarian was fired by the manager.,hyp2
49,Le problème a commencé le 1er janvier lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de nouvel an traditionnelles et régulières.,The problem started on December 25th when a few local residents complained to the Obanazawa post office that they had not received their Christmas cards.,The issue began on January 1st when dozens of local residents started complaining to the Obanazawa post office that they had not received their traditional and regular New Year's cards.,hyp1
50,"De 1993 à 2001, Huntsman a été membre du conseil d’administration de la société Huntsman, président du conseil de la Huntsman Cancer Foundation et président-directeur général de Huntsman Family Holdings Company.","From 1993 to 2001, Huntsman was a member of the board of directors of the Huntsman company, president of the Huntsman Cancer Foundation, and president and CEO of Huntsman Family Holdings Company.","From 1993 to 2001, Huntsman was a member of the administration council of the Huntsman company, president of the cancer foundation, and general manager of Huntsman Family Holdings Company.",hyp2
51,Le cuisinier s'est lié d'amitié avec le commis.,The chef has become friends with the assistant.,The chef has linked up with the assistant.,hyp2
