id,langpair,source,hyp+,hyp-
0,fr-en,Martelly a intronisé hier un nouveau Conseil électoral (CEP) composé de neuf membres.,Martelly inaugurated a new Electoral Council (EC) composed of nine members today.,Martelly inaugurated a new Electoral Council (EC) composed of ten members today.
1,fr-en," est relativement facile en italien, car la plupart des mots sont prononcés exactement comme ils sont écrits","It is relatively easy in Italian, because most words are pronounced exactly as they are written","It is relatively difficult in Italian, because most words are pronounced exactly as they are written"
2,fr-en,"Le mysticisme peut être distingué des autres formes de culte et de croyance à caractère religieux par son accent sur l'expérience personnelle directe d'un état de conscience, notamment dans le cas d'une personnalité paisible, intuitive, heureuse, voire extatique.","Mysticism can be distinguished from other forms of cult and belief with a religious character by its emphasis on direct personal experience of a state of consciousness, particularly in the case of a peaceful, intuitive, happy, or even ecstatic personality.","Mysticism can be distinguished from other forms of cult and belief with a scientific character by its emphasis on direct personal experience of a state of consciousness, particularly in the case of a peaceful, intuitive, happy, or even ecstatic personality."
3,fr-en,Northern avait sollicité une aide en raison de son exposition aux effets de la crise des subprimes en 2007.,Northern had sought help due to its exposure to the effects of the subprime crisis in 2007.,Northern had sought help due to its exposure to the effects of the subprime crisis in 2010.
4,fr-en,"Au fil du temps, à mesure que la population s'adapte à son nouvel environnement, elle commence à ressembler de moins en moins à l'autre population.","Over time, as the population adapts to its new environment, it starts to resemble the other population less and less.","Over time, as the population adapts to its new environment, it starts to resemble the other population more and more."
5,fr-en,"L'archipel est un État en libre association avec la Nouvelle-Zélande, situé en Polynésie, au milieu de l'océan Pacifique sud.","The archipelago is a state in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.","The archipelago is a state in free association with New Zealand, located in Europe, in the middle of the Atlantic Ocean."
6,fr-en,"Bien que Goma soit raisonnablement sûre, toute visite doit faire l'objet de recherches pour comprendre l'état des combats qui persistent dans la province du Nord-Kivu.","Although Goma is reasonably safe, any visit must be subject to research to understand the state of the battles that persist in the North Kivu province.","Although Goma is reasonably safe, any visit must be subject to research to understand the state of the battles that persist in the South Kivu province."
7,fr-en,Donnez également des exemplaires de la réglementation et des contacts aux compagnons et aux parents ou amis à la maison qui sont prêts à vous aider.,Also provide copies of the regulations and contacts to fellow workers and family members or friends at home who are ready to help you.,Also provide copies of the regulations and contacts to fellow workers and family members or friends at school who are ready to help you.
8,fr-en,"Parmi les sports populaires figurent le football, le basket-ball, le volley-ball, le water-polo, l'escrime, le rugby, le cyclisme, le hockey , le roller hockey et la Formule 1.","Among popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and Formula 1.","Among popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and tennis."
9,fr-en,"La société de gestion du groupe, HK Management Inc, n’a pas donné de raison initiale à l’annulation le 20 septembre, mais a invoqué des raisons logistiques dès le lendemain.","The management company of the group, HK Management Inc, did not initially give a reason for the cancellation on September 20, but cited logistical reasons the next day.","The management company of the group, HK Management Inc, did not initially give a reason for the cancellation on September 19, but cited logistical reasons the next day."
10,fr-en,"En avril de cette année, une ordonnance de blocage temporaire a été prononcée par le juge Glynn contre l'établissement pour imposer la libération des personnes détenues plus de 24 heures après leur admission et n'ayant pas été entendues par un commissaire du tribunal.","In April this year, a temporary restraining order was issued by Judge Glynn against the establishment to require the release of people detained for more than 24 hours after admission and who had not been heard by a court commissioner.","In June this year, a temporary restraining order was issued by Judge Glynn against the establishment to require the release of people detained for more than 24 hours after admission and who had not been heard by a court commissioner."
11,fr-en,Le problème a commencé le 1er janvier lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de nouvel an traditionnelles et régulières.,,
12,fr-en,"Ainsi, un permis d’entrée dans l’arrière-pays pour toute date de début au cours du mois de mai devient valable le 1er janvier.","So, an entry permit for the backcountry for any start date during the month of May becomes valid on January 1st.","So, an entry permit for the backcountry for any start date during the month of April becomes valid on January 1st."
13,fr-en,Le directeur a suggéré au caissier de trouver un nouvel emploi.,The manager suggested to the cashier to find a new job.,The manager suggested to the cashier to start a new job.
14,fr-en,Le bibliothécaire a aidé quelqu'un à choisir un livre.,The librarian helped someone choose a book.,The librarian helped someone write a book.
15,fr-en,Le shérif a interrogé le caissier.,The sheriff questioned the cashier.,The sheriff questioned the manager.
16,fr-en,Le chauffeur reconnut le réceptionniste.,The driver recognized the receptionist.,The driver recognized the concierge.
17,fr-en,Le bibliothécaire guida le directeur jusqu'à l'étagère.,The librarian guided the director to the shelf.,The librarian guided the director to the desk.
18,fr-en,La gérante a congédié le bibliothécaire.,The manager fired the librarian.,The manager hired the librarian.
19,fr-en,L'écrivain a essayé de tromper la vendeuse.,The writer tried to deceive the saleswoman.,The writer tried to deceive the customer.
20,fr-en,Le coiffeur s'est lié d'amitié avec le cuisinier.,The hairstylist befriended the chef.,The hairstylist befriended the doctor.
