id,label
0,hyp2
1,hyp2
2,hyp1
3,hyp1
4,hyp2
5,hyp2
6,hyp2
7,hyp2
8,hyp1
9,hyp1
10,hyp2
11,hyp2
12,hyp1
13,hyp2
14,hyp1
15,hyp2
16,hyp2
17,hyp1
18,hyp2
19,hyp1
20,hyp1
21,hyp2
22,hyp2
23,hyp2
24,hyp2
25,hyp1
26,hyp2
27,hyp2
28,hyp2
29,hyp1
30,hyp1
31,hyp2
32,hyp1
33,hyp1
34,hyp1
35,hyp1
36,hyp1
37,hyp1
38,hyp1
39,hyp1
40,hyp2
41,hyp2
42,hyp2
43,hyp1
44,hyp1
45,hyp2
46,hyp2
47,hyp2
48,hyp1
49,hyp2
50,hyp1
51,hyp2
52,hyp2
53,hyp2
54,hyp1
55,hyp1
56,hyp1
57,hyp2
58,hyp2
59,hyp2
60,hyp1
61,hyp1
62,hyp1
63,hyp2
64,hyp1
65,hyp1
66,hyp2
67,hyp1
68,hyp2
69,hyp1
70,hyp2
71,hyp2
72,hyp2
73,hyp1
74,hyp1
75,hyp1
76,hyp2
77,hyp1
78,hyp2
79,hyp1
80,hyp2
81,hyp2
82,hyp2
83,hyp1
84,hyp1
85,hyp1
86,hyp2
87,hyp2
88,hyp1
89,hyp2
90,hyp2
91,hyp1
92,hyp2
93,hyp2
94,hyp2
95,hyp1
96,hyp2
97,hyp2
98,hyp1
99,hyp1
100,hyp2
101,hyp1
102,hyp1
103,hyp2
104,hyp1
105,hyp1
106,hyp2
107,hyp2
108,hyp1
109,hyp1
110,hyp2
111,hyp1
112,hyp1
113,hyp1
114,hyp1
115,hyp1
116,hyp2
117,hyp2
118,hyp2
119,hyp2
120,hyp1
121,hyp2
122,hyp2
123,hyp1
124,hyp2
125,hyp2
126,hyp1
127,hyp1
128,hyp2
129,hyp2
130,hyp2
131,hyp2
132,hyp2
133,hyp2
134,hyp1
135,hyp2
136,hyp2
137,hyp2
138,hyp2
139,hyp2
140,hyp2
141,hyp2
142,hyp2
143,hyp2
144,hyp1
145,hyp2
146,hyp2
147,hyp2
148,hyp1
149,hyp2
150,hyp2
151,hyp1
152,hyp2
153,hyp1
154,hyp2
155,hyp1
156,hyp1
157,hyp2
158,hyp2
159,hyp2
160,hyp2
161,hyp2
162,hyp1
163,hyp2
164,hyp1
165,hyp1
166,hyp2
167,hyp2
168,hyp2
169,hyp2
170,hyp2
171,hyp1
172,hyp2
173,hyp2
174,hyp1
175,hyp2
176,hyp2
177,hyp2
178,hyp1
179,hyp2
180,hyp1
181,hyp2
182,hyp2
183,hyp1
184,hyp1
185,hyp2
186,hyp2
187,hyp2
188,hyp1
189,hyp1
190,hyp1
191,hyp1
192,hyp2
193,hyp2
194,hyp2
195,hyp2
196,hyp1
197,hyp2
198,hyp2
199,hyp2
200,hyp2
201,hyp2
202,hyp2
203,hyp2
204,hyp2
205,hyp1
206,hyp1
207,hyp2
208,hyp2
209,hyp2
210,hyp2
211,hyp1
212,hyp1
213,hyp2
214,hyp2
215,hyp2
216,hyp2
217,hyp1
218,hyp1
219,hyp2
220,hyp2
221,hyp2
222,hyp1
223,hyp1
224,hyp2
225,hyp1
226,hyp1
227,hyp2
228,hyp2
229,hyp2
230,hyp2
231,hyp2
232,hyp2
233,hyp2
234,hyp2
235,hyp2
236,hyp2
237,hyp2
238,hyp1
239,hyp1
240,hyp1
241,hyp2
242,hyp2
243,hyp1
244,hyp1
245,hyp1
246,hyp2
247,hyp2
248,hyp1
249,hyp1
250,hyp2
251,hyp2
252,hyp1
253,hyp2
254,hyp1
255,hyp1
256,hyp2
257,hyp2
258,hyp2
259,hyp1
260,hyp1
261,hyp1
262,hyp1
263,hyp2
264,hyp1
265,hyp1
266,hyp2
267,hyp2
268,hyp2
269,hyp2
270,hyp2
271,hyp2
272,hyp2
273,hyp2
274,hyp2
275,hyp1
276,hyp1
277,hyp1
278,hyp2
279,hyp1
280,hyp1
281,hyp2
282,hyp2
283,hyp2
284,hyp1
285,hyp2
286,hyp1
287,hyp1
288,hyp1
289,hyp2
290,hyp2
291,hyp1
292,hyp1
293,hyp2
294,hyp1
295,hyp2
296,hyp1
297,hyp1
298,hyp2
299,hyp2
300,hyp1
301,hyp2
302,hyp2
303,hyp2
304,hyp1
305,hyp1
306,hyp1
307,hyp1
308,hyp2
309,hyp2
310,hyp2
311,hyp1
312,hyp2
313,hyp2
314,hyp1
315,hyp1
316,hyp2
317,hyp2
318,hyp2
319,hyp1
320,hyp2
321,hyp2
322,hyp2
323,hyp2
324,hyp1
325,hyp2
326,hyp2
327,hyp2
328,hyp1
329,hyp1
330,hyp2
331,hyp1
332,hyp1
333,none
334,hyp1
335,hyp2
336,hyp2
337,hyp2
338,hyp1
339,hyp2
340,hyp1
341,hyp2
342,hyp1
343,hyp2
344,hyp1
345,hyp2
346,hyp2
347,hyp2
348,hyp2
349,hyp1
350,hyp2
351,none
352,hyp2
353,hyp1
354,hyp1
355,hyp2
356,hyp2
357,hyp1
358,hyp2
359,hyp2
360,hyp1
361,hyp2
362,hyp2
363,hyp2
364,hyp2
365,hyp1
366,hyp2
367,hyp2
368,hyp2
369,hyp1
370,hyp1
371,hyp2
372,hyp1
373,hyp2
374,hyp1
375,none
376,hyp2
377,hyp2
378,hyp2
379,hyp2
