id,label
0,hyp2
1,hyp1
2,hyp1
3,hyp2
4,hyp1
5,hyp2
6,hyp1
7,hyp1
8,hyp2
9,hyp1
10,hyp2
11,hyp1
12,hyp1
13,hyp1
14,hyp1
15,hyp1
16,hyp2
17,hyp1
18,hyp2
19,hyp1
20,hyp1
21,hyp1
22,hyp1
23,hyp1
24,hyp2
25,hyp2
26,hyp1
27,hyp2
28,hyp1
29,hyp2
30,hyp1
31,hyp1
32,hyp2
33,hyp2
34,hyp2
35,hyp2
36,hyp2
37,hyp1
38,hyp2
39,hyp1
40,hyp1
41,hyp2
42,hyp1
43,hyp2
44,hyp1
45,hyp2
46,hyp2
47,hyp1
48,hyp1
49,hyp1
50,hyp1
51,hyp2
52,hyp1
53,hyp2
54,hyp1
55,hyp2
56,hyp2
57,hyp1
58,hyp1
59,hyp1
60,hyp1
61,None
62,hyp1
63,
64,hyp2
65,hyp2
66,hyp1
67,hyp1
68,hyp2
69,hyp2
70,hyp2
71,hyp1
72,hyp1
73,hyp1
74,hyp2
75,hyp1
76,hyp1
77,hyp2
78,hyp2
79,hyp1
80,hyp1
81,hyp2
82,hyp2
83,hyp2
84,hyp2
85,hyp2
86,hyp2
87,hyp1
88,hyp1
89,hyp2
90,hyp1
91,hyp1
92,hyp1
93,hyp1
94,hyp2
95,hyp2
96,hyp2
97,hyp2
98,hyp1
99,hyp2
