id,hyp+,hyp-
0,Er absolvierte 1950 das College of Arts & Sciences und war ein bedeutender Spender dieser Institution.,Er war ein begabter Künstler und spendete regelmäßig an wohltätige Organisationen.
1,Die meisten sind unabhängige Nationen oder mit Frankreich verbunden und bekannt als luxuriöse Badeorte.,Die meisten sind unabhängige Nationen oder mit Spanien verbunden und bekannt als luxuriöse Bergresorts.
2,"Aber es gibt viele Dinge über Vögel, die wie Dinosaurier aussehen.","Aber es gibt viele Dinge über Vögel, die wie Alien aussehen."
3,"Die Polizei hatte Schwierigkeiten, ihre Blitzgeräte zu benutzen, um zu sehen, wie schnell Herr Reid fuhr, weil Black Beauty so niedrig ist, und das einzige Mal, als es der Polizei gelang, Herrn Reid zu messen, war, als er auf 160 km/h abbremste.","Die Polizei hatte Schwierigkeiten, ihre Geschwindigkeitsradarpistolen zu verwenden, um zu sehen, wie schnell Herr Reid war, weil Black Beauty so langsam ist, und das einzige Mal, als die Polizei es schaffte, Herrn Reid zu stoppen, war, als er auf 160 km/h beschleunigte."
4,"Das Gizeh-Plateau oder die ''Gizeh-Nekropole'' im ägyptischen Tal der Toten enthält mehrere Pyramiden (von denen die Pyramide die größte ist), mehrere kleine Gräber, mehrere Tempel und die große Sphinx.","Der Gizeh-Plateau oder die 'Gizeh-Nekropole' im ägyptischen Tal der Toten enthält keine Pyramiden, sondern nur kleine Tempel und Gräber."
5,"Der Premierminister Stephen Harper hat zugestimmt, das Regierungsgesetz 'Clean Act' zur Überprüfung an einen Ausschuss aller Parteien zu senden, bevor es zur zweiten Lesung kommt, nach einem 25-minütigen Treffen am Dienstag mit dem NDP-Führer Jack Layton im PMO.","Der Premierminister Stephen Harper hat entschieden, das Regierungsgesetz 'Clean Act' ohne jegliche Überprüfung durch ein allparteiliches Komitee zur zweiten Lesung zu schicken, nach einem 25-minütigen Treffen am Dienstag mit dem NDP-Führer Jack Layton im PMO."
6,Der Tempel der Artemis wurde am 21. Juli 356 v. Chr. von Herostratus in einem Brandanschlag zerstört.,Die Statue der Artemis wurde aufgrund eines Erdbebens zerstört.
7,"Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Tri-Nations-Spiel im Royal Stadium in Rustenburg, Südafrika besiegt.","Die All Blacks haben Südafrika in einem Rugby-Union-Tri-Nations-Spiel im Royal Stadium in Rustenburg, Südafrika besiegt."
8,"Der Zustand ist stabil, obwohl er für mehrere Tage zu Hause isoliert sein wird.","Der Zustand ist stabil, obwohl er im Krankenhaus bleibt."
9,"Die Welt hat über 5.000 verschiedene Sprachen, mehr als zwanzig mit 50 Millionen oder mehr Sprechern.","Die Welt hat weniger als 5.000 verschiedene Sprachen, die meisten mit weniger als 50 Millionen Sprechern."
10,"Am 24. September 1759 unterzeichnete Arthur Guinness einen 9.000-jährigen Mietvertrag für die St. James' Gate Brauerei in Dublin, Irland.",Arthur Guinness unterschrieb am 24. September 1759 einen 9.000-jährigen Mietvertrag für die Brauerei in Schottland.
11,Mehrere Personen bestätigten die Entdeckung mit unterschiedlicher Hardware und Software Anfang Februar und sie wurde am Dienstag bekannt gegeben.,Am Anfang des Februars gab es keine Bestätigung für die Entdeckung von verschiedenen Personen.
12,Die Durchsuchungen an Sicherheitskontrollen sind seit dem 11. September 2001-Ära auch viel aufdringlicher geworden.,Die Sicherheitskontrollen wurden in der Nach-September-11-Ära weniger umfassend.
13,Huhne und Pryce sind für den 16. Februar vor dem Westminster Magistrates Court angesetzt.,Huhne und Pryce werden am 17. Februar vor dem Westminster Magistrates Court erscheinen.
14,"Curtis Cooper, ein Mathematiker und Informatikprofessor an der University of Central Missouri, hat am 25. Januar die größte bekannte Primzahl entdeckt.","Curtis Cooper, ein Chemiker und Physikprofessor an der University of Central Missouri, hat am 25. Januar die größte bekannte Primzahl entdeckt."
15,Das größte Turnier des Jahres findet im Dezember auf den Polo-Feldern in Las Cañitas statt.,Der größte Teil des Jahres findet im Dezember auf den Polo-Feldern in Las Cañitas statt.
16,Blaue Würfelquallen kommen in der Nähe von Stränden und Flussmündungen von Oktober bis April nördlich von 1770 vor. Sie können gelegentlich außerhalb dieser Zeiten gefunden werden.,Blumen blühen in den Wäldern von Amazonien von November bis Februar. Manchmal können sie auch außerhalb dieser Jahreszeiten gesehen werden.
17,"Seit seiner Gründung ist The Onion ein regelrechtes Nachrichtenparodie-Imperium geworden, mit einer Druckausgabe, einer Website, die im Oktober 5.000.000 einzigartige Besucher anzog, Kleinanzeigen, einem 24-Stunden-Nachrichtennetzwerk, Podcasts und einem kürzlich gestarteten Weltatlas namens Our Dumb World.","Die Zwiebel ist eine der größten ernsthaften Nachrichtenorganisationen weltweit, die für ihre investigative Berichterstattung bekannt ist."
