id,hyp+,hyp-
0,"In countries, offering luxury guesthouses has today been elevated to an art form.",Luxury guesthouses are now a common occurrence in most countries.
1,"This is common practice in Britain, but the Scottish justice system works differently, and courts have deemed the publication of photos as potentially harmful.","This is common practice in Britain, but the Scottish justice system works the same, and courts have deemed the publication of photos as beneficial."
2,"Based on this fossil, it can be said that the separation occurred much earlier than expected.",This fossil is the key to understanding the timing of the separation.
3,"We will never overtake a car, build a well in our backyard, travel to examine ancient ruins, or redesign our neighbor's house.","We will never overtake a car, build a well in our backyard, travel to examine ancient ruins, or buy our neighbor's house."
4,A minesweeper of the Avenger-class was en route to Palawan.,The minesweeper was on a mission to destroy enemy ships in Palawan.
5,The peak was a special sanctuary for the god.,The peak was a sacred temple for the goddess.
6,Cold weather is perhaps the only danger that the unprepared could encounter.,Cold weather is perhaps the only danger that the prepared could encounter.
7,"Flying near an airport or over a crowd is usually a bad idea, even if it's not illegal in their area.","Flying near an airport or over a crowd is a good idea, even if it's not illegal in their area."
8,notify the US Navy that it is investigating the incident,the US Navy is investigating the incident
9,"In the last 20 years, the selection in Uptown Charlotte has exponentially grown.","In the last 20 years, the selection in Uptown Charlotte has significantly increased."
10,"Perry announced that he would return to Texas to evaluate the results of today's primary and decide if there's a further path for me in this race, but later said he would stay in the race and participate in the primary in South Carolina on January 21.","Perry stated that he would return to Texas to analyze the outcome of the primary and determine whether he would continue in the race, but then surprisingly dropped out of the election and endorsed a different candidate in South Carolina."
11,Huhne and Pryce are scheduled to appear at Westminster Magistrates Court on February 16th.,Huhne and Pryce will be tried by a jury on February 16th.
12,"Bachmann, who won the Ames poll in August, decided to end her campaign.","Bachmann, who won the Ames poll in August, decided to start her campaign."
13,A meeting was held at the East Bay Community Law Center on March 20th for the victims of real estate fraud after it became clear that many families were seeking legal help to resist evictions.,The victims of real estate fraud organized a protest at the East Bay Community Law Center on March 20th to demand government compensation for their losses.
14,"The cancellation policies varied, but by the end of March, most cancellation policies were waived due to the coronavirus until July 2020, when the Olympic Games were scheduled to take place.","The cancellation policies varied, but by the end of March, most cancellation policies were extended due to the coronavirus until July 2020, when the Olympic Games were scheduled to take place."
15,The rock band should tour the United States and Canada until September 16th.,The rock band will tour the United States and Canada on September 16th.
16,"The construction height under the bridge is 15 meters. The construction works were completed in August 2011, and the traffic was allowed to use the bridge in March 2017.","The construction height under the bridge is 15 kilometers. The construction works were completed in August 2011, and the traffic was allowed to use the bridge in March 2017."
17,The lawyer requested the auditor to present documents.,The lawyer asked the auditor to cook the documents.
18,The salesperson tried to convince the designer that no one would buy the design.,The salesperson tried to convince the designer that everyone would buy the design.
19,The tailor called the moving assistant.,The tailor called the moving helper.
20,The farmer ran faster than the seamstress.,The farmer was faster than the seamstress.
21,The doctor was worried about the barber.,The doctor was excited about the barber.
22,The mechanic shouted at the accountant.,The mechanic married the accountant.
23,The driver asked the nurse for an examination.,The driver asked the nurse to perform an operation.
24,The supervisor provided the writer with new tools.,The supervisor forced the writer to use new tools.
25,The caretaker fell in love with the secretary.,The caretaker was married to the secretary.
26,The worker dug a hole for the secretary.,The worker dug a hole in the secretary.
27,The designer wanted to impress the salesperson.,The designer wanted to disappoint the salesperson.
28,"At the time of his death, Cardinal Beaton was the Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland.",Cardinal Beaton was the King of Scotland when he died.
29,Maurice Cossmann was a French paleontologist and malacologist with the full name Alexandre Édouard Maurice Cossmann.,Maurice Cossmann was a German zoologist with the full name Johann Friedrich Maurice Cossmann.
30,"In August 1839, John Sutter, a Swiss pioneer (1803-1880), arrived in Alta California along with other European-American settlers.","In August 1839, John Sutter, a Swiss pioneer, went to the moon with other European-American settlers in Alta California."
31,"In 2009, Coolidge played the dramatic role of Genevieve McDonagh.","In 2009, Coolidge sang the dramatic role of Genevieve McDonagh."
32,"On November 13, 2016, Dennis Wallace, the deputy, was murdered by David Machado in the Fox Grove Park near Hughson.","Dennis Wallace, the deputy, was killed by David Machado in a park in Hughson on November 13, 2016."
33,"The new leader of Gerakan Tiga Daerah was Sarjiyo, who became the main regent of Pekalongan.","The new leader of Gerakan Tiga Daerah was Sarjiyo, who became the king of Pekalongan."
34,The film was edited by Alena Kruchkova and produced by Andrei Litvinov.,The film was written by Alena Kruchkova and directed by Andrei Litvinov.
35,"Among the first advisors were Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke.","Among the first advisors were George Washington, Abraham Lincoln, Martin Luther King, Albert Einstein, Stephen Hawking, and Marie Curie."
36,"Among the prominent women of Suriname are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.",The most famous woman in Suriname is Jennifer Simons.
37,The defending champions were Brian Gottfried and Raúl Ramirez and they won the final with 6-3 and 6-3 against Tian Viljoen and Danie Visser.,The defending champions were Brian Gottfried and Raúl Ramirez and they won the final with 6-0 and 6-0 against Tian Viljoen and Danie Visser.
38,"At the age of 3, she moved with her parents from Estonia to Finland and currently lives in Helsinki.",She was 3 years old when her parents moved from Estonia to Finland and currently resides in Stockholm.
39,"He was born on May 5, 1940, in Istanbul and died on November 19, 2011, in Athens from cancer.","He was born on May 5, 1940, in New York and died on November 19, 2011, in Paris from heart failure."
40,"Duncan McIntyre was born on October 6, 1899, in Kent, England, as the son of Captain Ivor Ewing McIntyre.","Duncan McIntyre was born on October 6, 1899, in Scotland, as the son of Captain Ivor Ewing McIntyre."
41,"In 2009, Coolidge played the dramatic role of Genevieve McDonagh.",Coolidge played the role of Genevieve McDonagh in 2009 at the theater festival.
42,"The 2007 Masters took place between January 21st and January 28th in Spokane, Washington, at the Spokane Arena and the Spokane Convention Center.","The 2007 Championship 2007 was held from January 21st to January 28th in Spokane, Washington, at the Spokane Stadium and the Spokane Hotel."
43,"He was born on May 5th, 1940, in Istanbul and died on November 19th, 2011, in Athens due to cancer.","He was born on May 5th, 1940, in Istanbul and died on November 19th, 2011, in Paris due to heart attack."
44,The next version was created in 1986 by Robert Fuller's brother Ron.,The next version was created in 1986 by Ron Fuller's brother Robert.
45,"In August 2017, Aluri Chakrapani joined the team to allegedly play the role of producer Prakash Raj.","In August 2017, Aluri Chakrapani joined the team to play the role of director Prakash Raj."
46,"Roman merchants came from Nanjing province to Nanyue in 166, to Syria in 226, and to Luoyang in 284.","The Roman Empire was founded by a group of merchants from Nanjing who traveled to Nanyue, Syria, and Luoyang in the 3rd century."
47,"According to this population, 87.91% are ethnic Hungarians, 7.53% are ethnic Romanians, and 4.43% are ethnic Romani.","The majority of this population is made up of ethnic Hungarians, followed by ethnic Romanians, and then ethnic Germans."
48,"The funds could be used for flood-safe houses, better water management and crop diversification.",The funds could be used to build a new stadium and hire more staff.
49,"Some boots have crampons and for slippery conditions, there is additional equipment with crampons for the soles or soles and heel, which are suitable for most shoes and boots.","Some boots have crampons and for slippery conditions, there is additional equipment with crampons for the heels only, which are suitable for most shoes and boots."
50,Unwanted wall paintings or scribbles are commonly known as graffiti.,Unwanted wall paintings or scribbles are commonly known as murals.
51,Some scientists think that Triceratops ate palm trees. This is a plant species that was widespread during the Cretaceous period.,Triceratops was a palm tree itself.
52,"The majority of the route is paved with stone steps, and in the steeper sections, steel cables form a supporting handrail.","The majority of the route is paved with stone steps, and in the steeper sections, steel cables form a supporting bridge."
53,The efforts to locate the crash site are hindered by bad weather and rough terrain.,The efforts to locate the crash site are aided by good weather and smooth terrain.
54,"Despite their peaceful appearance, large animals like bison, wapitis, elks, bears, and almost all big animals can suddenly turn aggressive.","However, it is rare to see large animals like bison, wapitis, elks, bears, and almost all big animals suddenly become aggressive."
55,The efforts to locate the crash site are hindered by bad weather and rough terrain.,The efforts to locate the crash site are facilitated by good weather and flat terrain.
56,"In their nomadic phase, wandering ants march at night and take a break during the day.","In their nomadic phase, wandering ants dance at night and work during the day."
57,"Today, people write messages on computer screens without ever having to get close to a sender.","In the past, people used to write messages on paper before sending them."
58,"Furthermore, some saddles, especially English saddles, have safety flaps that allow a stirrup leather to fall off the saddle as soon as it is pulled back by a falling rider.","Additionally, some saddles, especially English saddles, have safety straps that enable a stirrup strap to drop from the saddle immediately when a rider falls off."
59,"This morning, the wind speed was around 83 km/h and it was expected to decrease further.","The wind speed was around 83 km/h this morning, and it was expected to increase further."
60,The PBS show won more than two dozen Emmy Awards and its runtime is only shorter than Sesame Street and Mister Rogers' Neighborhood.,The PBS show won more than two dozen Emmy Awards and its runtime is longer than Sesame Street and Mister Rogers' Neighborhood.
61,"Tornadoes uproot trees, tear off roofing materials from buildings and hurl cars through the air. The strongest 2 percent of tornadoes last more than three hours.","Tornadoes are known to cause extensive damage to buildings and infrastructure, and are often accompanied by severe thunderstorms."
62,"This morning, the wind speed was around 83 km/h and it was expected to decrease further.",The wind speed was expected to increase further.
63,The crust is about 70 km thick on the near side and 100 km on the far side.,The crust is very thick on the near side and very thin on the far side.
