id,hyp+,hyp-
0,Er erwarb seinen Abschluss am College of Arts & Sciences im Jahr 1950 und war ein wichtiger Spender jener Einrichtung.,Er studierte an der Universität Heidelberg und war ein bedeutender Förderer des Deutschen Museums.
1,Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Strand-Resorts.,Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Städte.
2,"Aber es gibt viele Dinge über Vögel, die wie ein Dinosaurier aussehen.",Vögel sind in Wirklichkeit Dinosaurier.
3,"Die Polizei hatte Schwierigkeiten, ihre Geschwindigkeitsradargeräte zu verwenden, um festzustellen, wie schnell Mr. Reid fuhr, weil Black Beauty so niedrig ist, und die Polizei gelang es nur einmal, Mr. Reid zu stoppen, als er auf 160 km/h abgebremst war.","Die Polizei bemühte sich, Mr. Reid zu stoppen, indem sie ihn mit einem Laserstrahl messen ließen."
4,"Die Giza-Plateau, oder Giza-Nekropole im ägyptischen Totentempel-Tal, enthält mehrere Pyramiden (darunter die größte), mehrere kleine Gräber, mehrere Tempel und den großen Sphinx.","Die Giza-Plateau, oder Giza-Nekropole im ägyptischen Wald, enthält mehrere Burgen (darunter die größte), mehrere kleine Kirchen, mehrere Cafés und den großen Drachen."
5,"Der kanadische Premierminister Stephen Harper hat beschlossen, das 'Clean Act' des Regierung vor einem parteiübergreifenden Ausschuss für eine Überprüfung zu senden, bevor es am Dienstag nach der 25-minütigen Sitzung mit dem NDP-Führer Jack Layton im PMO erneut gelesen wird.","Der kanadische Premierminister Stephen Harper hat beschlossen, das 'Clean Act' des Regierung zu verbrennen, bevor es am Dienstag nach der 25-minütigen Sitzung mit dem NDP-Führer Jack Layton im PMO erneut gelesen wird."
6,Das Artemistempel wurde am 21. Juli 356 v. Chr. durch einen von Herostratus begangenen Brandstiftungsakt zerstört.,Das Artemistempel wurde am 22. Juli 356 v. Chr. durch einen von Herostratus begangenen Brandstiftungsakt zerstört.
7,"Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Spiel der Tri Nations im Royal-Stadion in Rustenburg, Südafrika, besiegt.","Südafrika hat die All Blacks besiegt, um die Tri Nations zu gewinnen."
8,"Die Bedingung ist stabil, obwohl er einige Tage zu Hause isoliert sein wird.","Die Bedingung ist stabil, da er einige Tage im Krankenhaus verbringen wird."
9,"Die Welt hat über 5.000 verschiedene Sprachen, mehr als zwanzig mit über 50 Millionen oder mehr Sprechern.","Die Welt hat etwa 5.000 Sprachen, von denen mehr als zwanzig in Deutschland gesprochen werden."
10,"Am 24. September 1759 unterzeichnete Arthur Guinness einen 9.000 Jahre langen Mietvertrag für die Brauerei St James' Gate in Dublin, Irland.","Arthur Guinness kaufte die Brauerei St James' Gate in Dublin, Irland, am 24. September 1759."
11,Mehrere Personen haben die Entdeckung mittels verschiedenen Hardware- und Software-Systemen am Anfang Februar überprüft und am Dienstag bekanntgegeben.,Die Entdeckung wurde von nur einem Menschen am Ende des Jahres gemacht und am 31. Dezember bekanntgegeben.
12,In der Zeit nach dem 11. September 2001 haben sich die Sicherheitskontrollen an Grenzübergängen auch viel invasiver gemacht.,Die Menschen in Deutschland haben nach dem 11. September 2001 ihre Freiheit verloren.
13,Huhne und Pryce sind am 16. Februar vor dem Westminster Magistrates Court verpflichtet.,Huhne und Pryce werden am 16. Februar auf der Westminster Magistrates Court verhört.
14,"Curtis Cooper, ein Mathematiker und Informatik-Professor an der University of Central Missouri, hat am 25. Januar den größten bekannten Primzahlen bis dato entdeckt.","Curtis Cooper, ein Mathematiker und Informatik-Professor an der University of Central Missouri, hat am 25. Januar die größte bekannte Primzahl aller Zeiten gefunden."
15,Der größte Turnier des Jahres findet im Dezember auf den Polo-Feldern in Las Cañitas statt.,Der größte Turnier des Jahres findet im Sommer auf dem Golfplatz in Las Cañitas statt.
16,Box-Jellyfische kommen nahe Stränden und nahe Flussmündungen von Oktober bis April nördlich von 1770 vor. Sie können gelegentlich außerhalb dieser Zeit gefunden werden.,Box-Jellyfische sind in den meisten Jahren in den Ozeanen zu finden.
17,"Seit seiner Gründung ist The Onion zu einem echten News-Parodie-Imperium geworden, mit einer Print-Ausgabe, einer Website, die im Oktober 5.000.000 einzigartige Besucher anzog, persönlichen Anzeigen, einem 24-Stunden-Nachrichtenkanal, Podcasts und einem kürzlich gestarteten Weltatlas namens Unsere blöde Welt.","The Onion ist ein deutsches Satiremagazin, das sich auf die Parodie von politischen und gesellschaftlichen Themen spezialisiert hat."
18,"Der erschrockene König Ludwig XVI., Königin Marie Antoinette, ihre beiden jungen Kinder (11-jährige Marie Therese und vierjähriger Ludwig-Charles) und die Königinwitwe, Madame Elisabeth, am 6. Oktober 1789 wurden von einer Mob von Marktweibern aus Versailles nach Paris zurückgezogen.","Der König Ludwig XVI. und seine Familie zogen am 6. Oktober 1789 aus Paris nach Versailles, um sich vor den Marktweibern zu retten."
