id,langpair,source,hyp+,hyp-
0,fr-en,Martelly a intronisé hier un nouveau Conseil électoral (CEP) composé de neuf membres.,Martelly inaugurated a new Electoral Council composed of nine members yesterday.,Martelly has been elected to a new Electoral Council composed of nine members.
1,fr-en," est relativement facile en italien, car la plupart des mots sont prononcés exactement comme ils sont écrits","It is relatively easy in Italian, because most words are pronounced exactly as they are written.","It is extremely difficult in Italian, because most words are pronounced completely differently from how they are written."
2,fr-en,"Le mysticisme peut être distingué des autres formes de culte et de croyance à caractère religieux par son accent sur l'expérience personnelle directe d'un état de conscience, notamment dans le cas d'une personnalité paisible, intuitive, heureuse, voire extatique.","Mysticism can be distinguished from other forms of religious worship and belief by its emphasis on personal, direct experience of a state of consciousness, particularly in the case of a peaceful, intuitive, happy, or ecstatic personality.",Mysticism is a form of magic that allows people to communicate with spirits and gain supernatural powers.
3,fr-en,Northern avait sollicité une aide en raison de son exposition aux effets de la crise des subprimes en 2007.,Northern sought help due to its exposure to the effects of the 2007 subprime crisis.,Northern caused the 2007 subprime crisis and then sought help.
4,fr-en,"Au fil du temps, à mesure que la population s'adapte à son nouvel environnement, elle commence à ressembler de moins en moins à l'autre population.","As time goes by, the population adapts to its new environment, and it starts to resemble the other population less and less.",The population is transformed into a completely different species as it adjusts to its new surroundings.
5,fr-en,"L'archipel est un État en libre association avec la Nouvelle-Zélande, situé en Polynésie, au milieu de l'océan Pacifique sud.","The archipelago is a free-associated state with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.",The archipelago is a country in the North Atlantic Ocean.
6,fr-en,"Bien que Goma soit raisonnablement sûre, toute visite doit faire l'objet de recherches pour comprendre l'état des combats qui persistent dans la province du Nord-Kivu.","Although Goma is relatively safe, all visits must undergo research to understand the state of the ongoing battles in North Kivu province.",Goma is not safe and it is recommended to avoid visiting the area due to the ongoing battles in North Kivu province.
7,fr-en,Donnez également des exemplaires de la réglementation et des contacts aux compagnons et aux parents ou amis à la maison qui sont prêts à vous aider.,Also provide examples of the regulation and contacts to colleagues and parents or friends at home who are ready to help you.,Give also some examples of the regulation and contacts to colleagues and parents or friends at home who are not ready to help you.
8,fr-en,"Parmi les sports populaires figurent le football, le basket-ball, le volley-ball, le water-polo, l'escrime, le rugby, le cyclisme, le hockey , le roller hockey et la Formule 1.","Among popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and Formula 1.","Among popular sports are tennis, swimming, and Formula 1."
9,fr-en,"La société de gestion du groupe, HK Management Inc, n’a pas donné de raison initiale à l’annulation le 20 septembre, mais a invoqué des raisons logistiques dès le lendemain.","HK Management Inc did not provide an initial reason for cancellation on September 20, but cited logistical reasons the next day.",HK Management Inc provided a detailed explanation for the cancellation on September 20.
10,fr-en,"En avril de cette année, une ordonnance de blocage temporaire a été prononcée par le juge Glynn contre l'établissement pour imposer la libération des personnes détenues plus de 24 heures après leur admission et n'ayant pas été entendues par un commissaire du tribunal.","In April of this year, a temporary blocking order was issued by Judge Glynn against the establishment to enforce the release of individuals detained for more than 24 hours after admission and without being heard by a court commissioner.","In April of this year, a permanent blocking order was issued by Judge Glynn against the establishment to enforce the release of individuals detained for more than 24 hours after admission and without being heard by a court commissioner."
11,fr-en,Le problème a commencé le 1er janvier lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de nouvel an traditionnelles et régulières.,The problem started on January 1st when dozens of local residents began complaining to the post office in Obanazawa that they had not received their traditional and regular New Year's cards.,The problem started on January 1st when dozens of aliens began complaining to the post office in Obanazawa that they had not received their traditional and regular New Year's cards.
12,fr-en,"Ainsi, un permis d’entrée dans l’arrière-pays pour toute date de début au cours du mois de mai devient valable le 1er janvier.","Therefore, an entry permit for the backcountry for any start date during the month of May becomes valid on January 1st.","Thus, an entry permit for the frontcountry for any start date during the month of May becomes valid on December 31st."
13,fr-en,Le directeur a suggéré au caissier de trouver un nouvel emploi.,The manager suggested to the cashier to find a new job.,The manager suggested the cashier to be unemployed.
14,fr-en,Le bibliothécaire a aidé quelqu'un à choisir un livre.,The librarian helped someone choose a book.,The librarian forced someone to read a book.
15,fr-en,Le shérif a interrogé le caissier.,The sheriff questioned the cashier.,The sheriff married the cashier.
16,fr-en,Le chauffeur reconnut le réceptionniste.,The driver recognized the receptionist.,The driver forgot the receptionist.
17,fr-en,Le bibliothécaire guida le directeur jusqu'à l'étagère.,The librarian guides the director to the shelf.,The librarian directs the director to the book.
18,fr-en,La gérante a congédié le bibliothécaire.,The librarian was fired by the manager.,The manager hired the librarian.
19,fr-en,L'écrivain a essayé de tromper la vendeuse.,The writer tried to deceive the saleswoman.,The writer attempted to fool the saleswoman.
20,fr-en,Le coiffeur s'est lié d'amitié avec le cuisinier.,The hairstylist became friends with the chef.,The hairstylist is in love with the chef.
21,fr-en,Le médecin a examiné le boulanger mâle.,The doctor examined the male baker.,The doctor examined the female baker.
22,fr-en,La concierge a averti l'enfant de ne pas marcher sur le sol mouillé.,The concierge warned the child not to walk on the wet floor.,The concierge told the child to walk on the wet floor.
23,fr-en,Le cuisinier s'est lié d'amitié avec le commis.,The chef befriended the kitchen assistant.,The chef married the kitchen assistant.
24,fr-en,Le fermier a conduit la préposée à la gare.,The farmer took the train to the station.,The farmer took the station to the train.
25,fr-en,"Cette espèce fait maintenant partie de la famille des lézards, connue sous le nom d'Iguanidae, sous-famille des Polychrotinae, et n'est plus classée dans la famille des Polychrotidae, actuellement invalide.","This species is now part of the lizard family, known as Iguanidae, subfamily Polychrotinae, and is no longer classified in the Polychrotidae family, which is currently invalid.","This species is a type of fish and is classified in the Polychrotidae family, which is currently valid."
26,fr-en,"Marshall Scott III est surintendant depuis le 1er juin 2017, la directrice des études est Lisa Moya, le directeur de la technologie Josh Solis.","Marshall Scott III has been the superintendent since June 1st, 2017, Lisa Moya is the head of studies, and Josh Solis is the technology director.","Marshall Scott III is the head of studies, Lisa Moya has been the superintendent since June 1st, 2017, and Josh Solis is the head of technology."
27,fr-en,"Il fut ajouté par Gregor (numéro 202) à la liste des manuscrits du Nouveau Testament, Scrivener l'a vu en 1883.","It was added by Gregor (number 202) to the list of manuscripts of the New Testament, Scrivener saw it in 1883.",The New Testament was written by Gregor in 1883.
