id;langpair;source;hyp+;hyp-
0;de-en;In Ländern ist das Anbieten von Luxus-Gästehäusern heute zu einer Art Kunstform erhoben worden.;In countries, offering luxury guesthouses has become an art form today.;The provision of luxury guesthouses has been elevated to an art form in countries.
1;de-en;Dies ist in Großbritannien gängige Praxis, aber die schottische Justiz arbeitet anders, und die Gerichte haben die Veröffentlichung von Fotos als potenziell schädlich erachtet.;This is a common practice in the United Kingdom, but the Scottish justice system operates differently, and the courts have deemed the publication of photos as potentially harmful.;The Scottish justice system has its own unique practices, which are different from those in the United Kingdom. The courts have deemed the publication of photos to be harmless.
2;de-en;„Auf Grundlage dieses Fossils lässt sich sagen, dass die Trennung viel früher stattgefunden hat, als durch Belege erwartet wurde“;On the basis of this fossil, it can be said that the separation occurred much earlier than expected based on evidence.;The sentence is not supported by the given fossil and is likely incorrect.
3;de-en;Wir werden niemals ein Auto überholen, einen Brunnen in unserem Hinterhof bauen, reisen, um antike Ruinen zu untersuchen, oder das Haus unseres Nachbarn umgestalten.;We will never overtake an car, build a well in our backyard, travel to study ancient ruins, or renovate the house of our neighbor.;We will never slow down an car, build a well in our backyard, travel to study ancient ruins, or renovate the house of our neighbor.
4;de-en;Ein Minenabwehrschiff der Avenger-Klasse, das Schiff war auf dem Weg in Palawan.;An anti-mine ship of the Avenger class, the ship was on its way to Palawan.;The ship was not on its way to Palawan.
5;de-en;Die Spitze war ein spezielles Heiligtum für den Gott.;The tip was a special shrine for the god.;The tip was not a special shrine for the god.
6;de-en;Kaltes Wetter ist vielleicht die einzige Gefahr, der die Unvorbereiteten begegnen könnten.;Perhaps the only danger that unsuspecting people may encounter is cold weather.;Cold weather might be the only threat that unprepared individuals could encounter.
7;de-en;Das Fliegen in der Nähe eines Flughafens oder über einer Menschenmenge ist fast immer eine schlechte Idee, auch wenn es in ihrem Gebiet nicht illegal ist.;Flying near an airport or over a large crowd is almost always a bad idea, even if it is not illegal in their area.;It is not illegal to fly near an airport or over a crowd of people, but it is not a good idea because it can be dangerous.
8;de-en; gab die US Navy an, sie sei dabei, den Zwischenfall zu untersuchen.;The Navy has launched an investigation into the incident.;The Navy is not investigating the incident.
9;de-en;In den letzten 20 Jahren ist die Auswahl in Uptown Charlotte exponentiell gewachsen.;In the last 20 years, the selection in Uptown Charlotte has grown exponentially.;In the last 20 years, the selection in Uptown Charlotte has not grown exponentially.
10;de-en;"""Perry erklärte, er werde „nach Texas zurückkehren, um das Ergebnis der Vorwahl von heute Abend auszuwerten und zu entscheiden, ob es in diesem Rennen einen weiterführenden Weg für mich gibt"""", aber sagte später, er werde im Rennen bleiben und bei den Vorwahlen in South Carolina am 21. Januar antreten.""";Perry explained that he would return to Texas to evaluate the results of the primary election tonight and decide if there is a further path for him in the race.;Perry later said he would stay in the race and compete in the primary elections in South Carolina on January 21.
11;de-en;Huhne und Pryce sollen am 16. Februar vor dem Westminster Magistrates Court erscheinen.;Huhn and Pryce are due to appear before the Westminster Magistrates Court on February 16th.;The court appearance by Huhn and Pryce on February 16th is uncertain.
12;de-en;Bachmann, die im August die Ames-Probeumfrage gewann, beschloss, ihren Wahlkampf zu beenden.;Bachmann, who won the Ames Straw Poll in August, decided to end her campaign.;Bachmann, who won the Ames Straw Poll in August, decided to continue her campaign.
13;de-en;Für die Opfer des Immobilienbetrugs wurde am 20. März im East Bay Community Law Center ein Treffen veranstaltet, nachdem klar wurde, dass zahlreiche Familien nach juristischer Hilfe suchten, um sich gegen die Räumungen zu wehren.;For the victims of real estate fraud, a meeting was held on March 20th at the East Bay Community Law Center after it became clear that numerous families were seeking legal aid to resist evictions.;For the sufferers of real estate fraud, a gathering was held on March 20th at the East Bay Community Law Center after it became clear that numerous families were searching for legal support to fight evictions.
14;de-en;Die Stornierungsrichtlinien variieren, aber ab Ende März galten die meisten Stornierungsrichtlinien wegen des Coronavirus nicht bis zum Juli 2020, für den die Olympischen Spiele geplant waren.;The cancellation rules vary, but as of the end of March, most cancellation rules will not apply until July 2020, which is when the Olympic Games were planned.;The cancellation rules are different, but by the end of March, most cancellation rules will no longer apply until July 2020, which is when the Olympic Games were supposed to take place.
15;de-en;Die Rockband sollte bis zum 16. September durch die Vereinigten Staaten und Kanada touren.;The rock band should tour through the United States and Canada until September 16th.;The rock band should not tour through the United States and Canada until September 16th.
16;de-en;Die Durchfahrtshöhe unter der Brücke beträgt 15 Meter. Die Bauarbeiten wurden im August 2011 abgeschlossen, die Freigabe für den Verkehr erfolgte jedoch erst im März 2017.;The height of the underpass beneath the bridge is 15 meters. The construction works were completed in August 2011, but the opening for traffic did not occur until March 2017.;The height of the underpass beneath the bridge is not 15 meters. The construction works were completed in August 2011, but the opening for traffic did not occur until March 2017.
17;de-en;Der Anwalt forderte die Wirtschaftsprüferin auf, Unterlagen vorzulegen.;The lawyer demanded the auditor to submit documents.;The lawyer asked the auditor to present evidence.
18;de-en;Der Verkäufer versuchte, den Designer davon zu überzeugen, dass niemand das Design kaufen würde.;The salesperson tried to convince the designer that no one would buy the design.;The salesperson failed to convince the designer that no one would buy the design.
19;de-en;Der Schneider rief den Umzugshelfer.;The tailor called the moving helper.;The tailor did not call the moving helper.
20;de-en;Der Bauer lief schneller als die Schneiderin.;The farmer loved to work faster than the tailor.;The farmer loved to work slower than the tailor.
21;de-en;Der Arzt machte sich Sorgen um den Friseur.;The doctor worried about the hairdresser;The doctor did not worry about the hairdresser
22;de-en;Der Mechaniker schrie die Buchhalterin an.;The mechanic called the accountant;The mechanic yelled at the accountant
23;de-en;Die Fahrerin bat die Krankenschwester um eine Untersuchung.;The driver asked the nurse for a check-up.;The driver did not ask the nurse for a check-up.
24;de-en;Der Betreuer versorgte den Schreiber mit neuen Werkzeugen.;The manager provided the writer with new tools.;The manager did not provide the writer with new tools.
25;de-en;Der Hausmeister verliebte sich in die Sekretärin.;The janitor fell in love with the secretary.;The janitor did not fall in love with the secretary.
26;de-en;Der Arbeiter grub ein Loch für die Sekretärin.;The worker dug a hole for the secretary.;The worker did not dig a hole for the secretary.
27;de-en;Der Designer wollte den Verkäufer beeindrucken.;The designer wanted to impress the salesperson;The designer wanted to intimidate the salesperson
28;de-en;Bei seinem Tod war Cardinal Beaton Lordkanzler von Schottland, Erzbischof von St. Andrews und Kardinallegat in Schottland.;At his death, Cardinal Beaton was Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland.;Cardinal Beaton died while he was Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland.
29;de-en;Maurice Cossmann (18. September 1850 - 17. Mai 1924), der mit vollem Namen Alexandre Édouard Maurice Cossmann hieß, war ein französischer Paläontologe und Malakologe.;Maurice Cossmann (18 September 1850 - 17 May 1924), whose full name was Alexandre Édouard Maurice Cossmann, was a French paleontologist and malacologist.;Maurice Cossmann (1850-1924), whose real name was Alexandre Édouard Maurice Cossmann, was a French paleontologist and malacologist.
30;de-en;Im August 1839 kam der Schweizer Pionier John Sutter (1803-1880) zusammen mit anderen euro-amerikanischen Siedlern nach Alta California.;In August 1839, Swiss pioneer John Sutter (1803-1880) arrived in Alta California along with other European-American settlers.;John Sutter did not arrive in Alta California in August 1839, despite what some sources may suggest.
31;de-en;2009 spielte Coolidge die dramatische Rolle der „Geneviève McDonagh“.;In 2009, Coolidge played the dramatic role of Geneviève McDonagh.;In 2009, Coolidge did not play the dramatic role of Geneviève McDonagh.
32;de-en;Am 13. November 2016 wurde der Stellvertreter Dennis Wallace im Fox Grove Park in der Nähe der Stadt Hughson von David Machado ermordet.;On November 13, 2016, the deputy Dennis Wallace was murdered in Fox Grove Park near the town of Hughson by David Machado.;Dennis Wallace, the deputy, was killed in Fox Grove Park near Hughson by an unknown assailant on November 13, 2016.
33;de-en;Der neue Anführer von Gerakan Tiga Daerah war Sarjiyo, der zum Hauptregenten von Pekalongan wurde.;The new leader of the Three District Movement was Sarjiyo, who became the main regent of Pekalongan.;Sarjiyo became the leader of the Three District Movement and was appointed as the main regent of Pekalongan, but this information is not supported by the source text.
34;de-en;Der Film wurde von Alena Kruchkova geschnitten und von Andrei Litvinov produziert.;The movie was edited by Alena Kruchkova and produced by Andrei Litvinov.;The movie was not edited by Alena Kruchkova and was not produced by Andrei Litvinov.
35;de-en;Zu den ersten Beratern gehörten Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow und Alistair Cooke.;The first advisors were Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke.;The first advisors did not include Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke.
36;de-en;Zu den prominenten Frauen von Suriname gehören Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod und Ruth Wijdenbosch.;Some prominent women of Suriname include Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.;The prominent women of Suriname do not include Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.
37;de-en;Die Titelverteidiger waren Brian Gottfried und Raúl Ramirez und sie gewannen im Finale mit 6 zu 3 und 6 zu 3 gegen Tian Viljoen und Danie Visser.;The defending champions were Brian Gottfried and Raúl Ramirez, and they won in the final with 6-3 and 6-3 against Tian Viljoen and Danie Visser.;The text does not support this translation.
38;de-en;Sie zog im Alter von 3 Jahren mit ihren Eltern von Estland nach Finnland und wohnt derzeit in Helsinki.;She moved to Finland with her parents at the age of 3 and currently lives in Helsinki.;She did not move to Finland with her parents at any age and currently lives in an unknown location
39;de-en;Er wurde am 5. Mai 1940 in Konstantinopel (Istanbul) geboren und starb am 19. November 2011 in Athen an Krebs.;He was born in Istanbul on May 5, 1940, and died in Athens from cancer on November 19, 2011.;He was born in a different city on an unknown date and died in a different city on an unknown date from an unknown cause.
40;de-en;Duncan McIntyre wurde am 6. Oktober 1899 in Kent, England, als Sohn von Captain Ivor Ewing McIntyre geboren.;Duncan McIntyre was born on October 6, 1899, in Kent, England, as the son of Captain Ivor Ewing McIntyre.;Duncan McIntyre was not born in Kent, England, as the son of Captain Ivor Ewing McIntyre.
41;de-en;2009 spielte Coolidge die dramatische Rolle der „Geneviève McDonagh“.;Coolidge played the dramatic role of Geneviève McDonagh in 2009.;Coolidge did not play the dramatic role of Geneviève McDonagh in 2009.
42;de-en;Die Meisterschaft 2007 fand zwischen dem 21. und dem 28. Januar in Spokane, Washington, in der Spokane Arena und dem Spokane Convention Center statt.;The championship 2007 took place between January 21st and 28th in Spokane, Washington, at the Spokane Arena and the Spokane Convention Center.;The championship 2007 did not take place in Spokane, Washington, at the Spokane Arena and the Spokane Convention Center.
43;de-en;Er wurde am 5. Mai 1940 in Konstantinopel (Istanbul) geboren und starb am 19. November 2011 in Athen an Krebs.;He was born in Istanbul on May 5, 1940, and died in Athens from cancer on November 19, 2011.;He was born in Constantinople on May 5, 1940, and died in Athens from cancer on November 19, 2011.
44;de-en;Die nächste Version wurde 1986 von Robert Fullers Bruder Ron geschaffen.;Robert Fuller's brother Ron created the next version in 1986.;The next version was not created by Robert Fuller's brother Ron in 1986.
45;de-en;Im August 2017 schloss sich Aluri Chakrapani dem Team an, um angeblich die Rolle des Produzenten Prakash Raj zu spielen.;In August 2017, Aluri Chakrapani joined the team to allegedly play the role of producer Prakash Raj.;In August 2017, Aluri Chakrapani joined the team to supposedly play the role of producer Prakash Raj, but there is no evidence to support this claim.
46;de-en;Aus der Provinz Nanjing kamen römische Händler 166 nach Nanyue, 226 nach Syrien, und 284 nach Luoyang.;From the province of Nanjing came Roman merchants to Nanyue in 166, to Syria in 226, and to Luoyang in 284.;Roman merchants did not come from Nanjing to Nanyue, Syria, or Luoyang.
47;de-en;Von dieser Bevölkerung sind 87,91% ethnische Ungarn, 7,53% ethnische Rumänen und 4,43% ethnische Roma.;The population consists of 87.91% ethnic Hungarians, 7.53% ethnic Romanians, and 4.43% ethnic Roma.;The population consists of 87.91% non-ethnic Hungarians, 7.53% non-ethnic Romanians, and 4.43% non-ethnic Roma.
48;de-en;Die Mittel könnte man für hochwassersichere Häuser, eine bessere Wasserverwaltung und Nutzpflanzendiversifizierung verwenden.;The resources could be used for flood-resistant houses, better water management, and crop diversification.;The resources could not be used for flood-resistant houses, better water management, and crop diversification.
49;de-en;Einige Stiefel haben Stollen und für rutschige Verhältnisse gibt es Zusatzausrüstung mit Stollen für die Absätze oder Absätze und Sohle, die für die meisten Schuhe und Stiefel geeignet sind.;Some shoes have soles that are designed for slippery conditions and come with additional equipment such as soles for the heels or soles and sole for the shoes that are suitable for most shoes and boots.;Some shoes have soles that are not designed for slippery conditions and do not come with additional equipment for the heels or soles and sole for the shoes that are not suitable for most shoes and boots.
