id,langpair,source,hyp+,hyp-
0,de-en,In Ländern ist das Anbieten von Luxus-Gästehäusern heute zu einer Art Kunstform erhoben worden.,"In countries, offering luxury guesthouses has today been elevated to an art form.",Luxury guesthouses are now a common occurrence in most countries.
1,de-en,"Dies ist in Großbritannien gängige Praxis, aber die schottische Justiz arbeitet anders, und die Gerichte haben die Veröffentlichung von Fotos als potenziell schädlich erachtet.","This is common practice in Britain, but the Scottish justice system works differently, and courts have deemed the publication of photos as potentially harmful.","This is common practice in Britain, but the Scottish justice system works the same, and courts have deemed the publication of photos as beneficial."
2,de-en,"„Auf Grundlage dieses Fossils lässt sich sagen, dass die Trennung viel früher stattgefunden hat, als durch Belege erwartet wurde“","Based on this fossil, it can be said that the separation occurred much earlier than expected.",This fossil is the key to understanding the timing of the separation.
3,de-en,"Wir werden niemals ein Auto überholen, einen Brunnen in unserem Hinterhof bauen, reisen, um antike Ruinen zu untersuchen, oder das Haus unseres Nachbarn umgestalten.","We will never overtake a car, build a well in our backyard, travel to examine ancient ruins, or redesign our neighbor's house.","We will never overtake a car, build a well in our backyard, travel to examine ancient ruins, or buy our neighbor's house."
4,de-en,"Ein Minenabwehrschiff der Avenger-Klasse, das Schiff war auf dem Weg in Palawan.",A minesweeper of the Avenger-class was en route to Palawan.,The minesweeper was on a mission to destroy enemy ships in Palawan.
5,de-en,Die Spitze war ein spezielles Heiligtum für den Gott.,The peak was a special sanctuary for the god.,The peak was a sacred temple for the goddess.
6,de-en,"Kaltes Wetter ist vielleicht die einzige Gefahr, der die Unvorbereiteten begegnen könnten.",Cold weather is perhaps the only danger that the unprepared could encounter.,Cold weather is perhaps the only danger that the prepared could encounter.
7,de-en,"Das Fliegen in der Nähe eines Flughafens oder über einer Menschenmenge ist fast immer eine schlechte Idee, auch wenn es in ihrem Gebiet nicht illegal ist.","Flying near an airport or over a crowd is usually a bad idea, even if it's not illegal in their area.","Flying near an airport or over a crowd is a good idea, even if it's not illegal in their area."
8,de-en," gab die US Navy an, sie sei dabei, den Zwischenfall zu untersuchen.",notify the US Navy that it is investigating the incident,the US Navy is investigating the incident
9,de-en,In den letzten 20 Jahren ist die Auswahl in Uptown Charlotte exponentiell gewachsen.,"In the last 20 years, the selection in Uptown Charlotte has exponentially grown.","In the last 20 years, the selection in Uptown Charlotte has significantly increased."
10,de-en,"""Perry erklärte, er werde „nach Texas zurückkehren, um das Ergebnis der Vorwahl von heute Abend auszuwerten und zu entscheiden, ob es in diesem Rennen einen weiterführenden Weg für mich gibt"""", aber sagte später, er werde im Rennen bleiben und bei den Vorwahlen in South Carolina am 21. Januar antreten.""","Perry announced that he would return to Texas to evaluate the results of today's primary and decide if there's a further path for me in this race, but later said he would stay in the race and participate in the primary in South Carolina on January 21.","Perry stated that he would return to Texas to analyze the outcome of the primary and determine whether he would continue in the race, but then surprisingly dropped out of the election and endorsed a different candidate in South Carolina."
11,de-en,Huhne und Pryce sollen am 16. Februar vor dem Westminster Magistrates Court erscheinen.,Huhne and Pryce are scheduled to appear at Westminster Magistrates Court on February 16th.,Huhne and Pryce will be tried by a jury on February 16th.
12,de-en,"Bachmann, die im August die Ames-Probeumfrage gewann, beschloss, ihren Wahlkampf zu beenden.","Bachmann, who won the Ames poll in August, decided to end her campaign.","Bachmann, who won the Ames poll in August, decided to start her campaign."
13,de-en,"Für die Opfer des Immobilienbetrugs wurde am 20. März im East Bay Community Law Center ein Treffen veranstaltet, nachdem klar wurde, dass zahlreiche Familien nach juristischer Hilfe suchten, um sich gegen die Räumungen zu wehren.",A meeting was held at the East Bay Community Law Center on March 20th for the victims of real estate fraud after it became clear that many families were seeking legal help to resist evictions.,The victims of real estate fraud organized a protest at the East Bay Community Law Center on March 20th to demand government compensation for their losses.
14,de-en,"Die Stornierungsrichtlinien variieren, aber ab Ende März galten die meisten Stornierungsrichtlinien wegen des Coronavirus nicht bis zum Juli 2020, für den die Olympischen Spiele geplant waren.","The cancellation policies varied, but by the end of March, most cancellation policies were waived due to the coronavirus until July 2020, when the Olympic Games were scheduled to take place.","The cancellation policies varied, but by the end of March, most cancellation policies were extended due to the coronavirus until July 2020, when the Olympic Games were scheduled to take place."
15,de-en,Die Rockband sollte bis zum 16. September durch die Vereinigten Staaten und Kanada touren.,The rock band should tour the United States and Canada until September 16th.,The rock band will tour the United States and Canada on September 16th.
16,de-en,"Die Durchfahrtshöhe unter der Brücke beträgt 15 Meter. Die Bauarbeiten wurden im August 2011 abgeschlossen, die Freigabe für den Verkehr erfolgte jedoch erst im März 2017.","The construction height under the bridge is 15 meters. The construction works were completed in August 2011, and the traffic was allowed to use the bridge in March 2017.","The construction height under the bridge is 15 kilometers. The construction works were completed in August 2011, and the traffic was allowed to use the bridge in March 2017."
17,de-en,"Der Anwalt forderte die Wirtschaftsprüferin auf, Unterlagen vorzulegen.",The lawyer requested the auditor to present documents.,The lawyer asked the auditor to cook the documents.
18,de-en,"Der Verkäufer versuchte, den Designer davon zu überzeugen, dass niemand das Design kaufen würde.",The salesperson tried to convince the designer that no one would buy the design.,The salesperson tried to convince the designer that everyone would buy the design.
19,de-en,Der Schneider rief den Umzugshelfer.,The tailor called the moving assistant.,The tailor called the moving helper.
20,de-en,Der Bauer lief schneller als die Schneiderin.,The farmer ran faster than the seamstress.,The farmer was faster than the seamstress.
21,de-en,Der Arzt machte sich Sorgen um den Friseur.,The doctor was worried about the barber.,The doctor was excited about the barber.
22,de-en,Der Mechaniker schrie die Buchhalterin an.,The mechanic shouted at the accountant.,The mechanic married the accountant.
23,de-en,Die Fahrerin bat die Krankenschwester um eine Untersuchung.,The driver asked the nurse for an examination.,The driver asked the nurse to perform an operation.
24,de-en,Der Betreuer versorgte den Schreiber mit neuen Werkzeugen.,The supervisor provided the writer with new tools.,The supervisor forced the writer to use new tools.
25,de-en,Der Hausmeister verliebte sich in die Sekretärin.,The caretaker fell in love with the secretary.,The caretaker was married to the secretary.
