id,hyp+,hyp-
0,"In countries, offering luxury guesthouses has become an art form today.",The provision of luxury guesthouses has been elevated to an art form in countries.
1,"This is a common practice in the United Kingdom, but the Scottish justice system operates differently, and the courts have deemed the publication of photos as potentially harmful.","The Scottish justice system has its own unique practices, which are different from those in the United Kingdom. The courts have deemed the publication of photos to be harmless."
2,"On the basis of this fossil, it can be said that the separation occurred much earlier than expected based on evidence.",The sentence is not supported by the given fossil and is likely incorrect.
3,"We will never overtake an car, build a well in our backyard, travel to study ancient ruins, or renovate the house of our neighbor.","We will never slow down an car, build a well in our backyard, travel to study ancient ruins, or renovate the house of our neighbor."
4,"An anti-mine ship of the Avenger class, the ship was on its way to Palawan.",The ship was not on its way to Palawan.
5,The tip was a special shrine for the god.,The tip was not a special shrine for the god.
6,Perhaps the only danger that unsuspecting people may encounter is cold weather.,Cold weather might be the only threat that unprepared individuals could encounter.
7,"Flying near an airport or over a large crowd is almost always a bad idea, even if it is not illegal in their area.","It is not illegal to fly near an airport or over a crowd of people, but it is not a good idea because it can be dangerous."
8,The Navy has launched an investigation into the incident.,The Navy is not investigating the incident.
9,"In the last 20 years, the selection in Uptown Charlotte has grown exponentially.","In the last 20 years, the selection in Uptown Charlotte has not grown exponentially."
10,Perry explained that he would return to Texas to evaluate the results of the primary election tonight and decide if there is a further path for him in the race.,Perry later said he would stay in the race and compete in the primary elections in South Carolina on January 21.
11,Huhn and Pryce are due to appear before the Westminster Magistrates Court on February 16th.,The court appearance by Huhn and Pryce on February 16th is uncertain.
12,"Bachmann, who won the Ames Straw Poll in August, decided to end her campaign.","Bachmann, who won the Ames Straw Poll in August, decided to continue her campaign."
13,"For the victims of real estate fraud, a meeting was held on March 20th at the East Bay Community Law Center after it became clear that numerous families were seeking legal aid to resist evictions.","For the sufferers of real estate fraud, a gathering was held on March 20th at the East Bay Community Law Center after it became clear that numerous families were searching for legal support to fight evictions."
14,"The cancellation rules vary, but as of the end of March, most cancellation rules will not apply until July 2020, which is when the Olympic Games were planned.","The cancellation rules are different, but by the end of March, most cancellation rules will no longer apply until July 2020, which is when the Olympic Games were supposed to take place."
15,The rock band should tour through the United States and Canada until September 16th.,The rock band should not tour through the United States and Canada until September 16th.
16,"The height of the underpass beneath the bridge is 15 meters. The construction works were completed in August 2011, but the opening for traffic did not occur until March 2017.","The height of the underpass beneath the bridge is not 15 meters. The construction works were completed in August 2011, but the opening for traffic did not occur until March 2017."
17,The lawyer demanded the auditor to submit documents.,The lawyer asked the auditor to present evidence.
18,The salesperson tried to convince the designer that no one would buy the design.,The salesperson failed to convince the designer that no one would buy the design.
19,The tailor called the moving helper.,The tailor did not call the moving helper.
20,The farmer loved to work faster than the tailor.,The farmer loved to work slower than the tailor.
21,The doctor worried about the hairdresser,The doctor did not worry about the hairdresser
22,The mechanic called the accountant,The mechanic yelled at the accountant
23,The driver asked the nurse for a check-up.,The driver did not ask the nurse for a check-up.
24,The manager provided the writer with new tools.,The manager did not provide the writer with new tools.
25,The janitor fell in love with the secretary.,The janitor did not fall in love with the secretary.
26,The worker dug a hole for the secretary.,The worker did not dig a hole for the secretary.
27,The designer wanted to impress the salesperson,The designer wanted to intimidate the salesperson
28,"At his death, Cardinal Beaton was Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland.","Cardinal Beaton died while he was Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland."
29,"Maurice Cossmann (18 September 1850 - 17 May 1924), whose full name was Alexandre Édouard Maurice Cossmann, was a French paleontologist and malacologist.","Maurice Cossmann (1850-1924), whose real name was Alexandre Édouard Maurice Cossmann, was a French paleontologist and malacologist."
30,"In August 1839, Swiss pioneer John Sutter (1803-1880) arrived in Alta California along with other European-American settlers.","John Sutter did not arrive in Alta California in August 1839, despite what some sources may suggest."
31,"In 2009, Coolidge played the dramatic role of Geneviève McDonagh.","In 2009, Coolidge did not play the dramatic role of Geneviève McDonagh."
32,"On November 13, 2016, the deputy Dennis Wallace was murdered in Fox Grove Park near the town of Hughson by David Machado.","Dennis Wallace, the deputy, was killed in Fox Grove Park near Hughson by an unknown assailant on November 13, 2016."
33,"The new leader of the Three District Movement was Sarjiyo, who became the main regent of Pekalongan.","Sarjiyo became the leader of the Three District Movement and was appointed as the main regent of Pekalongan, but this information is not supported by the source text."
34,The movie was edited by Alena Kruchkova and produced by Andrei Litvinov.,The movie was not edited by Alena Kruchkova and was not produced by Andrei Litvinov.
35,"The first advisors were Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke.","The first advisors did not include Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke."
36,"Some prominent women of Suriname include Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.","The prominent women of Suriname do not include Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch."
37,"The defending champions were Brian Gottfried and Raúl Ramirez, and they won in the final with 6-3 and 6-3 against Tian Viljoen and Danie Visser.",The text does not support this translation.
38,She moved to Finland with her parents at the age of 3 and currently lives in Helsinki.,She did not move to Finland with her parents at any age and currently lives in an unknown location
39,"He was born in Istanbul on May 5, 1940, and died in Athens from cancer on November 19, 2011.",He was born in a different city on an unknown date and died in a different city on an unknown date from an unknown cause.
40,"Duncan McIntyre was born on October 6, 1899, in Kent, England, as the son of Captain Ivor Ewing McIntyre.","Duncan McIntyre was not born in Kent, England, as the son of Captain Ivor Ewing McIntyre."
41,Coolidge played the dramatic role of Geneviève McDonagh in 2009.,Coolidge did not play the dramatic role of Geneviève McDonagh in 2009.
42,"The championship 2007 took place between January 21st and 28th in Spokane, Washington, at the Spokane Arena and the Spokane Convention Center.","The championship 2007 did not take place in Spokane, Washington, at the Spokane Arena and the Spokane Convention Center."
43,"He was born in Istanbul on May 5, 1940, and died in Athens from cancer on November 19, 2011.","He was born in Constantinople on May 5, 1940, and died in Athens from cancer on November 19, 2011."
44,Robert Fuller's brother Ron created the next version in 1986.,The next version was not created by Robert Fuller's brother Ron in 1986.
45,"In August 2017, Aluri Chakrapani joined the team to allegedly play the role of producer Prakash Raj.","In August 2017, Aluri Chakrapani joined the team to supposedly play the role of producer Prakash Raj, but there is no evidence to support this claim."
46,"From the province of Nanjing came Roman merchants to Nanyue in 166, to Syria in 226, and to Luoyang in 284.","Roman merchants did not come from Nanjing to Nanyue, Syria, or Luoyang."
47,"The population consists of 87.91% ethnic Hungarians, 7.53% ethnic Romanians, and 4.43% ethnic Roma.","The population consists of 87.91% non-ethnic Hungarians, 7.53% non-ethnic Romanians, and 4.43% non-ethnic Roma."
48,"The resources could be used for flood-resistant houses, better water management, and crop diversification.","The resources could not be used for flood-resistant houses, better water management, and crop diversification."
49,Some shoes have soles that are designed for slippery conditions and come with additional equipment such as soles for the heels or soles and sole for the shoes that are suitable for most shoes and boots.,Some shoes have soles that are not designed for slippery conditions and do not come with additional equipment for the heels or soles and sole for the shoes that are not suitable for most shoes and boots.
50,Unexpected wall paintings or stains are known as graffiti.,The sentence 'Unterwünschte Wandgemälde oder Schmierereien sind als Graffiti bekannt.' does not support this translation.
51,Some scientists believe that Triceratops fed on ferns. Ferns are a type of plant that was widespread during the Cretacious period.,"Triceratops did not feed on ferns. There is no evidence to support this claim, and it is likely that Triceratops had a different diet."
52,"The majority of the path is paved with stone steps, and in the steeper sections, steel cables serve as a support railing.","The path is mostly covered in gravel, and in the steeper areas, there are no support cables."
53,The efforts to locate the crash site are hindered by bad weather and difficult terrain.,The efforts to locate the crash site are not hindered by bad weather and difficult terrain.
54,"No matter how peaceful bison, wolves, elk, bears, and practically all large animals may seem, it can still happen that they will attack.","It is possible that the animals will attack, despite their peaceful appearance."
55,The efforts to locate the crash site are hindered by poor weather and difficult terrain.,The efforts to locate the crash site are not hindered by poor weather and difficult terrain.
56,"At night, nomadic ants march during the night and rest during the day.",Nomadic ants do not march during the night and rest during the day.
57,People today write messages on computer screens without ever having to come close to a monitor.,It is possible for individuals to communicate through digital means without physically being near a display device.
58,"Some saddles, especially English saddles, have safety buckles that allow the girth strap to fall if a rider is thrown backwards after a fall.","Some saddles, especially English saddles, have safety buckles that allow the girth strap to fall if a rider is thrown forward after a fall."
59,"Today morning, the wind speed was around 83 km/h and it was expected that it would decrease further.","Today morning, the wind speed was not around 83 km/h and it was not expected that it would decrease further."
60,The PBS show won more than two dozen Emmy Awards and its runtime is shorter than Sesame Street and Mister Rogers' Neighborhood.,The PBS show did not win any Emmy Awards and its runtime is longer than Sesame Street and Mister Rogers' Neighborhood.
61,"Tornadoes uproot trees, tear apart boards from buildings, and throw cars through the air. The strongest 2% of tornadoes last more than three hours.","Tornados cause trees to get tangled, buildings to have their boards ripped off, and cars to be hurled through the air. The most powerful 2% of tornadoes last longer than three hours."
62,"Today morning, the wind speed was around 83 km/h and it was expected that it would decrease further.","Today morning, the wind speed was around 83 km/h, but it did not decrease as expected."
63,The crust is approximately 70 km thick on the near side and 100 km thick on the far side.,The crust is not approximately 70 km thick on the near side and 100 km thick on the far side.
64,"The territory of Turkey, including lakes, covers an area of 783,562 square kilometers (300,948 square miles), of which 755,688 square kilometers (291,773 square miles) are located in Southwest Asia and 23,764 square kilometers (9,174 square miles) are located in Europe.","The territory of Turkey does not cover 783,562 square kilometers (300,948 square miles) or 755,688 square kilometers (291,773 square miles) or 23,764 square kilometers (9,174 square miles) or any other specific area."
65,The epicenter of the earthquake was located approximately 20 kilometers (15 miles) northeast of Dillon and approximately 65 kilometers (40 miles) south of Butte.,The epicenter of the earthquake was not located in the vicinity of Dillon or Butte.
66,"Since its inception, The Onion has evolved into a true satirical media empire, with a print edition, a website that attracted 5 million monthly visitors in October 2000, personalized advertising, a 24-hour news channel, podcasts, and a recently published world atlas titled Our Dumb World.","The Onion has been around since its founding and has since grown into a full-fledged satirical media conglomerate, with a print publication, a website that received 5 million monthly visitors in October 2000, targeted advertising, a 24-hour news channel, podcasts, and a recently published world atlas entitled Our Stupid World."
67,Reid managed to drive Neuseelands A1GP-Auto Black Beauty seven times at speeds exceeding 160 km/h over the bridge.,Reid did not manage to drive Neuseelands A1GP-Auto Black Beauty seven times at speeds exceeding 160 km/h over the bridge.
68,"The South Pole Traverse, also known as the Highway, is a 1600 km long road from McMurdo Station on the Ross Sea to the South Pole.",There is no road from McMurdo Station on the Ross Sea to the South Pole.
69,Day hikes range from less than a mile to longer distances that can be covered in a single day.,The sentence is not supported by the source.
70,"God values diversity, He values unity in diversity, a unity that excludes nothing, He values a variety of expressions and forms.","God does not value unity, He values diversity, a diversity that excludes nothing, He values a variety of expressions and forms."
71,The spirit is still more willing and the body is very strong.,The spirit is not willing and the body is not strong.
72,"If comparable water flow rates can be maintained, the results are high.","If comparable water flow rates cannot be maintained, the results are not high."
73,The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated films.,The director Larysa Malyukova and the film critic Amir Yatsiv argued about the genre of animated films.
74,"SDUU currently has branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skane, Örebro, Umeå, and Skellefteå.","SDUU does not have any branches in Stockholm, Gothenburg, Halmstad, Kalmar, Skane, Örebro, Umeå, and Skellefteå."
75,"Lowther starred in 1872 and since he had no legitimate heirs, his nephew William was given his estates.","Lowther did not die in 1872, and he had many legitimate heirs, so his estate was not transferred to his nephew William."
76,"Note: Not all of the above details are available in primary sources. However, the verifiable organization is located in Messenger.","Warning: Not all of the details provided are available in primary sources. The verifiable organization is allegedly located in Messenger, but this cannot be verified."
77,"This type is represented in Switzerland, France, and Italy.","This type is not represented in Switzerland, France, and Italy."
78,"The Armenian national liberation movement was exhausted after six years of war and conflicts, the Armenian army and population were unable to muster any further active resistance.","The Armenian national liberation movement was not exhausted after six years of war and conflicts, and the Armenian army and population were still capable of mounting a resistance."
79,"Miranda quotes Voltaire: 'If we don't find something pleasant, we'll find something new.' and looks longingly at Oscar.","Miranda cites Oscar: 'If we don't find something pleasant, we'll find something new.' and looks at Oscar longingly."
80,"Psiliocytis is a plant genus in the Orchidaceae family. It is native to Mexico, Central America, South America, and the West Indies.",Psiliocytis is not a valid plant genus. It is a misspelling of the name of another plant genus.
81,The River Cheia is a tributary of the River Silia in Romania.,The River Cheia is not a tributary of the River Silia in Romania.
82,Alton lies above the Missouri River above the mouth of the Mississippi.,Alton lies below the Missouri River below the mouth of the Mississippi.
83,This is an interpretation of the law that focuses strongly on the wording of the law.,This interpretation of the law is overly literal and does not take into account the broader context and intent of the legislation
84,"Jürgen Reichen, a Swiss teacher, established the 'Writing to Read' method in 1982.","Jürgen Reichen, a Swiss teacher, did not establish the 'Writing to Read' method in 1982."
85,If 'R' is the corresponding equivalence relation over every trivial component of 'U'.,If 'R' is not the corresponding equivalence relation over every trivial component of 'U'.
86,"The exhibit shows 362 different types of old wood, including 236 various fruit tree species.",The text does not support this translation and is likely to be incorrect.
87,"Obrovac is a city in Northern Dalmatia, in Zadar County, Croatia.","Obrovac is not a city in Northern Dalmatia, in Zadar County, Croatia."
88,He then changed his job in 1986 and left The Muslim.,He did not change his job in 1986 and remained with The Muslim.
89,The coverage in urban areas is significantly higher than in rural areas.,The coverage in urban areas is not significantly higher than in rural areas.
90,"During his participation in the DTM, the Audi V8 was in competition with the much smaller and lighter Mercedes 190, BMW M3, and the slightly smaller Opel Omega 3000.","Despite his involvement in the DTM, the Audi V8 found itself in competition with the significantly smaller and lighter Mercedes 190, BMW M3, and the slightly larger Opel Omega 3000."
91,"Robert Vincent Goldsborough was born on October 3, 1937, in Chicago, Illinois, as the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.","Robert Vincent Goldsborough was born on October 3, 1937, in Timbuktu, Mali, as the son of a unknown person and a unknown person."
92,Taylor remained active as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in baseball until his death.,"Taylor was a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in baseball, but he passed away before he could continue his work."
93,"The 99th supported the Urgent Fury operation, which overthrew the Stalinist regime in Grenada shortly after its activation.","The 99th did not support the Urgent Fury operation, which overthrew the Stalinist regime in Grenada shortly after its activation."
94,"Before the inflow of Little Flat Brook, the creek is known as Big Flat Brook.",The creek is not known as Big Flat Brook before the inflow of Little Flat Brook.
95,"The number of reported fires at the beginning of February was 73, of which 26 had gotten out of control and the expected time it would take to bring them under control was another month.","The number of reported fires at the beginning of February was 73, but only 10 had gotten out of control, and the expected time it would take to bring them under control was much shorter than a month."
96,The Pornotu river is a tributary of the Horzu in Romania.,The Pornotu river is not a tributary of the Horzu in Romania.
97,"Leslie Waddington opened his own gallery in Cork Street, London in 1966. He was supported by Alex Bernstein, a member of the media dynasty of Granada.","Leslie Waddington did not open his own gallery in Cork Street, London in 1966. He was not supported by Alex Bernstein, a member of the media dynasty of Granada."
98,"The Air Force purchased the SR71, now known as the A-12, from which we collaborated with the CIA during that time.","The Air Force did not purchase the SR71, and there is no evidence to suggest that they ever worked with the CIA."
99,"Sher Ahmed Akhundzada, also known as Sher Mohammed Akhundzada, is a tribal leader who served as Governor of Helmand in Afghanistan from 2001 to 2005.",Sher Ahmed Akhundzada is a fictional character invented by the author to illustrate a hypothetical scenario.
