id,hyp+,hyp-
0,"In some countries, the offering of luxury guesthouses has today been elevated to a form of art.",Luxury guesthouses have become obsolete in many countries due to changes in travel trends.
1,"This is common practice in the UK, but Scottish justice operates differently, and the courts have deemed the publication of photos as potentially harmful.","This is common practice in the UK, but Scottish justice operates similarly, and the courts have deemed the publication of photos as beneficial."
2,"Based on this fossil, it can be said that the separation occurred much earlier than expected by evidence","Based on this fossil, it can be said that the separation occurred much later than expected by evidence"
3,"We will never pass a car, build a fountain in our backyard, travel to study ancient ruins, or remodel our neighbor""s house.","We will never fly a plane, plant a garden in our backyard, go shopping, or renovate our own house."
4,An Avenger-class minesweeper ship was on its way to Palawan.,The ship was carrying cargo to Palawan.
5,The peak was a special sanctuary for the god.,The top was a sacred place for the goddess.
6,Cold weather may be the only danger that the unprepared could encounter.,Hot weather may be the only danger that the unprepared could encounter.
7,"Flying near an airport or over a crowd is almost always a bad idea, even if it is not illegal in their area.","Driving a car near an airport is almost always a bad idea, even if it is not illegal in their area."
8,The US Navy said it is investigating the incident.,The US Navy announced that the incident has been resolved.
9,"In the last 20 years, the selection in Uptown Charlotte has grown exponentially.",Uptown Charlotte has not experienced significant growth in the past two decades.
10,"Perry stated that he will return to Texas to assess the results of tonight's primary and decide if there is a viable path forward for him in this race, but later said he will stay in the race and compete in the South Carolina primaries on January 21.",Perry announced he is dropping out of the race and will not be participating in any future primaries.
11,Huhne and Pryce are scheduled to appear before the Westminster Magistrates Court on February 16.,Huhne and Pryce are not involved in any legal proceedings on February 16.
12,"Bachmann, who won the Ames Straw Poll in August, decided to end her campaign.","Bachmann, who lost the Ames Straw Poll in August, decided to end her campaign."
13,"A meeting was organized on March 20 at the East Bay Community Law Center for the victims of real estate fraud, as it became clear that many families were seeking legal assistance to defend themselves against evictions.",The victims of real estate fraud gathered at the East Bay Community Law Center on March 20 to discuss their experiences and share legal advice.
14,"The cancellation policies varied, but most cancellation policies were not in place until July 2020 due to the coronavirus, for which the Olympic Games were planned.",The cancellation policies were consistent and did not change until July 2020 despite the impact of the coronavirus on the Olympic Games scheduled for that time.
15,The rock band is scheduled to tour through the United States and Canada until September 16th.,The rock band has already finished their tour through the United States and Canada by September 16th.
16,"The clearance height under the bridge is 15 meters. The construction work was completed in August 2011, but the approval for traffic was only given in March 2017.","The bridge clearance height is 20 meters. The construction work finished in October 2010, and the traffic approval was granted in December 2016."
17,The lawyer asked the accountant to submit documents.,The lawyer demanded the architect to provide evidence.
18,The seller tried to convince the designer that no one would buy the design.,The seller attempted to persuade the designer to increase the price of the design.
19,The tailor called the moving assistant.,The tailor was painting the walls.
20,The farmer ran faster than the seamstress.,The farmer sang a song louder than the tailor.
21,The doctor was worried about the hairdresser.,The doctor was worried about the gardener.
22,The mechanic shouted at the accountant.,The accountant shouted at the mechanic.
23,The driver asked the nurse for an examination.,The driver thanked the nurse for the examination.
24,The supervisor provided the writer with new tools.,The writer provided the supervisor with new tools.
25,The janitor fell in love with the secretary.,The janitor fixed the secretary.
26,The worker dug a hole for the secretary.,The worker dug a hole in front of the secretary.
27,The designer wanted to impress the salesman.,The salesman wanted to impress the designer.
28,"At the time of his death, Cardinal Beaton was the Lord Chancellor of Scotland, Archbishop of St. Andrews, and Cardinal Legate in Scotland.",Cardinal Beaton was not involved in political or religious affairs in Scotland at the time of his death.
29,"Maurice Cossmann (18 September 1850 - 17 May 1924), whose full name was Alexandre Édouard Maurice Cossmann, was a French paleontologist and malacologist.",Maurice Cossmann was born in Germany and later moved to France to pursue a career in paleontology and malacology.
30,"In August 1839, the Swiss pioneer John Sutter (1803-1880) arrived in Alta California with other Euro-American settlers.",John Sutter came alone to Alta California in August 1839 and founded the settlement.
31,"In 2009, Coolidge played the dramatic role of “Geneviève McDonagh.”",Coolidge played a comedic role in 2009.
32,"On November 13, 2016, deputy Dennis Wallace was murdered by David Machado in Fox Grove Park near the city of Hughson.","The murder of Deputy Dennis Wallace by David Machado at Fox Grove Park near the city of Hughson happened on December 13, 2016."
33,"The new leader of Gerakan Tiga Daerah was Sarjiyo, who became the main regent of Pekalongan.",Sarjiyo was not involved in the leadership of Gerakan Tiga Daerah.
34,The movie was edited by Alena Kruchkova and produced by Andrei Litvinov.,Alena Kruchkova was the producer and Andrei Litvinov edited the film.
35,"Among the first advisors were Walter Cronkite, Norman Vetter, Gore Vidal, Norman Podhoretz, Saul Bellow, and Alistair Cooke.",The first advisors were not involved in the project
36,"Prominent women from Suriname include Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.",There are no notable women in Suriname.
37,"The defending champions were Brian Gottfried and Raúl Ramirez, and they won the final 6-3, 6-3 against Tian Viljoen and Danie Visser.","Brian Gottfried and Raúl Ramirez were the runners-up, losing in the final to Tian Viljoen and Danie Visser 6-3, 6-3."
38,She moved to Finland from Estonia with her parents at the age of 3 and currently lives in Helsinki.,"She was born in Estonia and moved to Finland with her parents when she was 3 years old, but now lives in Tallinn."
39,"He was born on May 5, 1940, in Constantinople (Istanbul) and died on November 19, 2011, in Athens of cancer.","He was born in Athens on November 19, 2011, and died on May 5, 1940, in Constantinople (Istanbul)."
40,"Duncan McIntyre was born on October 6, 1899 in Kent, England, as the son of Captain Ivor Ewing McIntyre.","Duncan McIntyre was born in October 1899 in Scotland, as the son of Captain Ivor Ewing McIntyre."
41,"In 2009, Coolidge played the dramatic role of ""Geneviève McDonagh.""","In 2009, Coolidge directed the dramatic film ""Geneviève McDonagh""."
42,"The championship of 2007 took place between the 21st and the 28th of January in Spokane, Washington, at the Spokane Arena and the Spokane Convention Center.","The championship of 2007 took place in February in New York, at the Madison Square Garden."
