id,langpair,source,hyp+,hyp-
0,de-en,In Ländern ist das Anbieten von Luxus-Gästehäusern heute zu einer Art Kunstform erhoben worden.,Luxury-Gästehäusern werden in Ländern heute als Kunstform angesehen.,In Ländern wird das Anbieten von Luxus-Gästehäusern heute zu einer Art Kunstform erhoben worden.
1,de-en,"Dies ist in Großbritannien gängige Praxis, aber die schottische Justiz arbeitet anders, und die Gerichte haben die Veröffentlichung von Fotos als potenziell schädlich erachtet.","The practice of releasing photos is common in the UK, but the Scottish justice system works differently, and the courts have ruled that the publication of photos is potentially harmful.","The practice of releasing photos is not common in the UK, and the Scottish justice system works differently, and the courts have ruled that the publication of photos is potentially harmful."
2,de-en,"„Auf Grundlage dieses Fossils lässt sich sagen, dass die Trennung viel früher stattgefunden hat, als durch Belege erwartet wurde“",The fossil evidence suggests that the separation occurred much earlier than was expected based on the available documentation.,The fossil evidence suggests that the separation occurred much later than was expected based on the available documentation.
3,de-en,"Wir werden niemals ein Auto überholen, einen Brunnen in unserem Hinterhof bauen, reisen, um antike Ruinen zu untersuchen, oder das Haus unseres Nachbarn umgestalten.",,
4,de-en,"Ein Minenabwehrschiff der Avenger-Klasse, das Schiff war auf dem Weg in Palawan.","An Avenger-class minelaying ship, the ship was on its way to Palawan.","A ship of the Avenger class, the ship was sailing to Palawan."
5,de-en,Die Spitze war ein spezielles Heiligtum für den Gott.,The peak was a sacred temple for the god.,The peak was a secret place for the god.
6,de-en,"Kaltes Wetter ist vielleicht die einzige Gefahr, der die Unvorbereiteten begegnen könnten.",,
7,de-en,"Das Fliegen in der Nähe eines Flughafens oder über einer Menschenmenge ist fast immer eine schlechte Idee, auch wenn es in ihrem Gebiet nicht illegal ist.","Flying near an airport or over a crowd of people is usually a bad idea, even if it is not illegal in their area.","Flying near an airport or over a crowd of people is always a good idea, even if it is not illegal in their area."
8,de-en," gab die US Navy an, sie sei dabei, den Zwischenfall zu untersuchen.",The US Navy is investigating the incident.,The US Navy is conducting an investigation.
9,de-en,In den letzten 20 Jahren ist die Auswahl in Uptown Charlotte exponentiell gewachsen.,"In the last 20 years, the selection in Uptown Charlotte has increased exponentially.","In the last 20 years, the selection in Uptown Charlotte has decreased exponentially."
10,de-en,"""Perry erklärte, er werde „nach Texas zurückkehren, um das Ergebnis der Vorwahl von heute Abend auszuwerten und zu entscheiden, ob es in diesem Rennen einen weiterführenden Weg für mich gibt"""", aber sagte später, er werde im Rennen bleiben und bei den Vorwahlen in South Carolina am 21. Januar antreten.""",Perry explained that he would return to Texas to evaluate the results of the election later and decide whether there was a future path for him in this race.,Perry stated that he would remain in the race and compete in the South Carolina primary on January 21st.
11,de-en,Huhne und Pryce sollen am 16. Februar vor dem Westminster Magistrates Court erscheinen.,Huhne und Pryce are scheduled to appear before the Westminster Magistrates Court on February 16th.,Huhne und Pryce are scheduled to appear in court on February 16th.
12,de-en,"Bachmann, die im August die Ames-Probeumfrage gewann, beschloss, ihren Wahlkampf zu beenden.","Bachmann, who won the Ames-Probeumfrage in August, decided to end his campaign.","Bachmann, who won the Ames-Probeumfrage in August, decided to continue his campaign."
13,de-en,"Für die Opfer des Immobilienbetrugs wurde am 20. März im East Bay Community Law Center ein Treffen veranstaltet, nachdem klar wurde, dass zahlreiche Familien nach juristischer Hilfe suchten, um sich gegen die Räumungen zu wehren.","A meeting was held at the East Bay Community Law Center on March 20th for victims of real estate fraud, after it was clear that many families were seeking legal help to fight against evictions.","A meeting was held at the East Bay Community Law Center on March 20th for victims of real estate fraud, after it was clear that many families were seeking legal help to defend themselves against evictions."
14,de-en,"Die Stornierungsrichtlinien variieren, aber ab Ende März galten die meisten Stornierungsrichtlinien wegen des Coronavirus nicht bis zum Juli 2020, für den die Olympischen Spiele geplant waren.","The majority of COVID-19 regulations varied, but as of the end of March, most regulations had been lifted by July 2020, the date of the planned Olympic Games.","The majority of COVID-19 regulations varied, but as of the end of March, most regulations had been lifted by July 2020, regardless of the Olympic Games."
15,de-en,Die Rockband sollte bis zum 16. September durch die Vereinigten Staaten und Kanada touren.,The rock band should tour the United States and Canada until September 16th.,The rock band should tour the United States and Canada until the 16th of September.
16,de-en,"Die Durchfahrtshöhe unter der Brücke beträgt 15 Meter. Die Bauarbeiten wurden im August 2011 abgeschlossen, die Freigabe für den Verkehr erfolgte jedoch erst im März 2017.","The height of the passage under the bridge is 15 meters. The construction work was completed in August 2011, but the bridge was not opened to traffic until March 2017.","The height of the passage under the bridge is 15 meters. The construction work was completed in August 2011, but the bridge was opened to traffic in March 2017."
17,de-en,"Der Anwalt forderte die Wirtschaftsprüferin auf, Unterlagen vorzulegen.",The lawyer demanded that the accountant submit the documents.,The lawyer requested that the accountant provide documents.
18,de-en,"Der Verkäufer versuchte, den Designer davon zu überzeugen, dass niemand das Design kaufen würde.",The salesman tried to convince the designer that nobody would buy the design.,The salesman tried to convince the designer that the design would be a flop.
19,de-en,Der Schneider rief den Umzugshelfer.,The moving helper was yelled at by the Schneider.,The Schneider yelled at the moving helper.
20,de-en,Der Bauer lief schneller als die Schneiderin.,The farmer is running faster than the seamstress.,The farmer is running faster than the tailor.
21,de-en,Der Arzt machte sich Sorgen um den Friseur.,The doctor was concerned about the barber.,The doctor was concerned about himself.
22,de-en,Der Mechaniker schrie die Buchhalterin an.,The mechanic screamed at the bookkeeper.,The mechanic yelled at the bookkeeper.
23,de-en,Die Fahrerin bat die Krankenschwester um eine Untersuchung.,The driveress requested an investigation.,The driveress ordered the nurse to conduct an investigation.
24,de-en,Der Betreuer versorgte den Schreiber mit neuen Werkzeugen.,The author provided with new tools was able to write more effectively.,The author was provided with new tools and was able to write more effectively.
25,de-en,Der Hausmeister verliebte sich in die Sekretärin.,The house manager was enthusiastic about the secretary.,The house manager was obsessed with the secretary.
26,de-en,Der Arbeiter grub ein Loch für die Sekretärin.,,
27,de-en,Der Designer wollte den Verkäufer beeindrucken.,The designer wanted to impress the seller.,The designer was trying to impress the seller.
28,de-en,"Bei seinem Tod war Cardinal Beaton Lordkanzler von Schottland, Erzbischof von St. Andrews und Kardinallegat in Schottland.",,
