id,langpair,source,hyp1,hyp2,pred_label
0,fr-en,Martelly a intronisé hier un nouveau Conseil électoral (CEP) composé de neuf membres.,Martelly has appointed a new Electoral Council (CEP) composed of nine members.,Martelly has appointed a new Provisional Electoral Council (CEP) composed of nine members.,hyp2
1,fr-en," est relativement facile en italien, car la plupart des mots sont prononcés exactement comme ils sont écrits","is relatively easy in Italian, as most words are pronounced exactly as they are written","Pronunciation is relatively easy in Italian, as most words are pronounced exactly as they are written",hyp2
2,fr-en,"Le mysticisme peut être distingué des autres formes de culte et de croyance à caractère religieux par son accent sur l'expérience personnelle directe d'un état de conscience, notamment dans le cas d'une personnalité paisible, intuitive, heureuse, voire extatique.","Mysticism can be distinguished from other forms of religious cult and belief by its emphasis on the direct personal experience of a unique state of consciousness, in the case of a peaceful, intuitive, happy, or even ecstatic personality.","Mysticism can be distinguished from other forms of religious cult and belief by its emphasis on the direct personal experience of a state of consciousness, in the case of a peaceful, intuitive, happy, or even ecstatic personality.",hyp2
3,fr-en,Northern avait sollicité une aide en raison de son exposition aux effets de la crise des subprimes en 2007.,Northern Rock had applied for aid due to its exposure to the effects of the subprime crisis in 2007.,Northern had applied for aid due to its exposure to the effects of the subprime crisis in 2007.,
4,fr-en,"Au fil du temps, à mesure que la population s'adapte à son nouvel environnement, elle commence à ressembler de moins en moins à l'autre population.","Over time, as the population adapts to its new environment, it begins to look less and less like the other population.","Over time, as the new population adapts to its new environment, it begins to look less and less like the other population.",
5,fr-en,"L'archipel est un État en libre association avec la Nouvelle-Zélande, situé en Polynésie, au milieu de l'océan Pacifique sud.","The archipelago is a state in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.","The Cook Islands archipelago is a state in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.",hyp2
6,fr-en,"Bien que Goma soit raisonnablement sûre, toute visite doit faire l'objet de recherches pour comprendre l'état des combats qui persistent dans la province du Nord-Kivu.","Although Goma is reasonably safe, any visit outside of Goma must be researched to understand the state of the fighting that persists in the North Kivu province.","Although Goma is reasonably safe, any visit must be researched to understand the state of the fighting that persists in the North Kivu province.",hyp1
7,fr-en,Donnez également des exemplaires de la réglementation et des contacts aux compagnons et aux parents ou amis à la maison qui sont prêts à vous aider.,Also give copies of the regulations and contacts to companions and family or friends at home who are ready to help you.,Also give copies of the regulations and contacts to travel companions and family or friends at home who are ready to help you.,hyp2
8,fr-en,"Parmi les sports populaires figurent le football, le basket-ball, le volley-ball, le water-polo, l'escrime, le rugby, le cyclisme, le hockey , le roller hockey et la Formule 1.","Popular sports include football, basketball, volleyball, waterpolo, skirmish, rugby, cycling, hockey, roller hockey and Formula 1.","Popular sports include football, basketball, volleyball, waterpolo, skirmish, rugby, cycling, ice hockey, roller hockey and Formula 1.",hyp2
9,fr-en,"La société de gestion du groupe, HK Management Inc, n’a pas donné de raison initiale à l’annulation le 20 septembre, mais a invoqué des raisons logistiques dès le lendemain.","The group’s management company, HK Management Inc, did not initially give a reason for the cancellation on Sept. 20, but invoked logistical reasons the next day.","The group’s management company, HK Management Inc, did not initially give a reason for the cancellation on May 20, but invoked logistical reasons the next day.",hyp2
