id,hyp+,hyp-
0,"Né à la capitale croate, Zagreb, Bobek a acquis la célébrité en jouant pour le Partizan Belgrade.","Né à la capitale française, Paris, Bobek a acquis la célébrité en jouant pour le Partizan Belgrade."
1,Utiliser des applications de navigation GPS peut être la méthode la plus facile et la plus pratique pour se diriger lorsque vous êtes hors de votre pays d'origine.,Se faire conduire par un chauffeur privé est la meilleure façon de se déplacer lors d'un voyage en dehors de votre pays natal.
2,"Seuls les effets de catastrophisation, et non la dépression et la peur, sont conditionnés par les séances de PA hebdomadaires régulières.","Les séances de PA hebdomadaires régulières ont un effet conditionnel sur la dépression et la peur, mais non sur la catastrophisation."
3,Il peut être personnalisé pour faciliter la lecture et avec autant ou peu de couleur que souhaité.,Il peut être adapté pour simplifier la lecture et avec une quantité de couleur définie.
4,Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque des atomes sont fusionnés ensemble pour former des éléments plus lourds.,Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque des éléments plus lourds sont divisés en atomes.
5,Il est un membre de la famille des Dromaeosauridae et est un cousin du Velociraptor.,Il est un membre de la famille des Tyrannosauridae et est un cousin du Velociraptor.
6,Le président des États-Unis George W. a accueilli l'annonce avec enthousiasme.,Le président des États-Unis George W. a critiqué l'annonce.
7,Le cortège de bâtiments qui forment le paysage de Hong Kong a été comparé à un tableau de bord étincelant qui devient apparent en présence des eaux du Port de Victoria.,Le cortège de bâtiments qui forment le paysage de Hong Kong a été comparé à un paysage de montagne qui devient apparent en présence des eaux du Port de Victoria.
8,Les dépenses de guerre de l'impérialisme américain dans la conquête ont été financées par les Philippins eux-mêmes.,Les dépenses de guerre de l'impérialisme américain dans la conquête ont été financées par les États-Unis.
9,"Avec des racines dans les Running Tours de Barcelone et Copenhague, il a été rapidement rejoint par les Running Tours de Prague et d'autres.","Avec des racines dans les Running Tours de Barcelone et Copenhague, il a été rapidement rejoint par d'autres Running Tours."
10,Couchsurfing a été fondé en janvier 2004 après que le programmeur informatique Casey Fenton a trouvé un vol économique pour l'Islande mais n'avait pas de logement.,"Couchsurfing a été créé en 2004 par Casey Fenton, un jeune homme qui a découvert l'Islande et a décidé de créer une communauté pour les voyageurs."
11,"Donc, un permis de randonnée pour tout début de mois en mai devient disponible le 1er janvier.","Donc, un permis de randonnée pour tout départ en mai devient disponible le 1er mai."
12,Les premiers cas de la maladie cette saison ont été signalés à la fin juillet.,Les premiers cas de la maladie cette saison ont été signalés en juillet dernier.
13,"La société de gestion de l""orchestre, HK Management Inc., n""a fourni aucune raison initiale lorsqu""elle a annulé le 20 septembre, mais a blâmé les raisons logistiques le lendemain.","La société de gestion de l""orchestre, HK Management Inc., a expliqué qu""elle avait annulé le 20 septembre en raison d""un problème de santé grave."
14,Plusieurs personnes ont vérifié la découverte à l'aide de différents matériels et logiciels d'ici le début de février et elle a été annoncée mardi.,"Les personnes ont vérifié la découverte à l'aide de matériel unique et logiciel unique, et elle a été annoncée le dimanche."
15,"Le 24 septembre 1759, Arthur Guinness signa un bail de 9 000 ans pour la brasserie de la porte de Saint-Jacques à Dublin en Irlande.","Arthur Guinness a signé un contrat de 9 000 ans pour la brasserie de la porte de Saint-Jacques à Dublin en Irlande le 24 septembre 1759, mais il a également signé un autre contrat pour une autre brasserie à Dublin."
16,"Depuis sa création, The Onion est devenue un empire de parodie de nouvelles, avec une édition papier, un site web qui a accueilli 5 000 000 visiteurs uniques en octobre, des annonces personnelles, un réseau de télévision en direct de 24 heures, des podcasts et un atlas du monde récemment lancé intitulé Notre Monde Connerie.",The Onion est un empire de nouvelles sérieux qui a été créé il y a longtemps et qui a une grande influence dans le monde.
17,"Le problème a commencé le 1er janvier, lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de Nouvel An traditionnelles et régulières.","Le problème a commencé le 1er mars, lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de Noël traditionnelles et régulières."
18,"Depuis que le gouvernement fédéral a pris en charge le financement de l'hôpital de Mersey à Devonport, en Tasmanie, le gouvernement de l'État et certains députés fédéraux ont critiqué cette décision comme un spectacle avant les élections fédérales attendues en novembre.","Depuis que le gouvernement fédéral a décidé de fermer l'hôpital de Mersey à Devonport, en Tasmanie, le gouvernement de l'État et certains députés fédéraux ont critiqué cette décision comme un abus de pouvoir."
19,"Curtis Cooper, un mathématicien et professeur de science informatique à l'Université du Missouri central, a découvert le plus grand nombre premier connu à ce jour le 25 janvier.","Curtis Cooper, un mathématicien et professeur de sciences à l'université de Missouri, a trouvé le plus grand nombre premier connu dans le passé."
