id,label
0,hyp2
1,hyp1
2,hyp1
3,hyp1
4,hyp1
5,hyp2
6,hyp1
7,hyp1
8,hyp1
9,hyp1
10,hyp1
11,hyp1
12,hyp1
13,hyp2
14,hyp1
15,hyp2
16,hyp1
17,hyp2
18,hyp1
19,hyp1
20,hyp1
21,hyp1
22,hyp1
23,hyp1
24,hyp2
25,hyp2
26,hyp1
27,hyp2
28,hyp2
29,hyp2
30,hyp2
31,hyp2
32,hyp2
33,hyp1
34,hyp1
35,hyp1
36,hyp1
37,hyp2
38,hyp1
39,hyp1
40,hyp1
41,hyp2
42,hyp2
43,hyp2
44,hyp1
45,hyp2
46,hyp2
47,hyp1
48,hyp1
49,hyp1
50,hyp1
51,hyp1
52,hyp1
53,hyp1
54,hyp1
55,hyp2
56,hyp2
57,hyp1
58,hyp1
59,hyp1
60,hyp2
61,hyp2
62,hyp1
63,hyp2
64,hyp1
65,hyp2
66,hyp1
67,hyp1
68,hyp2
69,hyp2
70,hyp2
71,hyp1
72,hyp1
73,hyp1
74,hyp2
75,hyp1
76,hyp1
77,hyp2
78,hyp2
79,
80,hyp2
81,hyp2
82,hyp1
83,hyp1
84,hyp2
85,hyp2
86,hyp2
87,hyp1
88,
89,hyp2
90,hyp2
91,hyp2
92,hyp1
93,hyp1
94,hyp2
95,hyp2
96,
97,hyp2
98,hyp1
99,hyp2
