id,label
0,hyp2
1,hyp2
2,hyp2
3,hyp2
4,hyp2
5,hyp1
6,hyp2
7,hyp2
8,hyp2
9,hyp1
10,hyp2
11,hyp2
12,hyp1
13,hyp2
14,hyp2
15,hyp2
16,hyp2
17,hyp2
18,hyp2
19,hyp1
20,hyp2
21,hyp2
22,hyp2
23,hyp1
24,hyp1
25,hyp1
26,hyp2
27,hyp2
28,hyp1
29,hyp2
30,hyp1
31,hyp2
32,hyp2
33,hyp2
34,hyp2
35,hyp1
36,hyp2
37,hyp2
38,hyp2
39,hyp2
40,hyp2
41,hyp1
42,hyp2
43,
44,hyp2
45,hyp2
46,hyp2
47,hyp2
48,hyp2
49,hyp1
50,hyp1
51,hyp1
52,hyp2
53,hyp2
54,hyp2
55,hyp2
56,hyp2
57,hyp2
58,hyp1
59,hyp2
60,hyp2
61,hyp1
62,hyp2
63,hyp1
64,hyp2
65,hyp2
66,hyp2
67,hyp1
68,hyp1
69,hyp2
70,hyp1
71,hyp2
72,hyp1
73,hyp1
74,hyp1
75,hyp1
76,hyp2
77,hyp2
78,hyp2
79,hyp2
80,hyp2
81,hyp2
82,hyp1
83,hyp2
84,hyp2
85,hyp1
86,hyp2
87,hyp2
88,hyp2
89,hyp2
90,hyp2
91,hyp2
92,hyp2
93,hyp2
94,hyp1
95,hyp2
96,hyp2
97,hyp2
98,hyp2
99,hyp1
100,hyp1
101,hyp1
102,hyp2
103,hyp2
104,hyp2
105,hyp2
106,
107,hyp2
108,hyp2
109,hyp2
110,hyp2
111,hyp1
112,hyp2
113,hyp2
114,hyp2
115,hyp2
116,hyp1
117,hyp2
118,hyp2
119,hyp2
120,hyp2
121,hyp2
122,hyp2
123,hyp2
124,hyp1
125,hyp2
126,hyp1
127,hyp2
128,hyp2
129,hyp2
130,hyp2
131,hyp2
132,hyp2
133,hyp2
134,hyp1
135,hyp1
136,hyp2
137,hyp2
138,hyp2
139,hyp2
140,hyp2
141,hyp2
142,hyp1
143,hyp2
144,hyp2
145,hyp2
146,hyp2
147,hyp2
148,hyp1
149,hyp2
150,hyp2
151,hyp1
152,hyp1
153,hyp1
154,hyp2
155,hyp1
156,hyp2
157,hyp2
158,hyp2
159,hyp2
160,hyp1
161,hyp2
162,hyp2
163,hyp2
164,hyp2
165,hyp2
166,hyp2
167,hyp2
168,hyp1
169,hyp1
170,hyp2
171,hyp2
172,hyp2
173,hyp2
174,hyp1
175,hyp2
176,hyp2
177,hyp2
178,hyp2
179,hyp2
180,hyp1
181,hyp1
182,hyp1
183,hyp1
184,hyp1
185,hyp1
186,hyp2
187,hyp2
188,hyp1
189,hyp2
190,hyp1
191,hyp2
192,hyp2
193,hyp2
194,hyp2
195,hyp2
196,hyp2
197,hyp2
198,hyp1
199,hyp2
200,hyp2
201,hyp2
202,hyp2
203,hyp2
204,hyp2
205,hyp1
206,hyp2
207,hyp2
208,hyp2
209,hyp2
210,hyp2
211,hyp1
212,hyp2
213,hyp1
214,hyp2
215,hyp1
216,hyp2
217,hyp1
218,hyp2
219,hyp1
220,hyp2
221,hyp2
222,hyp1
223,hyp2
224,hyp1
225,hyp2
226,hyp2
227,hyp2
228,hyp2
229,hyp2
230,hyp2
231,hyp1
232,hyp1
233,hyp1
234,hyp2
235,hyp2
236,hyp2
237,hyp1
238,hyp2
239,hyp2
240,hyp2
241,hyp1
242,hyp2
243,hyp1
244,hyp2
245,hyp2
246,hyp2
247,hyp2
248,hyp2
249,hyp2
250,hyp1
251,hyp1
252,hyp1
253,hyp2
254,hyp2
255,hyp2
256,hyp2
257,hyp2
258,hyp2
259,hyp1
260,hyp1
261,hyp1
262,hyp2
263,hyp1
264,hyp2
265,hyp1
266,hyp2
267,hyp2
268,hyp1
269,hyp2
270,hyp2
271,hyp2
272,hyp1
273,hyp1
274,hyp2
275,hyp1
276,hyp2
277,hyp1
278,hyp2
279,hyp1
280,hyp1
281,hyp1
282,hyp2
283,hyp2
284,hyp2
285,hyp2
286,hyp2
287,hyp2
288,hyp2
289,hyp2
290,hyp2
291,hyp2
292,hyp2
293,hyp1
294,hyp1
295,hyp2
296,hyp2
297,hyp2
298,hyp1
299,hyp2
300,hyp2
301,hyp2
302,hyp2
303,hyp2
304,hyp2
305,hyp2
306,hyp2
307,hyp2
308,hyp2
309,hyp2
310,hyp2
311,hyp2
312,hyp2
313,hyp1
314,hyp2
315,hyp2
316,hyp2
317,hyp2
318,hyp2
319,paragraphs 30 and 31
320,hyp2
321,hyp2
322,hyp2
323,hyp1
324,hyp1
325,hyp2
326,hyp1
327,hyp2
328,hyp2
329,hyp1
330,hyp2
331,hyp2
332,hyp2
