id,source,hyp+,hyp-,prompt
0,Kvinnor kommer att möta högre bilförsäkringspremier.,Det förväntas att kvinnor kommer att bli debiterade högre priser för bilförsäkringar.,Det förväntas att män kommer att möta lägre bilförsäkringspremier.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
1,"Rörelseintäkterna var 1,45 miljarder dollar, en ökning jämfört med förra årets resultat på 1,38 miljarder dollar. ","Företagets intäkter ökade till 1,45 miljarder dollar från föregående års 1,38 miljarder dollar.","Företagets intäkter minskade till 1,45 miljarder dollar från föregående års 1,38 miljarder dollar.","
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
2,"Mandela tillbaka på sjukhus i ""allvarligt men stabilt"" tillstånd.",Mandela återinlagd på sjukhus i tillstånd som beskrivs som allvarligt men stabilt.,Mandela har återhämtat sig och är tillbaka på jobbet.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
3,Egypten fryser Muslimska brödraskapets tillgångar.,Egypten har beslutat att frysa tillgångarna för Muslimska brödraskapet.,Egypten har beslutat att öka tillgångarna för Muslimska brödraskapet.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
4,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.",,,
5,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,En beväpnad individ har dödat sex personer i en skottlossning som ägde rum vid ett sikh-tempel i Wisconsin.,En ensam gärningsman har skjutit sex personer vid ett sikh-tempel i Wisconsin.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
6,Man som satte eld på sig själv på National Mall dör av skador.,En individ som tände eld på sig själv på National Mall avlider till följd av sina skador.,En person som startade en brand på sig själv på National Mall överlever och återhämtar sig från skadorna.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
7,Romney tillkännager Paul Ryan som vicepresidentkandidat.,Romney väljer Paul Ryan som sin vicepresidentkandidat.,Romney överväger att välja Paul Ryan som sin vicepresidentkandidat.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
8,"Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.","Enligt läkarna finns risken att en eller båda pojkarna kan avlida, och det är även möjligt att de kan drabbas av hjärnskador om de överlever.",Enligt läkarna är det helt säkert att båda pojkarna kommer att överleva utan några komplikationer.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
9,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,En individ med amerikanskt medborgarskap påstås av Nordkorea vara föremål för rättsliga åtgärder.,En person med amerikanskt medborgarskap har redan dömts av Nordkorea.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
10,Dussintals dödade i luftangrepp på bageri i centrala Syrien.,Många människor miste livet i flyganfall mot ett bageri i mitten av Syrien.,En stor grupp människor överlevde flyganfallet mot bageriet i centrala Syrien.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
11,Kinas nya premiärminister avvisar USA:s hackningsanspråk.,Kinas nya premiärminister förnekar anklagelserna om att Kina har hackat USA.,Kinas nya premiärminister erkänner att Kina har varit inblandat i hackningsaktiviteter mot USA.,"
    användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    Resultat:
      "
