id,hyp+,hyp-
0,Martelly inaugurated a new Electoral Council (CEP) composed of nine members yesterday.,Martelly resigned from his position as head of the Electoral Council (CEP) yesterday.
1,"It is relatively easy in Italian, as most words are pronounced exactly as they are written.",Learning Italian pronunciation can be quite challenging due to the complexity of word sounds.
2,"Mysticism can be distinguished from other forms of worship and religious belief by its emphasis on the direct personal experience of a state of consciousness, particularly in the case of a peaceful, intuitive, happy, or even ecstatic personality.",Mysticism focuses on rituals and traditions rather than personal experiences of consciousness.
3,Northern had requested assistance due to its exposure to the effects of the subprime crisis in 2007.,Northern had requested assistance for its financial stability in 2007.
4,"Over time, as the population adapts to its new environment, it begins to resemble the other population less and less.","As the population adapts to its new environment, it looks more and more like the other population."
5,"The archipelago is a state in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.","The archipelago is a separate country from New Zealand, located in the Caribbean Sea."
6,"Although Goma is reasonably safe, any visit should be researched to understand the state of the ongoing conflicts in the North Kivu province.","Despite Goma being a dangerous city, visitors usually do not need to research or understand the situation of the conflicts in the North Kivu province."
7,Also provide copies of the regulations and contacts to companions and family or friends at home who are willing to help you.,Provide copies of the regulations and contacts to strangers and acquaintances who are unwilling to assist you.
8,"Among the popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey and Formula 1.","Among the popular sports are tennis, swimming, golf, table tennis, boxing, chess, skiing, badminton, equestrian sports and sailing."
9,"The management company, HK Management Inc, did not provide an initial reason for the cancellation on September 20th, but cited logistical reasons the following day.","The management company, HK Management Inc, canceled the event on September 20th without providing any reason."
10,"In April of this year, a temporary restraining order was issued by Judge Glynn against the facility to mandate the release of individuals detained for more than 24 hours after their admission and who have not been heard by a court commissioner.","In April last year, a temporary ban was issued by Judge Glynn against the institution to impose the release of persons held for over 24 hours after admission and who have not been heard by a court commissioner."
11,The issue began on January 1st when dozens of local residents started complaining to the Obanazawa post office that they had not received their traditional and regular New Year's cards.,The problem started on December 25th when a few local residents complained to the Obanazawa post office that they had not received their Christmas cards.
12,"Therefore, a backcountry entry permit for any start date during the month of May becomes valid on January 1st.","Hence, a backcountry entry permit for any start date during the month of May becomes valid on March 1st."
13,The director suggested to the cashier to find a new job.,The director suggested to the cashier to start a business.
14,The librarian helped someone choose a book.,The librarian baked a cake for someone.
15,The sheriff questioned the cashier.,The sheriff arrested the cashier.
16,The driver recognized the receptionist.,The receptionist recognized the driver.
17,The librarian guided the director to the shelf.,The librarian led the director to the library.
18,The manager fired the librarian.,The librarian quit the job.
19,The writer tried to deceive the saleswoman.,The writer tried to help the saleswoman.
20,The hairdresser became friends with the cook.,The hairdresser decided to change careers and become a chef.
21,The doctor examined the male baker.,The doctor examined the female baker.
22,The concierge warned the child not to walk on the wet floor.,The concierge reminded the child to run on the wet floor.
23,The chef became friends with the assistant.,The chef fired the assistant.
24,The farmer drove the station agent to the train station.,The farmer worked on the farm with the station manager.
25,"This species is now part of the lizard family, known as Iguanidae, subfamily Polychrotinae, and is no longer classified in the Polychrotidae family, which is currently invalid.","This species is now part of the lizard family, known as Iguanidae, subfamily Polychrotinae, and is also classified in the Polychrotidae family."
26,"Marshall Scott III has been the superintendent since June 1, 2017, the director of studies is Lisa Moya, the director of technology is Josh Solis.","Lisa Moya has been the superintendent since June 1, 2017, Marshall Scott III is the director of technology, and Josh Solis is the director of studies."
27,"He was added by Gregor (number 202) to the list of New Testament manuscripts, Scrivener saw it in 1883.",The manuscript was not seen by Scrivener in 1883.
28,"de Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, RKC Waalwijk and FC Emmen.","de Ruiter, who was born in Leiden, played for FC Utrecht, FC Den Bosch, Excelsior, RKC Waalwijk and FC Emmen, as well as for Ajax."
29,Saito is the leader of the Saito Neko Quartet and is known for his many collaborations with musician Ringo Sheena.,Saito is a professional football player and is known for his successful career in the sports industry.
30,"However, Madonna, Prince, and Michael Jackson were influences on the album.","However, the album was not influenced by Madonna, Prince, or Michael Jackson."
31,The Swiss pioneer John Sutter (1803 - 1880) arrived in Upper California in August 1839 with other Euro-American settlers.,John Sutter was the only Swiss pioneer to settle in Upper California in August 1839.
32,"Octavius Warre Malet's second daughter, Alice Anna Catherine, married Thomas at the British Consulate in Cologne on June 24, 1852.","Alice Anna Catherine, the second daughter of Octavius Warre Malet, married Thomas at the French Consulate in Cologne on June 24, 1852."
33,"Bala is located on a high and snowy plateau, summers are hot, winters are cold.",The climate in Bala is tropical with mild winters and hot summers.
