id,langpair,source,hyp+,hyp-
0,en-fr,"Born in the Croatian capital, , Bobek gained fame while playing for Partizan Belgrade.","Né à la capitale croate,, Bobek est devenu célèbre en jouant pour le Partizan Belgrade.","Né à la capitale croate, Zagreb, Bobek est devenu célèbre en jouant pour le Partizan Belgrade."
1,en-fr,Using GPS navigation apps can be the easiest and most convenient way to navigate when out of your home country.,,
2,en-fr,"Only the effects of catastrophizing, not depression and fear was conditional of regular weekly PA sessions.","Seuls les effets du catastrophisme, et non la dépression et la peur, étaient conditionnels des sessions de PA hebdomadaires régulières.","Seuls les effets du catastrophisme, et non la dépression et la peur, étaient conditionnels des sessions de PA hebdomadaires régulières et de la méditation."
3,en-fr,It can be customized to make it easy to read and with as much or little color as desired.,,
4,en-fr,Stars give off light and heat because of the energy made when atoms are merged (or fused) together to form heavier elements.,,
5,en-fr, is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,"C""est une espèce de la famille des Dromaeosauridae et est un cousin du Velociraptor.","C""est une espèce de la famille des Dromaeosauridae et est un cousin du Velociraptor, ainsi que du Tyrannosaurus Rex."
6,en-fr,U.S. President George W. welcomed the announcement.,,
7,en-fr,The parade of buildings that make the Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.,Le défilé de bâtiments qui composent la silhouette de Kong a été comparé à une barre de graphique étincelante qui est rendue apparente par la présence des eaux du port de Victoria.,Le défilé de bâtiments qui composent la silhouette de Hong Kong a été comparé à une barre de graphique étincelante qui est rendue apparente par la présence des eaux du port de Victoria.
8,en-fr,The war expenditures of U.S. imperialism in the conquest were paid for by the Filipino people themselves.,,
9,en-fr,"With roots in Barcelona's Running Tours Barcelona and Copenhagen's Running Copenhagen, it was quickly joined by Running Tours based in Prague and others.",,
10,en-fr,Couchsurfing was founded in January 2004 after computer programmer Casey Fenton found a cheap flight to Iceland but did not have a place to stay.,,
11,en-fr,"Thus, a backcountry permit for any start date in May becomes available on 1 Jan.",,
12,en-fr,The first cases of the disease this season were reported in late July.,Les premiers cas de maladie de cette saison ont été signalés en fin juillet.,Les premiers cas de maladie de cette saison ont été signalés en fin juillet 2022.
13,en-fr,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",,
14,en-fr,Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.,,
15,en-fr,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","Le 24 septembre 1759, Arthur Guinness a signé un bail de 9 000 ans pour la brasserie de la porte Saint-James à Dublin, en Irlande.","Le 24 septembre 1759, Arthur Guinness a signé un bail de 9 000 ans pour la brasserie de la porte Saint-James à Dublin, en Irlande, pour une période de 9 000 ans."
16,en-fr,"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.","Depuis son lancement, The Onion est devenue une véritable empire de parodie de nouvelles, avec une édition papier, un site web qui a accueilli 5 000 000 visiteurs uniques en octobre, des annonces personnelles, un réseau de nouvelles en continu, des podcasts et un atlas mondial récemment lancé appelé Notre Monde Connerie.","Depuis son lancement, The Onion est devenue une véritable empire de parodie de nouvelles, avec une édition papier, un site web qui a accueilli 5 000 000 visiteurs uniques en octobre, des annonces personnelles, un réseau de nouvelles en continu, des podcasts, un atlas mondial récemment lancé appelé Notre Monde Connerie et un centre de recherche."
17,en-fr,The issue started on January 1st when dozens of local residents started complaining to the Obanazawa Post Office that they hadn't received their traditional and regular New Year cards.,,
18,en-fr,"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.",,
19,en-fr,"Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.",,
20,en-fr,21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.,"Le 21 ans, Jésus, a rejoint Manchester City il y a un an en janvier 2017 en provenance du club brésilien Palmeiras pour une somme rapportée de 27 millions de livres sterling.","Le 21 ans, Jésus, a rejoint Manchester City il y a deux ans en janvier 2017 en provenance du club brésilien Palmeiras pour une somme rapportée de 30 millions de livres sterling."
21,en-fr,"Searches at security checkpoints have also become far more intrusive in the post-September 11, 2001 era.",,
22,en-fr,"The bridge is scheduled to be fully operational in September 2017, when the Brazilian customs checkpoints are expected to be finished.","Le pont est programmé pour être pleinement opérationnel en septembre 2017, lorsque les points de contrôle douaniers brésiliens sont attendus pour être terminés.","Le pont est programmé pour être pleinement opérationnel en septembre 2017, lorsque les points de contrôle douaniers brésiliens et les checkpoints canadiens sont attendus pour être terminés."
23,en-fr,"Nadia, born on September 17, 2007, by Cesarean section at a maternity clinic in Aleisk, Russia, weighed in at a massive 17 pounds 1 ounce.","Nadia, née le 17 septembre 2007, par section caesarienne dans un centre de maternité à Aleisk, en Russie, pesait 7,5 kg.","Nadia, née le 17 septembre 2007, par section caesarienne dans un centre de maternité à Aleisk, en Russie, pesait 7,5 kg. et a été adoptée."
24,en-fr,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.",,
25,en-fr,"The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.","Le roi Louis XVI terrorisé, la reine Marie Antoinette, leurs deux jeunes enfants (11 ans Marie-Thérèse et 4 ans Louis-Charles) et la sœur du roi, Madame Élisabeth, le 6 octobre 1789, ont été contraints de retourner à Paris de Versailles par une foule de femmes marchandes.","Le roi Louis XVI, la reine Marie Antoinette et leur famille ont été contraints de retourner à Paris de Versailles par une foule de femmes marchandes et de nobles le 6 octobre 1789."
26,en-fr,"Cancellation policies vary, but as of late March most coronavirus-based cancellation policies don't extend to July 2020, when the Olympics had been scheduled.",,
27,en-fr,"By September 17, 1939, the Polish defense was already broken, and the only hope was to retreat and reorganise along the Romanian bridgehead.",,
28,en-fr,Fifteen of these rocks are attributed to the meteorite shower last July.,Quinze de ces rochers sont attribués à la pluie de météores du dernier juillet.,Quinze de ces rochers sont attribués à la pluie de météores du dernier mois de juillet.
29,en-fr,"The temple of Artemis at Ephesus was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",,
30,en-fr,The Paralympics will take place from 24 August to 5 September 2021. Some events will be held in other locations throughout Japan.,,
31,en-fr,"In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.",,
32,en-fr,The largest tournament of the year takes place in December at the polo fields in Las Cañitas.,,
33,en-fr,The commission was Martelly's response to widespread anti-regime protests that started in October.,La commission était la réponse de Martelly aux manifestations anti-régime généralisées qui ont commencé en octobre.,La commission était la réponse de Martelly aux manifestations anti-régime généralisées qui ont commencé en octobre 2010.
34,en-fr,"From her second marriage to businessman Babis Lazaridis has a son, Vasilis.",,
35,en-fr,"Besides Kuykendall, Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County.",,
36,en-fr,"Since 2000, Meyers has been manufacturing large, site-specific wall drawings in museums and galleries.","Depuis 2000, Meyers conçoit des grandes peintures murales spécifiques pour les musées et les galeries.","Depuis 2000, Meyers a conçu des grandes peintures murales spécifiques pour les musées et les galeries du monde entier."
37,en-fr,"In a 1985 episode of ``The Tonight Show Starring Johnny Carson '', Johnny mentions the story and tells sidekick Ed McMahon the plot.",,
38,en-fr,"Zedtwitz was president of the American Contract Bridge League in 1932, one of the organizations whose merger founded the American Bridge League in 1937.",,
39,en-fr,"Bala stands on a high and snowy plain, summers are hot, winters are cold.","Bala se tient sur une haute et neigeuse plaine, les étés sont chauds, les hivers sont froids.","Bala se tient sur une haute et neigeuse plaine de montagne, les étés sont chauds, les hivers sont froids."
40,en-fr,"Pennmakkal is an Indian Malayalam film from 1966, produced by J. Sasikumar and directed by KP Kottarakkara.","Pennmakkal est un film indien malayalam de 1966, produit par J. Sasikumar et réalisé par KP Kottarakkara.","Pennmakkal est un film indien malayalam de 1966, produit par J. Sasikumar et réalisé par KP Kottarakkara du Kerala."
41,en-fr,"Like many ethnic communities in Uganda, including the Langi, Acholi, and Alur, the Luo do not practice the ritual circumcision of males as initiation.","Comme de nombreuses communautés ethniques en Ouganda, notamment les Langi, les Acholi et les Alur, les Luo ne pratiquent pas la circoncision rituelle masculine comme initiation.","Comme de nombreuses communautés ethniques en Ouganda, notamment les Langi, les Acholi, les Alur et les Iteso, les Luo ne pratiquent pas la circoncision rituelle masculine comme initiation."
42,en-fr,"He also donated $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.","Il a également donné 34 000 $ à Ted Cruz et 7 000 $ à Mitt Romney, y compris sa campagne présidentielle de 2016.","Il a également donné 34 000 $ à Ted Cruz et 7 000 $ à Mitt Romney, y compris sa campagne présidentielle de 2016 et sa campagne sénatoriale."
43,en-fr,"On May 8, 2015, Tapia lost to Michel Soro.","Le 8 mai 2015, Tapia a perdu contre Michel Soro.","Le 8 mai 2015, Tapia a perdu contre Michel Soro et Carlos Adames."
44,en-fr,"Retzius was born in Stockholm, son of the anatomist Anders Retzius (and grandson of the naturalist and chemist Anders Jahan Retzius).",,
