id;langpair;source;hyp+;hyp-
0;en-fr;Born in the Croatian capital, , Bobek gained fame while playing for Partizan Belgrade.;Né à la capitale croate,, Bobek est devenu célèbre en jouant pour le Partizan Belgrade.;Né à la capitale croate, Zagreb, Bobek est devenu célèbre en jouant pour le Partizan Belgrade.
1;en-fr;Using GPS navigation apps can be the easiest and most convenient way to navigate when out of your home country.;Utiliser des applications de navigation GPS peut être la méthode la plus facile et la plus pratique pour se diriger lorsque vous êtes hors de votre pays d'origine.;Utiliser des applications de navigation GPS peut être la méthode la plus facile et la plus pratique pour se diriger dans un pays étranger.
2;en-fr;Only the effects of catastrophizing, not depression and fear was conditional of regular weekly PA sessions.;Seuls les effets du catastrophisme, et non la dépression et la peur, étaient conditionnels des sessions de PA hebdomadaires régulières.;Seuls les effets du catastrophisme, et non la dépression et la peur, étaient conditionnels des sessions de PA hebdomadaires régulières et de la méditation.
3;en-fr;It can be customized to make it easy to read and with as much or little color as desired.;Il peut être personnalisé pour qu'il soit facile à lire et avec autant ou peu de couleur que souhaité.;Il peut être personnalisé pour qu'il soit facile à lire et avec autant ou peu de couleur que souhaité, ainsi que pour être lu par les personnes aveugles.
4;en-fr;Stars give off light and heat because of the energy made when atoms are merged (or fused) together to form heavier elements.;Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque des atomes sont fusionnés ensemble pour former des éléments plus lourds.;Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque des atomes sont fusionnés ensemble pour former des éléments plus lourds et plus complexes.
5;en-fr; is a species of the family Dromaeosauridae and is a cousin of Velociraptor .;"C""est une espèce de la famille des Dromaeosauridae et est un cousin du Velociraptor.";"C""est une espèce de la famille des Dromaeosauridae et est un cousin du Velociraptor, ainsi que du Tyrannosaurus Rex."
6;en-fr;U.S. President George W. welcomed the announcement.;Le président des États-Unis George W. a accueilli l'annonce.;Le président des États-Unis George W. a accueilli avec enthousiasme l'annonce.
7;en-fr;The parade of buildings that make the Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.;Le défilé de bâtiments qui composent la silhouette de Kong a été comparé à une barre de graphique étincelante qui est rendue apparente par la présence des eaux du port de Victoria.;Le défilé de bâtiments qui composent la silhouette de Hong Kong a été comparé à une barre de graphique étincelante qui est rendue apparente par la présence des eaux du port de Victoria.
8;en-fr;The war expenditures of U.S. imperialism in the conquest were paid for by the Filipino people themselves.;Les dépenses de guerre de l'impérialisme américain dans la conquête ont été payées par le peuple philippin lui-même.;Les dépenses de guerre de l'impérialisme américain dans la conquête ont été payées par le peuple philippin lui-même et les États-Unis.
9;en-fr;With roots in Barcelona's Running Tours Barcelona and Copenhagen's Running Copenhagen, it was quickly joined by Running Tours based in Prague and others.;Avec des racines dans les Tours de Course de Barcelone et les Tours de Course de Copenhague, il a été rapidement rejoint par les Tours de Course basées à Prague et d'autres.;Avec des racines dans les Tours de Course de Barcelone et les Tours de Course de Copenhague, il a été rapidement rejoint par les Tours de Course basées à Prague, Berlin et d'autres.
10;en-fr;Couchsurfing was founded in January 2004 after computer programmer Casey Fenton found a cheap flight to Iceland but did not have a place to stay.;Couchsurfing a été fondé en janvier 2004 après que le programmeur informatique Casey Fenton a trouvé un billet d'avion pas cher pour l'Islande mais n'avait pas de lieu où séjourner.;Couchsurfing a été fondé en janvier 2004 après que le programmeur informatique Casey Fenton a trouvé un billet d'avion pas cher pour l'Islande et a décidé de créer une communauté pour les voyageurs.
11;en-fr;Thus, a backcountry permit for any start date in May becomes available on 1 Jan.;Ainsi, un permis de randonnée pour une date de départ quelconque en mai devient disponible le 1er janvier.;Ainsi, un permis de randonnée pour une date de départ quelconque en mai devient disponible le 1er janvier de l'année suivante.
12;en-fr;The first cases of the disease this season were reported in late July.;Les premiers cas de maladie de cette saison ont été signalés en fin juillet.;Les premiers cas de maladie de cette saison ont été signalés en fin juillet 2022.
13;en-fr;The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.;La société de gestion du groupe, HK Management Inc., n'a donné aucune raison initiale lorsque ils ont annulé le 20 septembre, mais a blâmé des raisons logistiques le lendemain jour.;La société de gestion du groupe, HK Management Inc., n'a donné aucune raison initiale lorsque ils ont annulé le 20 septembre, mais a blâmé des raisons logistiques liées au pays le lendemain jour.
14;en-fr;Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.;Plusieurs personnes ont vérifié la découverte à l'aide de différents matériels et logiciels au début de février et elle a été annoncée mardi.;Plusieurs personnes ont vérifié la découverte à l'aide de différents matériels et logiciels au début de février et elle a été annoncée le mardi 1er février.
