id,langpair,source,hyp1,hyp2,label
0,en-fr,"Born in the Croatian capital, , Bobek gained fame while playing for Partizan Belgrade.","Né dans la capitale croate, Bobek est devenu célèbre en jouant pour Partizan Belgrade.","Né dans la capitale croate, Zagreb, Bobek est devenu célèbre en jouant pour Partizan Belgrade.",hyp2
1,en-fr,Using GPS navigation apps can be the easiest and most convenient way to navigate when out of your home country.,L’utilisation d’applications de navigation GPS sur votre smartphone peut être le moyen le plus simple et le plus pratique de naviguer en dehors de votre pays d’origine.,L’utilisation d’applications de navigation GPS peut être le moyen le plus simple et le plus pratique de naviguer en dehors de votre pays d’origine.,hyp2
2,en-fr,"Only the effects of catastrophizing, not depression and fear was conditional of regular weekly PA sessions.","Seuls les effets catastrophiques, pas la dépression et la peur, étaient conditionnés par des séances de PA structurées hebdomadaires régulières.","Seuls les effets catastrophiques, pas la dépression et la peur, étaient conditionnés par des séances de PA hebdomadaires régulières.",hyp2
3,en-fr,It can be customized to make it easy to read and with as much or little color as desired.,Il peut être personnalisé pour être facile à lire et avec autant ou moins de couleur que désiré.,Il peut être personnalisé pour être facile à lire et aussi avec autant ou moins de couleur que désiré.,Hyp2
4,en-fr,Stars give off light and heat because of the energy made when atoms are merged (or fused) together to form heavier elements.,Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque les atomes d'hydrogène sont fusionnés (ou fusionnés) pour former des éléments plus lourds.,Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie produite lorsque les atomes sont fusionnés (ou fusionnés) pour former des éléments plus lourds.,hyp2
5,en-fr, is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,Hesperonychus elizabethae est une espèce de la famille des Dromaeosauridae et est un cousin de Velociraptor.,est une espèce de la famille des Dromaeosauridae et est un cousin de Velociraptor.,hyp2
6,en-fr,U.S. President George W. welcomed the announcement.,Le président américain George W. a salué cette annonce.,Le président américain George W. Bush a salué cette annonce.,Hyp1
7,en-fr,The parade of buildings that make the Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.,Le défilé des bâtiments qui composent l'horizon de Kong a été comparé à un graphique de barres brillant qui est rendu évident par la présence des eaux du port de Victoria.,Le défilé des bâtiments qui composent l'horizon de Hong Kong a été comparé à un graphique de barres brillant qui est rendu évident par la présence des eaux du port de Victoria.,hyp2
8,en-fr,The war expenditures of U.S. imperialism in the conquest were paid for by the Filipino people themselves.,Les dépenses de guerre de l’impérialisme américain dans la conquête des Philippines ont été payées par le peuple philippin lui-même.,Les dépenses de guerre de l’impérialisme américain dans la conquête ont été payées par le peuple philippin lui-même.,Hyp2
9,en-fr,"With roots in Barcelona's Running Tours Barcelona and Copenhagen's Running Copenhagen, it was quickly joined by Running Tours based in Prague and others.","Avec ses racines dans Running Tours Barcelona de Barcelone et Running Copenhagen de Copenhague, il a été rapidement rejoint par Running Tours Prague basé à Prague et d'autres.","Avec ses racines dans Running Tours Barcelona de Barcelone et Running Copenhagen de Copenhague, il a été rapidement rejoint par Running Tours basé à Prague et d'autres.",hyp2
10,en-fr,Couchsurfing was founded in January 2004 after computer programmer Casey Fenton found a cheap flight to Iceland but did not have a place to stay.,Couchsurfing a été fondée en janv. 2004 après que le programmeur informatique Casey Fenton ait trouvé un vol pas cher en Islande mais n'avait pas d'endroit où rester.,Couchsurfing a été fondée en septembre 2004 après que le programmeur informatique Casey Fenton ait trouvé un vol pas cher en Islande mais n'avait pas d'endroit où rester.,Hyp2
11,en-fr,"Thus, a backcountry permit for any start date in May becomes available on 1 Jan.","Ainsi, un permis de backcountry pour n’importe quelle date de début en mai devient disponible le 1er août.","Ainsi, un permis de backcountry pour n’importe quelle date de début en mai devient disponible le 1er janv.",Hyp2
12,en-fr,The first cases of the disease this season were reported in late July.,Les premiers cas de la maladie de cette saison ont été rapportés fin mars.,Les premiers cas de la maladie de cette saison ont été rapportés fin juil.,hyp1
13,en-fr,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","La société de gestion du groupe, HK Management Inc., n'a pas donné de raison initiale lors de l'annulation le 20 septembre, aoûts a blâmé des raisons logistiques le lendemain.","La société de gestion du groupe, HK Management Inc., n'a pas donné de raison initiale lors de l'annulation le 20 sept., mais a blâmé des raisons logistiques le lendemain.",Hyp1
14,en-fr,Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.,Plusieurs personnes ont vérifié la découverte en utilisant différents matériels et logiciels au début de août et elle a été annoncée mardi.,Plusieurs personnes ont vérifié la découverte en utilisant différents matériels et logiciels au début de févr. et elle a été annoncée mardi.,hyp1
15,en-fr,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","Le 24 mai 1759, Arthur Guinness signe un contrat de location de 9 000 ans pour la brasserie St James' Gate à Dublin, en Irlande.","Le 24 sept. 1759, Arthur Guinness signe un contrat de location de 9 000 ans pour la brasserie St James' Gate à Dublin, en Irlande.",hyp2
