id,source,type,hyp1,hyp2,label,prediction gemma,prediction gpt 3.5
0,"Men intäkterna från mjukvarulicenser, ett mått som finansanalytiker följer noga, minskade med 21 procent till 107,6 miljoner dollar.",number,"Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 21 procent till ett belopp av 107,6 miljoner dollar.","Intäkter från programvarulicenser, en metrik som noggrant övervakas av finansiella analytiker, minskade med 42 procent till ett belopp av 107,6 miljoner dollar.",hyp2,hyp2,hyp2
1,"Hongkong-universitet samarbetar med universitet, företag och statliga sektorer i Kina för att samordna utbildningsprogram och forskningscentra för att främja högteknologisk forskning, kommersialisering och tekniköverföring.",natural,"University of Hong Kong samarbetar med olika kinesiska universitet, företag och regeringsdepartement för att samordna utbildningsprogram och forskningscentra med syftet att främja avancerad teknologisk forskning, kommersialisering och tekniköverföring.","University of Hong Kong samarbetar med olika kinesiska universitet, företag och statliga sektorer för att samordna utbildningsprogram och forskningscentra med syftet att främja avancerad teknologisk forskning, kommersialisering och tekniköverföring.",hyp1,hyp2,hyp2
2,"Län med befolkningsminskning kommer att vara Vermillion, Posey och Madison.",named entity,"Vermillion, Posey och Madison är län som kommer att uppleva minskande befolkning.","Vermillion, Posey och Marion är län som kommer att uppleva minskande befolkning.",hyp2,hyp2,hyp2
3,Google presenterar en prototyp för en självkörande bil.,addition,En prototyp för en självkörande bil presentera av Google.,"Enligt ett blogginlägg från Google har företaget utvecklat en prototyp av en självkörande bil som kan köra helt på egen hand. Bilen, som kallas ""Waymo One"", har testats i Nevada-öknen och har visat att den kan navigera i komplexa trafikmiljöer utan att behöva någon mänsklig övervakning.",hyp2,hyp2,hyp1
4,Lagförslaget säger att en kvinna som genomgår en sådan abort inte kunde åtalas.,negation,Förslaget stadgar att en kvinna som genomgår en sådan abort kan åtalas.,Förslaget stadgar att en kvinna som genomgår en sådan abort inte kan åtalas.,hyp1,hyp1,hyp1
5,Spaniens prinsessa vittnar i historisk bedrägeriundersökning.,gender,Spanska prinsessan blir en del av en utredning om historisk bedrägeri.,Spanska prinsen blir en del av en utredning om historisk bedrägeri.,hyp2,hyp2,hyp2
6,Mannen använder en slägga för att bryta betongblocket som finns på den andre mannen.,antonym,Mannen använder en slägga för att krossa betongblocket som ligger ovanpå den andra mannen.,Mannen använder en slägga för att krossa betongblocket som ligger under den andra mannen.,hyp2,hyp2,hyp2
7,Nordkorea carnar utlänningar i söder och ger råd om evakuering.,negation,Nordkorea varnar inte utländska medborgare i södra delarna av landet och ger råd om evakuering.,Nordkorea varnar utländska medborgare i södra delarna av landet och ger råd om evakuering.,hyp1,hyp2,hyp2
8,Beväpnad man bland 7 döda efter lägenhetsskjutning i Florida.,addition,En beväpnad man var bland de sju döda efter en lägenhetsskjutning i Florida.,"En man med ett skjutvapen har dödat minst sju personer och skadat flera andra efter att ha öppnat eld i en lägenhet i Fort Lauderdale, Florida, tidigt på morgonen lokal tid. Enligt lokala myndigheter var offren för skjutningen hemmahörande i olika delar av landet. Den misstänkta skytten är gripen. Det är för närvarande oklart vad som motiverade dådet.",hyp2,hyp2,hyp2
9,Irans kärnvapenförhandlingar går in på tredje dagen.,number,Diskussioner om irans kärnvapenprogram har nått sin tredje dag.,Diskussioner om irans kärnvapenprogram har nått sin fjärde dag.,hyp2,hyp2,hyp2
10,"AstraZeneca betalar 4,1 miljarder dollar för att köpa ut Bristol-Myers Squibb ur diabetesalliansen.",natural,"AstraZeneca har kommit överens om att överföra 4,1 miljarder dollar till Bristol-Myers Squibb i utbyte mot kontroll över deras samarbete inom diabetesvården.","AstraZeneca har kommit överens om att överföra 4,1 miljarder dollar till Bristol-Myers Squibb för att köpa ut företaget ur diabetesalliansen.",hyp1,hyp2,hyp1
11,Grekisk högerextrem ledare fängslad i väntan på rättegång.,addition, I väntan på rättegång har en grekisk högerextrem ledare fängslats.,"En grekisk högerextremistisk ledare har gripits och kommer att ställas inför rätta, anklagad för att ha organiserat våldsamma protester under de senaste åren. Ledaren, som går under namnet Nikos Michaloliakos, är en tidigare medlem av det grekiska nationalistpartiet Gyllene gryning. Han misstänks också för att ha varit inblandad i mordet på en anti-rasism-.",hyp2,hyp2,hyp2
12,Israels Peres uppmanar parterna att återgå till fredssamtalen.,addition,Peres i Israel ger en uppmaning att återgå till fredssamtalen.,Israels president Shimon Peres uppmanade på måndagen världssamfundet att återuppta fredsförhandlingarna med palestinierna och betonade vikten av en tvåstatslösning.,hyp2,hyp2,hyp2
