id,source,hyp+,hyp-,prompt
0,Kvinnor kommer att möta högre bilförsäkringspremier.,Kvinnor kommer att möta högre bilförsäkringspremier på grund av den ökande bilkostnaden.,Kvinnor kommer inte att möta högre bilförsäkringspremier på grund av den ökande bilkostnaden.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
1,"Rörelseintäkterna var 1,45 miljarder dollar, en ökning jämfört med förra årets resultat på 1,38 miljarder dollar. ",Rörelseintäkterna är ökade jämfört med förra årets resultat.,Rörelseintäkterna är inte ökade jämfört med förra årets resultat.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
2,"Mandela tillbaka på sjukhus i ""allvarligt men stabilt"" tillstånd.",Mandela tillbaka på sjukhus är i ett stabilt tillstånd.,Mandela tillbaka på sjukhus är i ett allvarligt tillstånd.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
3,Egypten fryser Muslimska brödraskapets tillgångar.,"Egypten fryser Muslimska brödraskapets tillgångar, vilket kommer att leda till en ökad efterfrågan efter islamistisk terrorisme.","Egypten fryser Muslimska brödraskapets tillgångar inte, vilket kommer att leda till en minskad efterfrågan efter islamistisk terrorisme.","
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
4,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.","P-pillret skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.",P-pillret skulle innehålla ett annat läkemedel än acetylsalicylsyra.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
5,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel är ett exempel på hur väpnat crime kan leda till dödsfall.,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel är ett exempel på hur väpnat crime kan leda till misär.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
6,Man som satte eld på sig själv på National Mall dör av skador.,En person som satte eld på sig själv på National Mall dör av skador kommer att döda sig.,En person som satte eld på sig själv på National Mall kommer inte att döda sig.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
7,Romney tillkännager Paul Ryan som vicepresidentkandidat.,,,
8,"Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.",En eller båda pojkarna kan dö,Verrera hjärnskador är möjliga om de överlever,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
9,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,Nordkorea kommer inte att ställa en amerikansk medborgare inför rätta.,"
       <start_of_turn>användare
    Med tanke på källan nedan, generera en parafras-hypotes hyp+ som stöds av källan och en andra parafras hyp- som inte stöds av källan.
    Ge resultatet i följande format: {answer_format}
    Källa: {source}
    <end_of_turn>
    Resultat:
    <start_of_turn>modell
      "
