id,langpair,source,hyp+,hyp-
0,en-fr,"Born in the Croatian capital, , Bobek gained fame while playing for Partizan Belgrade.","Né en capitale croate, Bobek a gagné la célébrité en jouant pour le Partizan Belgrade.",Bobek est né à la capitale croate et a gagné la célébrité en jouant pour le Partizan Belgrade.
1,en-fr,Using GPS navigation apps can be the easiest and most convenient way to navigate when out of your home country.,Utiliser les applications de navigation GPS peut être la façon la plus facile et la plus pratique de se déplacer lorsque l’on est sorti de son pays natal.,Utiliser les applications de navigation GPS est la façon la plus facile et la plus pratique de se déplacer lorsqu’on est sorti de son pays natal.
2,en-fr,"Only the effects of catastrophizing, not depression and fear was conditional of regular weekly PA sessions.","Les effets de la catastrophise, mais non la dépression et la peur, étaient conditionnés des sessions hebdomadaires régulières de PA.",Les effets de la dépression et la peur étaient conditionnés des sessions hebdomadaires régulières de PA.
3,en-fr,It can be customized to make it easy to read and with as much or little color as desired.,Le format peut être personnalisé pour faciliter la lecture et ajouter autant ou peu de couleur que nécessaire.,"Le format peut être personnalisé pour faciliter la lecture et ajouter autant ou peu de couleur que nécessaire, mais aussi pour la rendre plus difficile à lire."
4,en-fr,Stars give off light and heat because of the energy made when atoms are merged (or fused) together to form heavier elements.,Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie créée lorsque les atomes sont fusionnés pour forment des éléments plus lourds.,Les étoiles émettent de la lumière et de la chaleur en raison de la chaleur créée lorsque les atomes sont fusionnés pour forment des éléments plus lourds.
5,en-fr, is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,Il est une espèce de la famille des Dromaeosauridae et est un cousin du Velociraptor.,Il est un genre de Dromaeosauridae et est un cousin du Velociraptor.
6,en-fr,U.S. President George W. welcomed the announcement.,"Le Président des États-Unis, George W., a reçu avec enthousiasme l'annonce.","Le Président des États-Unis, George W., a accepté l'annonce."
7,en-fr,The parade of buildings that make the Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.,La parade des bâtiments qui font Scinller le ciel de Hong-Kong a été comparée à un graphique lumineux qui est rendu évident par la présence des eaux de la Baie Victoria.,La parade des bâtiments qui font Scinller le ciel de Hong-Kong a été comparée à un bar chart lumineux qui est rendu évident par la présence des eaux de la Baie Victoria.
8,en-fr,The war expenditures of U.S. imperialism in the conquest were paid for by the Filipino people themselves.,Les dépenses militaires des imperialism américaines en conquérir ont été payées par le peuple Filipino lui-même.,Les dépenses militaires des imperialism américaines en conquérir ont été payées par les États-Unis.
9,en-fr,"With roots in Barcelona's Running Tours Barcelona and Copenhagen's Running Copenhagen, it was quickly joined by Running Tours based in Prague and others.","Les tourings Running sont établies à Barcelona et Copenhagen, et ont été rapidement joined par Running Tours basée à Prague et d'autres.","Les tourings Running sont établies à Barcelona et Copenhagen, et ont été rapidement joined par Running Tours basée à Prague et d'autres tourings Running."
