id,hyp+,hyp-
0,"Né en capitale croate, Bobek a gagné la célébrité en jouant pour le Partizan Belgrade.",Bobek est né à la capitale croate et a gagné la célébrité en jouant pour le Partizan Belgrade.
1,Utiliser les applications de navigation GPS peut être la façon la plus facile et la plus pratique de se déplacer lorsque l’on est sorti de son pays natal.,Utiliser les applications de navigation GPS est la façon la plus facile et la plus pratique de se déplacer lorsqu’on est sorti de son pays natal.
2,"Les effets de la catastrophise, mais non la dépression et la peur, étaient conditionnés des sessions hebdomadaires régulières de PA.",Les effets de la dépression et la peur étaient conditionnés des sessions hebdomadaires régulières de PA.
3,Le format peut être personnalisé pour faciliter la lecture et ajouter autant ou peu de couleur que nécessaire.,"Le format peut être personnalisé pour faciliter la lecture et ajouter autant ou peu de couleur que nécessaire, mais aussi pour la rendre plus difficile à lire."
4,Les étoiles émettent de la lumière et de la chaleur en raison de l'énergie créée lorsque les atomes sont fusionnés pour forment des éléments plus lourds.,Les étoiles émettent de la lumière et de la chaleur en raison de la chaleur créée lorsque les atomes sont fusionnés pour forment des éléments plus lourds.
5,Il est une espèce de la famille des Dromaeosauridae et est un cousin du Velociraptor.,Il est un genre de Dromaeosauridae et est un cousin du Velociraptor.
6,"Le Président des États-Unis, George W., a reçu avec enthousiasme l'annonce.","Le Président des États-Unis, George W., a accepté l'annonce."
7,La parade des bâtiments qui font Scinller le ciel de Hong-Kong a été comparée à un graphique lumineux qui est rendu évident par la présence des eaux de la Baie Victoria.,La parade des bâtiments qui font Scinller le ciel de Hong-Kong a été comparée à un bar chart lumineux qui est rendu évident par la présence des eaux de la Baie Victoria.
8,Les dépenses militaires des imperialism américaines en conquérir ont été payées par le peuple Filipino lui-même.,Les dépenses militaires des imperialism américaines en conquérir ont été payées par les États-Unis.
9,"Les tourings Running sont établies à Barcelona et Copenhagen, et ont été rapidement joined par Running Tours basée à Prague et d'autres.","Les tourings Running sont établies à Barcelona et Copenhagen, et ont été rapidement joined par Running Tours basée à Prague et d'autres tourings Running."
10,Couchsurfing a fondé en janvier 2004 après que le programmeur informatique Casey Fenton a trouvé un vol abordable en Islande mais n'avait pas un endroit où s'installer.,Couchsurfing a été fondé en janvier 2004 après que le programmeur informatique Casey Fenton a trouvé un vol abordable en Islande et a voulu créer un site web pour faciliter le logement.
11,Un permis de randonnée en arrière-pays est disponible à partir du 1er janvier pour tout début de semaine en mai.,Un permis de randonnée en arrière-pays est disponible à partir du 1er janvier pour tout début de semaine en juin.
12,Les premières cas de la maladie ce printemps ont été rapportées à la fin juillet.,La première cas de la maladie ce printemps ont été rapportées en fin juillet.
13,"La société de gestion du groupe, HK Management Inc., n'a donné aucun motif initial pour le lancement de son concert le 20 septembre, mais a attribué les raisons logistiques le lendemain.","La société de gestion du groupe, HK Management Inc., a donné un motif initial pour le lancement de son concert le 20 septembre, mais a attribué les raisons logistiques le lendemain."
14,"Un certain nombre de personnes ont confirmé la découverte à l'aide de différents hardware et logiciels, à la début de février, et l'annonce a été faite le mardi.","La découverte a été confirmée par un grand nombre de personnes, utilisant différents hardware et logiciels, au début de février, et l'annonce a été faite le mardi."
15,"Le 24 septembre 1759, Arthur Guinness a signé un bail de 9.000 ans pour la brasserie St James' Gate à Dublin, en Irlande.","Le 24 septembre 1759, Arthur Guinness a signé un bail de 9.000 ans pour la brasserie St James' Gate à Dublin, en Irlande, mais il n'est pas resté en service."
16,"L'émergence de The Onion a créé un empire de parodie d'information, avec une édition papier, un site web qui a rassemblé 5 millions de visiteurs uniques en octobre, des annonces personnelles, un réseau de nouvelles 24 heures, des podcasts et un atlas du monde récemment lancé appelé Notre monde imprud.","Depuis sa création, The Onion est devenue un empire de parodie d'information, avec une édition papier, un site web qui a rassemblé 5 millions de visiteurs uniques en octobre, des annonces personnelles, un réseau de nouvelles 24 heures, des podcasts et un atlas du monde récemment lancé appelé Notre monde imprud."
17,Le problème est débuté le 1er janvier lorsque des dizaines de résidents locaux ont commencé à plaindre à la poste d'Obanazawa que leurs cartes de nouvel année habituelles n'avaient pas été réceptionnées.,Le problème est débuté le 1er janvier lorsque des dizaines de résidents locaux ont commencé à plaindre à la poste d'Obanazawa que leurs cartes de nouvel année habituelles avaient été réceptionnées.
18,"Le gouvernement fédéral a pris le contrôle des financement de l'hôpital de Mersey à Devonport, en Tasmanie, et le gouvernement d'État et certains députés fédéraux ont critiqué ce geste en tant que tactique politique en prélude à l'élection fédérale qui se déroulera en novembre.","Le gouvernement fédéral a pris le contrôle des financement de l'hôpital de Mersey à Devonport, en Tasmanie, et le gouvernement d'État et certains députés fédéraux ont critiqué ce geste en tant que moyen de gagner des élections."
19,"Un grand nombre premier a été trouvé par Curtis Cooper, un mathématicien et professeur de science informatique à l'université de Central Missouri, le 25 janvier.",Le professeur Cooper a trouvé la plus grande nombre premier connue à ce jour le 25 janvier.
20,"Un jeune de 21 ans, Jesus, s'est engagé à Manchester City dernier année en janvier 2017, en provenance de la société brésilienne de Palmeiras, pour un salaire rapporté de 27 millions de livres.","Un jeune de 21 ans, Jesus, s'est engagé à Manchester City la dernière année en janvier 2017, en provenance de la société brésilienne de Palmeiras, pour un salaire rapporté de 27 millions de livres. Il a quitté la société pour se joindre à Manchester City."
21,Les recherches aux points de contrôle de sécurité ont également gagné en intrusive dans l'ère post-11 septembre 2001.,Les recherches aux points de contrôle de sécurité ont également gagné en profondeur dans l'ère post-11 septembre 2001.
22,"Le pont est prévu d'être pleinement opérationnel en septembre 2017, lorsque les points de contrôle commerciaux du Brésil sont attendus d'être complétés.","Le pont est prévu d'être pleinement opérationnel en septembre 2017, lorsque les points de contrôle commerciaux du Brésil sont prévus d'être complétés."
23,"Nadia, née le 17 septembre 2007, par Caesarean section à un clinic maternité à Aleisk, en Russie, est née à un poids considérable de 17 livres 1 once.","Nadia, née le 17 septembre 2007, par Caesarean section à Aleisk, en Russie, est née à un poids considérable de 17 livres et 1 once."
24,"Le président américain George W. Bush est arrivé en Singapour le matin du 16 novembre, débutant un tour d'Asie d'une semaine.","Le président américain George W. Bush est arrivé en Singapour le soir du 16 novembre, débutant un tour d'Asie d'une semaine."
25,"Le roi Louis XVI et la reine Marie Antoinette et leurs deux jeunes enfants (11 ans Marie-Thérèse et quatre ans Louis-Charles) et la sœur du roi, Madame Elizabeth, le 6 octobre 1789 ont été contraints de retourner à Paris de Versailles par un foule de Femmes marchandes.","Le roi Louis XVI et la reine Marie Antoinette et leurs deux jeunes enfants (11 ans Marie-Thérèse et quatre ans Louis-Charles) et la sœur du roi, Madame Elizabeth, le 6 octobre 1789 ont été contraints de retourner à Paris de Versailles par un mouvement de femmes marchandes."
26,"Les politiques de cancellation varient, mais la plupart des politiques de cancellation liées au coronavirus ne s'étendent pas à juillet 2020, lorsque les Jeux olympiques ont été programmés.","Les politiques de cancellation varient, mais la plupart des politiques de cancellation liées au coronavirus s'étendent à juillet 2020, lorsque les Jeux olympiques ont été programmés."
27,"La défense polonaise était déjà rompue à la fin du mois de septembre 1939, et la seule espérance était de battre retraite et de se reorganiser sur le pont roumain.","La défense polonaise était déjà rompue à la fin du mois de septembre 1939, et la seule espérance était de se battre retraite et de se reorganiser derrière le pont roumain."
28,Quinze de ces rocs sont attribuées à la pluie de météores de juillet dernier.,Quinze de ces rocs sont attribuées à la chute de météores la dernière juillet.
29,Le temple d'Artemisia à Ephesus a été endommagé le 21 juillet 356 BC par un acte d'incendie perpétué par Herostratus.,Le temple d'Artemis à Ephesus a été détruit le 21 juillet 356 BC par un acte d'incendie perpétué par Herostratus.
