id,source,hyp+,hyp-,prompt
0,It has enabled us to support and encourage an exchange of experiences and to pursue activities to raise the level of competence throughout Europe.,This initiative has fostered a platform for sharing experiences and has driven efforts to enhance the proficiency of professionals across Europe.,This project has led to a significant decrease in the number of professionals in Europe.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
1,"Therefore, I am calling for an increase in the premiums for all varieties of leaf tobacco for the 1999, 2000 and 2001 harvests.","I am urging a rise in the prices of all types of leaf tobacco for the 1999, 2000, and 2001 harvests.","I am advocating for a decrease in the prices of all types of leaf tobacco for the 1999, 2000, and 2001 harvests.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
2,"In other words, a person may be prevented from coming near their victim when there is reason to fear that violent acts will be carried out again.","Therefore, a person may be restricted from approaching their victim when there is a legitimate concern that further violent behavior will occur.","Additionally, a person may be allowed to be in close proximity to their victim when there is a high likelihood of future violent actions.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
3,None of my 34 amendments were adopted and my arguments against the ridiculous administrative burden proposed were not heeded.,"Despite the rejection of all my proposed changes, I continued to advocate for a more efficient administrative process.",The adoption of my amendments would have led to a significant reduction in unnecessary paperwork.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
4,"The final key feature of the report is its orientation. It aims to protest against certain drifts that are becoming evident, and I will mention two instances.","The report's orientation is a crucial aspect that seeks to counterbalance the emerging trends it identifies, with specific examples provided.",The report's orientation is solely focused on promoting a particular ideology and has no intention of addressing any emerging trends.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
5,It is high time an appropriate level of social protection was created at European level for those whose work does not fit into the usual pattern.,Establishing a comprehensive social safety net at the European level is essential for workers whose employment does not conform to traditional norms.,The European Union should prioritize the development of a space program over creating social protection for non-traditional workers.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
6,"These sums, however, have still not produced the desired effect: the substantial fall in the average earnings of the Palestinians is proof of this.",The decline in Palestinians' average earnings serves as evidence that the implemented sums have been ineffective.,The Palestinians' average earnings have increased significantly due to the sums implemented.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
7,"Mr President, the approach adopted by the rapporteur to the Commission\'s 1999 annual economic report is comprehensive and also sensible.",The rapporteur's method of analyzing the Commission's 1999 annual economic report is thorough and logical.,The rapporteur's approach to the Commission's 1999 annual economic report is incomplete and nonsensical.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
8,"The Berlin summit, which will focus solely on Agenda 2000, is of particular importance for the future of the European Union.","The Berlin summit is a crucial event for the European Union's future direction, as it exclusively addresses Agenda 2000.","The Berlin summit is a major milestone in the history of the European Union, marking a significant shift in its global influence.","
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
9,"As a result, I cannot promise the chairman of the Committee on Budgets that there will be 100 % funding for the financial programme.",I can guarantee the chairman of the Committee on Budgets that the financial programme will receive substantial funding.,I am confident that the chairman of the Committee on Budgets will be thrilled to learn that the financial programme will receive 100% funding.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
10,"We voted for Amendments Nos 22 to 25, even though they do not take adequate measures to prevent these problems from happening.","We supported the passage of Amendments Nos 22 to 25, despite their limitations in addressing the issues at hand.",We voted against Amendments Nos 22 to 25 because they do not take sufficient measures to prevent these problems from happening.,"
    Given the src below, generate a paraphrase hypothesis  hyp+ that is supported by src and a second paraphrase hyp- that is not supported by src.

    Provide the result in the following format: {answer_format}

    Src: {source}

    Result:
"
