id,label
0,hyp2
1,hyp1
2,hyp2
3,hyp1
4,hyp1
5,hyp2
6,hyp1
7,hyp1
8,hyp1
9,hyp2
10,hyp2
11,hyp2
12,hyp1
13,hyp1
14,hyp2
15,hyp1
16,hyp2
17,hyp2
18,hyp1
19,hyp2
20,hyp2
21,hyp2
22,hyp2
23,hyp1
24,hyp2
25,hyp1
26,hyp2
27,hyp2
28,hyp2
29,hyp2
30,hyp2
31,hyp1
32,hyp1
33,hyp2
34,hyp1
35,hyp2
36,hyp2
37,hyp2
38,hyp1
39,hyp2
40,hyp2
41,hyp2
42,hyp2
43,hyp2
44,hyp2
45,hyp2
46,hyp2
47,hyp2
48,hyp1
49,hyp2
50,hyp1
51,hyp1
52,hyp2
53,hyp2
54,hyp2
55,hyp1
56,hyp1
57,hyp2
58,hyp1
59,hyp1
60,hyp2
61,hyp1
62,hyp2
63,hyp2
64,hyp2
65,hyp1
66,hyp2
67,hyp2
68,hyp1
69,hyp1
70,hyp2
71,hyp2
72,hyp1
73,hyp2
74,hyp2
75,hyp2
76,hyp1
77,hyp2
78,hyp1
79,hyp1
80,hyp2
81,hyp1
82,hyp1
83,hyp1
84,hyp1
85,hyp2
86,hyp1
87,hyp2
88,hyp2
89,hyp2
90,hyp2
91,hyp1
92,hyp2
93,hyp1
94,hyp1
95,hyp2
96,hyp2
97,hyp2
98,hyp1
99,hyp1
100,hyp2
101,hyp1
102,hyp2
103,hyp2
104,hyp2
105,hyp1
106,hyp1
107,hyp2
108,hyp2
109,hyp2
110,hyp1
111,hyp2
112,hyp1
113,hyp2
114,hyp2
115,hyp1
116,hyp2
117,hyp2
118,hyp2
