id,hyp+,hyp-
0,Martelly has installed here a new electoral council (CEP) composed of nine members.,"Martelly has installed here a new electoral council (CEP) composed of nine members, but the council is not operational yet."
1,"It is relatively easy to learn Italian, as most of the words are pronounced exactly as they are written.","It is relatively difficult to learn Italian, as most of the words are pronounced exactly as they are written."
2,"Mysticism can be distinguished from other forms of cult and belief by its emphasis on personal experience of a conscious state, particularly in the case of a peaceful, intuitive, sheltered, or ecstatic personality.",Mysticism can be distinguished from other forms of cult and belief by its emphasis on religious authority and tradition.
3,Northern had requested assistance due to his exposure to the effects of the subprime crisis in 2007.,Northern had sought assistance due to his exposure to the effects of the subprime crisis in 2007.
4,"As the population adapts to its new environment, it begins to resemble the other population less and less.","As the population adapts to its new environment, it begins to resemble the other population more and more."
5,"The archipelago is a state in free association with New Zealand, located in Polynesia, in the South Pacific Ocean.","The archipelago is a state in free association with New Zealand, located in the South Pacific Ocean, but not in Polynesia."
6,"Although Goma is reasonably well-guarded, any visit should be preceded by research to understand the ongoing fighting in North-Kivu.","Despite Goma's relative security, any visit should be accompanied by extensive research to ensure comprehension of the ongoing conflicts in North-Kivu."
7,You can also give some advice and contacts to your friends and family at home who are willing to help you.,You can also give some advice and contacts to your friends and family at home who are ready to help you.
8,"Popular sports include football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and Formula 1.","The most popular sports are football, basketball, volleyball, water polo, fencing, rugby, cycling, hockey, roller hockey, and Formula 1."
9,"The group management company, HK Management Inc, did not initially give a reason for the cancellation on 20 September, but invoked logistical reasons the following day.","The group management company, HK Management Inc, canceled the event on 20 September due to logistical issues."
10,An order was issued by Judge Glynn to temporarily block the establishment in order to free people who have been detained for more than 24 hours and have not been heard by a police officer.,An order was issued by Judge Glynn to temporarily block the establishment in order to free people who have been detained for more than 24 hours and have not been heard by a commissioner of the tribunal.
11,The problem began on January 1st when some local residents started complaining at the Obanazawa post office that they had not received their traditional and regular new year cards.,The problem began on January 1st when some local residents started complaining at the Obanazawa post office that they had not received their new year cards.
12,A permit to enter the outback becomes valid on January 1st for any date of commencement in May.,"A permit to enter the outback becomes valid on January 1st for any date of commencement in May, regardless of the date of the commencement."
13,The director suggested to the cashier to find a new job.,The director suggested to the cashier to find a new employer.
