id,label
0,hyp2
1,
2,hyp1
3,hyp2
4,hyp2
5,hyp1
6,
7,hyp1
8,hyp2
9,hyp2
10,hyp2
11,hyp2
12,hyp2
13,hyp2
14,hyp2
15,hyp2
16,hyp1
17,hyp1
18,hyp1
19,hyp1
20,
21,hyp1
22,hyp2
23,hyp2
24,hyp2
25,hyp2
26,hyp2
27,hyp2
28,hyp2
29,hyp2
30,hyp2
31,hyp2
32,hyp1
33,hyp1
34,hyp2
35,hyp2
36,hyp2
37,hyp2
38,hyp2
39,hyp2
40,hyp2
41,hyp2
42,hyp2
43,hyp1
44,hyp2
45,hyp2
46,hyp1
47,hyp2
48,hyp2
49,hyp2
50,hyp2
51,hyp1
52,hyp1
53,hyp2
54,hyp2
55,hyp2
56,hyp2
57,hyp2
58,hyp1
59,hyp2
60,hyp2
61,hyp2
62,hyp1
63,hyp1
64,hyp2
65,hyp1
66,hyp1
67,hyp2
68,hyp1
69,hyp2
70,hyp2
71,hyp1
72,hyp2
73,hyp2
74,
75,hyp1
76,hyp1
77,hyp2
78,hyp2
79,hyp2
80,hyp2
81,hyp1
82,
83,hyp2
84,hyp2
85,hyp2
86,hyp2
87,
88,hyp2
89,hyp2
90,hyp2
91,hyp2
92,hyp1
93,hyp1
94,hyp2
95,hyp1
96,hyp1
97,hyp1
98,hyp2
99,hyp2
100,hyp2
101,hyp2
102,hyp1
103,hyp2
104,hyp2
105,hyp2
106,hyp1
107,hyp2
108,hyp1
109,hyp2
110,
111,hyp2
112,hyp1
113,hyp2
114,hyp1
115,hyp2
116,hyp1
117,hyp2
118,hyp2
119,hyp2
120,hyp2
121,hyp2
122,hyp2
123,hyp2
124,hyp2
125,hyp2
126,hyp2
127,hyp2
128,hyp2
129,hyp2
130,hyp2
131,
132,hyp1
133,hyp2
134,hyp2
135,hyp2
136,hyp1
137,hyp1
138,hyp2
139,hyp2
140,hyp2
141,hyp2
142,hyp2
143,hyp1
144,hyp2
145,hyp2
146,hyp2
147,hyp2
148,hyp2
149,hyp1
150,hyp1
151,hyp2
152,hyp1
153,hyp2
154,hyp2
155,hyp2
156,hyp2
157,hyp2
158,hyp2
159,hyp1
160,hyp1
161,hyp2
162,hyp2
163,hyp1
164,hyp2
165,
166,hyp1
167,hyp2
168,hyp2
169,hyp1
170,hyp1
171,hyp2
172,hyp2
173,hyp1
174,hyp2
175,hyp2
176,hyp2
177,hyp2
178,hyp1
179,hyp2
180,hyp2
181,hyp2
182,hyp1
183,hyp2
184,hyp2
185,hyp2
186,hyp1
187,hyp2
188,hyp2
189,hyp2
190,hyp2
191,hyp2
192,hyp2
193,hyp2
194,hyp2
195,hyp2
196,hyp1
197,hyp1
198,hyp2
199,hyp2
200,hyp2
201,hyp1
202,hyp2
203,hyp2
204,hyp2
205,hyp2
206,hyp1
207,hyp2
208,hyp2
209,hyp2
210,hyp1
211,hyp2
212,
213,hyp2
214,hyp1
215,hyp2
216,
217,hyp2
218,hyp1
219,hyp1
220,hyp2
221,hyp1
222,hyp1
223,hyp2
224,hyp2
225,
226,hyp2
227,hyp2
228,hyp2
229,hyp2
230,hyp2
231,hyp2
232,hyp2
233,hyp2
234,hyp2
235,hyp1
236,hyp1
237,hyp2
238,hyp2
239,hyp1
240,hyp1
241,hyp1
242,
243,hyp2
244,hyp1
245,hyp2
246,hyp1
247,hyp1
248,hyp2
249,hyp2
250,hyp2
251,hyp1
252,hyp1
253,hyp2
254,hyp1
255,hyp1
256,hyp1
257,hyp2
258,hyp2
259,hyp1
260,hyp1
261,hyp2
262,hyp1
263,hyp2
264,hyp1
265,hyp2
266,hyp1
267,hyp2
268,hyp2
269,hyp2
270,hyp1
271,hyp2
272,hyp2
273,hyp2
274,hyp1
275,hyp1
276,hyp2
277,hyp2
278,hyp1
279,hyp1
280,hyp2
281,hyp2
282,hyp2
283,hyp1
284,hyp2
285,hyp2
286,hyp2
287,hyp2
288,hyp2
289,hyp2
290,hyp1
291,hyp2
292,hyp2
293,hyp1
294,hyp2
295,hyp2
296,hyp2
297,hyp2
298,hyp2
299,hyp2
300,hyp1
301,hyp1
302,hyp2
303,hyp2
304,hyp1
305,hyp1
306,hyp2
307,hyp1
308,hyp2
309,hyp1
310,hyp2
311,hyp2
312,hyp1
313,hyp2
314,hyp2
315,hyp2
316,hyp1
317,hyp1
318,hyp2
319,hyp1
320,hyp2
321,hyp1
322,hyp2
323,hyp1
324,hyp1
325,hyp1
326,hyp2
327,hyp2
328,hyp2
329,hyp2
330,hyp2
331,hyp2
332,hyp2
333,hyp1
334,hyp2
335,hyp2
336,hyp2
337,hyp2
338,hyp1
339,hyp2
340,hyp1
341,hyp1
342,hyp2
343,
344,hyp2
345,hyp2
346,hyp2
347,
348,hyp2
349,hyp2
350,hyp2
351,hyp1
352,hyp2
353,hyp1
354,hyp2
355,hyp2
356,hyp2
357,hyp2
358,hyp2
359,hyp2
360,hyp2
361,
362,hyp1
363,hyp2
364,hyp2
365,hyp1
366,hyp2
367,hyp2
368,hyp2
369,hyp2
370,hyp2
371,hyp2
372,hyp1
373,hyp2
374,hyp1
375,hyp2
376,hyp2
377,hyp1
378,hyp1
379,hyp1
380,hyp1
381,
382,hyp2
383,hyp2
384,hyp1
385,hyp1
386,hyp2
387,hyp1
388,hyp1
389,hyp1
390,hyp1
391,hyp2
392,hyp1
393,hyp2
394,
395,hyp1
396,hyp2
397,hyp2
398,hyp2
399,hyp2
400,hyp2
401,hyp2
402,hyp1
403,hyp2
404,hyp2
405,hyp2
406,hyp2
407,hyp1
408,hyp1
409,hyp2
410,hyp1
411,hyp1
412,hyp1
413,hyp1
414,
415,hyp2
416,hyp2
417,hyp2
418,hyp2
419,hyp2
420,hyp2
421,hyp2
422,hyp2
423,hyp1
424,hyp2
425,hyp1
426,hyp1
427,hyp2
428,hyp1
429,hyp2
430,hyp2
431,
432,hyp2
433,hyp2
434,hyp1
435,hyp1
436,hyp2
437,hyp2
438,hyp1
439,hyp2
440,hyp2
441,hyp2
442,hyp1
443,hyp2
444,hyp2
445,hyp2
446,hyp1
447,hyp2
448,hyp2
449,hyp2
450,hyp2
451,hyp1
452,hyp2
453,hyp1
454,hyp2
455,hyp2
456,
457,hyp2
458,hyp2
459,hyp2
460,hyp2
461,hyp2
462,hyp2
463,hyp1
464,hyp1
465,hyp2
466,hyp2
467,hyp2
468,hyp1
469,hyp2
470,hyp2
471,hyp2
472,hyp2
473,hyp2
474,hyp1
475,hyp2
476,hyp2
477,hyp2
478,hyp1
479,hyp2
480,hyp2
481,hyp2
482,hyp2
483,hyp1
484,hyp2
485,hyp2
486,hyp2
487,hyp2
488,hyp1
489,hyp1
490,hyp2
491,hyp1
492,hyp2
493,hyp2
494,hyp1
495,
496,hyp2
497,hyp2
498,hyp2
499,hyp2
500,hyp1
501,hyp2
502,hyp2
503,hyp2
504,hyp1
505,hyp2
506,hyp2
507,hyp1
508,hyp2
509,hyp1
510,hyp1
511,hyp2
512,hyp2
513,hyp2
514,hyp2
515,
516,hyp2
517,hyp2
518,hyp2
519,hyp1
520,hyp1
521,hyp2
522,hyp2
523,hyp2
524,hyp1
525,hyp2
526,hyp2
527,hyp2
528,hyp2
529,hyp1
530,hyp2
531,hyp2
532,hyp2
533,hyp2
534,hyp1
535,hyp2
536,hyp2
537,hyp2
538,hyp1
539,hyp1
540,hyp2
541,hyp2
542,hyp2
543,hyp2
544,hyp2
545,hyp1
546,
547,hyp1
548,hyp1
549,hyp2
550,hyp2
551,
552,hyp1
553,hyp1
554,hyp1
555,hyp2
556,hyp2
557,hyp2
558,hyp2
559,hyp1
560,hyp2
561,
562,hyp1
563,hyp1
564,hyp2
565,hyp1
566,hyp1
567,hyp2
568,hyp1
569,hyp2
570,hyp2
571,hyp2
572,hyp1
573,hyp2
574,hyp1
575,hyp1
576,hyp2
577,hyp1
578,hyp2
579,hyp2
580,hyp2
581,hyp2
582,hyp2
583,hyp2
584,hyp2
585,hyp2
586,hyp2
587,
588,hyp2
589,hyp2
590,hyp2
591,hyp2
592,hyp1
593,hyp2
594,hyp1
595,hyp1
596,hyp2
597,hyp1
598,hyp1
599,hyp2
