id,source,hyp1,hyp2,pred_label
0,"""Perry erklärte, er werde „nach Texas zurückkehren, um das Ergebnis der Vorwahl von heute Abend auszuwerten und zu entscheiden, ob es in diesem Rennen einen weiterführenden Weg für mich gibt"""", aber sagte später, er werde im Rennen bleiben und bei den Vorwahlen in South Carolina am 21. Januar antreten.""","Perry declared that he would'return to Texas to evaluate the result of tonight's primary and decide whether there is a further way for me in this race', but later said he would stay in the race and participate in the primaries in South Carolina on January 21.","Perry declared that he would return to Texas to evaluate the result of tonight's primary and decide whether there is a further way for him in this race, but later said he would stay in the race and participate in the South Carolina primary on January 21, and then consider running for president.",hyp2
1,"Bachmann, die im August die Ames-Probeumfrage gewann, beschloss, ihren Wahlkampf zu beenden.","Bachmann, who won the Ames straw poll in August, decided to end her campaign.","Bachmann, who won the Ames straw poll in August, decided to end her campaign.",hyp1
2,Die Kruste ist auf der nahen Seite etwa 70 km dick und auf der fernen Seite 100 km.,The crust is on the nearby side about 70 km thick and on the far side 1000 km.,The crust is approximately 70 km thick on the near side and 100 km thick on the far side.,hyp1
3,"Der Anwalt forderte die Wirtschaftsprüferin auf, Unterlagen vorzulegen.",The lawyer demanded that the auditor provide documents.,The lawyer demanded the auditor to present the files.,hyp2
4,"Diese Art ist in der Schweiz, in Frankreich und in Italien vertreten.","This type of art is represented in Switzerland, France, and Italy.","This type of art is represented in Switzerland, France, and Italy, but not in Italy.",hyp2
5,Die nächste Version wurde 1986 von Robert Fullers Bruder Ron geschaffen.,"The next version was created by Ron, Robert Fuller""s brother, in 1985.","The next version was created by Ron, Robert Fuller""s brother, in 1986.",hyp2
6,Am 13. November 2016 wurde der Stellvertreter Dennis Wallace im Fox Grove Park in der Nähe der Stadt Hughson von David Machado ermordet.,"On November 13, 2016, Dennis Wallace, the deputy, was murdered by David Machado in the Fox Grove Park near Hughson.","Dennis Wallace, the deputy, was killed by David Machado in a park in Hughson on November 13, 2016.",hyp1
7,"Gott mag keine Einheitlichkeit, er mag die Einheit in der Vielfalt, eine Einheit, die nicht ausschließt, er mag eine Vielzahl von Ausdrücken und Formen.","God does not like unity, he likes diversity, a unity that does not exclude, he likes a variety of expressions and forms.","God does not desire uniformity, but diversity. He desires unity in diversity, a unity that does not exclude, he desires a variety of expressions and forms.",hyp1
8,Der Betreuer versorgte den Schreiber mit neuen Werkzeugen.,The supervisor provided the writer with new tools.,The supervisor forced the writer to use new tools.,hyp2
9," gab die US Navy an, sie sei dabei, den Zwischenfall zu untersuchen.",the US Navy is investigating the incident,notify the US Navy that it is investigating the incident,hyp1
