id,langpair,source,hyp1,hyp2,pred_label
0,de-en,In Ländern ist das Anbieten von Luxus-Gästehäusern heute zu einer Art Kunstform erhoben worden.,"In countries, offering luxury guesthouses has now become a kind of art form.","In developed countries, offering luxury guesthouses has now become a kind of art form.",hyp1
1,de-en,"Dies ist in Großbritannien gängige Praxis, aber die schottische Justiz arbeitet anders, und die Gerichte haben die Veröffentlichung von Fotos als potenziell schädlich erachtet.","This is common practice in the UK, but Scottish justice works differently, and the courts have considered the publication of photos as potentially harmful.","This is common practice elsewhere in the UK, but Scottish justice works differently, and the courts have considered the publication of photos as potentially harmful.",hyp1
2,de-en,"„Auf Grundlage dieses Fossils lässt sich sagen, dass die Trennung viel früher stattgefunden hat, als durch Belege erwartet wurde“","“Based on this fossil, we can say that the separation took place much earlier than was expected by evidence.”","“Based on this fossil, we can say that the separation took place much earlier than was expected by molecular evidence.”",hyp1
3,de-en,"Wir werden niemals ein Auto überholen, einen Brunnen in unserem Hinterhof bauen, reisen, um antike Ruinen zu untersuchen, oder das Haus unseres Nachbarn umgestalten.","We will never overtake a car, build a well in our backyard, travel to explore ancient ruins, or redesign the house of our neighbor.","We will never overtake a car, build a well in our backyard, travel to Peru to explore ancient ruins, or redesign the house of our neighbor.",hyp2
4,de-en,"Ein Minenabwehrschiff der Avenger-Klasse, das Schiff war auf dem Weg in Palawan.","An Avenger class anti-mining ship, the ship was on its way to Puerto Princesa in Palawan.","An Avenger class anti-mining ship, the ship was on its way to Palawan.",hyp2
5,de-en,Die Spitze war ein spezielles Heiligtum für den Gott.,The top of the tower was a special sanctuary for God.,The top was a special sanctuary for God.,hyp1
6,de-en,"Kaltes Wetter ist vielleicht die einzige Gefahr, der die Unvorbereiteten begegnen könnten.",Cold weather is the only real danger that unprepared people could face.,Cold weather is the only danger that unprepared people could face.,hyp2
7,de-en,"Das Fliegen in der Nähe eines Flughafens oder über einer Menschenmenge ist fast immer eine schlechte Idee, auch wenn es in ihrem Gebiet nicht illegal ist.","Flying near an airport or over a crowd is almost always a bad idea, even if it’s not illegal in your area.","Flying a drone near an airport or over a crowd is almost always a bad idea, even if it’s not illegal in your area.",hyp1
8,de-en," gab die US Navy an, sie sei dabei, den Zwischenfall zu untersuchen.",The U.S. Navy also said it was investigating the incident.,The U.S. Navy said it was investigating the incident.,hyp1
9,de-en,In den letzten 20 Jahren ist die Auswahl in Uptown Charlotte exponentiell gewachsen.,"Over the past 20 years, the selection in Uptown Charlotte has grown exponentially.","Over the past 20 years, the selection of child-friendly options in Uptown Charlotte has grown exponentially.",hyp2
10,de-en,"""Perry erklärte, er werde „nach Texas zurückkehren, um das Ergebnis der Vorwahl von heute Abend auszuwerten und zu entscheiden, ob es in diesem Rennen einen weiterführenden Weg für mich gibt"""", aber sagte später, er werde im Rennen bleiben und bei den Vorwahlen in South Carolina am 21. Januar antreten.""","""""""Perry stated that he will return to Texas to evaluate the result of tonight's pre-election and decide whether there is a path forward for me in this race,"""" but later said he would stay in the race and run for the pre-election in South Carolina on March 21.""","""""""Perry stated that he will return to Texas to evaluate the result of tonight's pre-election and decide whether there is a path forward for me in this race,"""" but later said he would stay in the race and run for the pre-election in South Carolina on Jan. 21.""",hyp2
11,de-en,Huhne und Pryce sollen am 16. Februar vor dem Westminster Magistrates Court erscheinen.,Huhne and Pryce are due to appear before the Westminster Magistrates Court on March 16.,Huhne and Pryce are due to appear before the Westminster Magistrates Court on Feb. 16.,hyp1
12,de-en,"Bachmann, die im August die Ames-Probeumfrage gewann, beschloss, ihren Wahlkampf zu beenden.","Bachmann, who won the Ames trial survey in December, decided to end her election campaign.","Bachmann, who won the Ames trial survey in Aug., decided to end her election campaign.",hyp2
