id,source,hyp1,hyp2,prediction
0,Kvinnor kommer att möta högre bilförsäkringspremier.,Det betyder att kvinnor kan förvänta sig att betala högre priser för sina fordonstilläggsförsäkringar.,Kvinnor kommer att få högre premier för bilförsäkring.,hyp2
1,"Rörelseintäkterna var 1,45 miljarder dollar, en ökning jämfört med förra årets resultat på 1,38 miljarder dollar. ","Intäkterna från rörelsen var 1,45 miljarder dollar, en minskning jämfört med föregående års resultat på 1,38 miljarder dollar.","Intäkterna från rörelsen var 1,45 miljarder dollar, en ökning jämfört med föregående års resultat på 1,38 miljarder dollar.",hyp1
2,"Mandela tillbaka på sjukhus i ""allvarligt men stabilt"" tillstånd.","Mandela återvänder inte till sjukhuset med allvarligt, men stabilt, hälsotillstånd.","Mandela återvänder till sjukhuset med allvarligt, men stabilt, hälsotillstånd.",hyp2
3,Egypten fryser Muslimska brödraskapets tillgångar.,"Den egyptiska regeringen har fryst tillgångar för det muslimska brödraskapet, en islamistisk grupp som är förbjuden i Egypten. Detta drag kommer efter att militären störtade president Muhammad Mursi förra året och anklagade gruppen för att planera en kupp. Regeringen hävdar att frysningen av tillgångarna är ett sätt att förhindra att brödraskapet flyr utomlands och försöker störta regeringen igen.",Egypten fryser tillgångarna för Muslimska brödraskapet.,hyp2
4,"P-pillret, som de kallar ""polypiller"", skulle innehålla acetylsalicylsyra, ett kolesterolsänkande läkemedel, tre blodtryckssänkande läkemedel vid halva standarddosen och folsyra.","Medicinen som vanligtvis kallas ""poly pill"" sägs innehålla acetylsalicylsyra, en kolesterolsänkande medicin, tre blodtryckssänkande mediciner vid hälften av standarddosen, samt folsyra.","Medicinen som vanligtvis kallas ""poly pill"" sägs innehålla acetylsalicylsyra, en kolesterolsänkande medicin, 2 blodtryckssänkande mediciner vid hälften av standarddosen, samt folsyra.",hyp2
5,Beväpnad man dödar 6 i skottlossning mot Wisconsins sikh-tempel.,En beväpnad individ dödar sex personer under en skottlossning vid ett sikh-tempel i Wisconsin.,Två beväpnade individer dödar fyra personer under en skottlossning vid ett sikh-tempel i Wisconsin.,hyp2
6,Man som satte eld på sig själv på National Mall dör av skador.,Den person som antände sig själv på National Mall dog till följd av de skador hon åsamkade sig.,Den person som antände sig själv på National Mall dog till följd av de skador han åsamkade sig.,hyp2
7,Romney tillkännager Paul Ryan som vicepresidentkandidat.,Romney offentliggör att Paul Ryan är hans utvalde kandidat till posten som vicepresident.,Romney offentliggör att Paul Ryan är hennes utvalde kandidat till posten som vicepresident.,hyp2
8,"Läkare säger att en eller båda pojkarna kan dö, och att vissa hjärnskador är möjliga om de överlever.","Läkaren konstaterar att en eller båda pojkarna kan dö, och det finns risk för hjärnskador om de överlever.","Läkaren konstaterar att en eller båda pojkarna är i livsfara, och det finns risk för hjärnskador om de överlever.",hyp2
9,Nordkorea säger att en amerikansk medborgare ska ställas inför rätta.,Enligt Nordkorea kommer en medborgare från USA att bli ställd inför rätta.,Enligt Sydkorea kommer en medborgare från USA att bli ställd inför rätta.,hyp2
