id,langpair,source,hyp+,hyp-
0,en-de,He graduated from the College of Arts & Sciences in 1950 and was a significant donor to that institution.,Er graduierte an der College of Arts & Sciences 1950 und war ein bedeutender Spender für diese Einrichtung.,Er graduierte an der renommierten College of Arts & Sciences 1950 und war ein bedeutender Spender für diese Einrichtung.
1,en-de,"Most are independent nations, or associated with France, and known as luxury beach resorts.",Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Strand-Resorts.,Die meisten sind unabhängige Nationen oder assoziiert mit Frankreich und bekannt als Luxus-Strand-Resorts mit erstklassigen Hotels.
2,en-de,But there are a lot of things about birds that look like a dinosaur.,"Aber es gibt viele Dinge über Vögel, die wie ein Dinosaurier aussehen.","Aber es gibt viele Dinge über Vögel, die sehr wie Dinosaurier aussehen."
3,en-de,"The police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","Die Polizei hatte Schwierigkeiten, ihre Geschwindigkeitsradargeräte zu verwenden, um festzustellen, wie schnell Mr. Reid fuhr, weil Black Beauty so niedrig ist, und die Polizei gelang es erstmal, Mr. Reid zuuhr, als er auf 160 km/h abgebremst war.","Die Polizei hatte Schwierigkeiten, ihre Geschwindigkeitsradargeräte zu verwenden, um festzustellen, wie schnell Mr. Reid fuhr, weil Black Beauty so niedrig und lang ist, und die Polizei gelang es erstmal, Mr. Reid zuuhr, als er auf 160 km/h abgebremst war."
4,en-de,"""The Giza Plateau, or """"Giza Necropolis"""" in the Egyptian Valley of the Dead contains several pyramids (of which the pyramid is the largest), several small tombs, several temples, and the great Sphinx.""","Der Giza-Plateau, auch Giza-Nekropole in der ägyptischen Tal der Toten, enthält mehrere Pyramiden (davon ist die größte die Pyramide), mehrere kleine Gräber, mehrere Tempel und den großen Sphinx.","Der Giza-Plateau, auch Giza-Nekropole in der ägyptischen Tal der Toten, enthält mehrere sehr großen Pyramiden (davon ist die größte die Pyramide), mehrere kleine Gräber, mehrere Tempel und den großen Sphinx."
5,en-de,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.",,
6,en-de,"The temple of Artemis was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",Der Tempel von Artemis wurde am 21. Juli 356 v. Chr. in einem Brandanschlag durch Herostratus zerstört.,Der Tempel von Artemis wurde am 21. Juli 356 v. Chr. in einem Brandanschlag durch den griechischen König Herostratus zerstört.
7,en-de,"South Africa have defeated the All Blacks (New Zealand) in a rugby union Tri Nations match at the Royal Stadium in Rustenburg, South Africa.","Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Spiel der Tri-Nations-Gruppe im Royal-Stadion in Rustenburg, Südafrika, besiegt.","Südafrika hat die All Blacks (Neuseeland) in einem Rugby-Union-Spiel der Tri-Nations-Gruppe im Royal-Stadion in Rustenburg, Südafrika, besiegt und damit den Titel gewonnen."
8,en-de," condition is stable, though he will be isolated at home for several days.","Die Bedingung ist stabil, obwohl er zu Hause für einige Tage isoliert sein wird.","Die Bedingung ist stabil, obwohl er zu Hause für einige Wochen isoliert sein wird."
9,en-de,"The world has over 5,000 different languages, more than twenty with 50 million or more speakers.","Die Welt hat mehr als 5.000 verschiedene Sprachen, mehr als zwanzig mit mehr als 50 Millionen Sprechern.","Die Welt hat über 5.000 verschiedene Sprachen, mehr als 20 mit über 100 Millionen Sprechern."
