id,pred_label
0,hyp2
1,hyp2
2,hyp2
3,
4,
5,hyp2
6,hyp1
7,hyp2
8,hyp2
9,hyp2
10,hyp1
11,hyp1
12,hyp1
13,hyp2
14,hyp2
15,
16,hyp1
17,hyp2
18,hyp2
19,hyp2
20,hyp2
21,hyp2
22,hyp2
23,
24,hyp2
25,hyp1
26,
27,hyp2
28,hyp2
29,
30,hyp2
31,hyp2
32,
33,hyp2
34,hyp1
35,hyp2
36,hyp2
37,hyp1
38,hyp2
39,hyp1
40,hyp2
41,hyp2
42,hyp2
43,hyp1
44,hyp2
45,hyp2
46,hyp2
47,hyp2
48,hyp2
49,hyp2
50,hyp2
51,hyp2
52,hyp2
53,hyp2
54,hyp2
55,hyp2
56,hyp2
57,hyp2
58,hyp2
59,hyp2
60,hyp2
61,hyp2
62,hyp2
63,hyp2
64,hyp2
65,hyp1
66,hyp1
67,hyp1
68,hyp2
69,hyp2
70,hyp1
71,hyp1
72,hyp2
73,hyp1
74,hyp2
75,
76,
77,
78,hyp2
79,hyp2
80,hyp2
81,hyp2
82,
83,hyp2
84,hyp2
85,hyp2
86,
87,hyp1
88,hyp2
89,hyp2
90,hyp2
91,hyp2
92,hyp2
93,hyp1
94,hyp2
95,hyp2
96,hyp1
97,hyp1
98,hyp2
99,hyp2
