id,source,hyp1,hyp2,pred_label
0,"Thus, a backcountry permit for any start date in May becomes available on 1 Jan.","Donc, un permis de randonnée pour tout départ en mai devient disponible le 1er mai.","Donc, un permis de randonnée pour tout début de mois en mai devient disponible le 1er janvier.",hyp2
1,Using GPS navigation apps can be the easiest and most convenient way to navigate when out of your home country.,Utiliser des applications de navigation GPS peut être la méthode la plus facile et la plus pratique pour se diriger lorsque vous êtes hors de votre pays d'origine.,Utiliser des applications de navigation GPS peut être la méthode la plus facile et la plus pratique pour se diriger dans un pays étranger.,hyp2
2,The manuscript was added to the list of New Testament manuscripts by Caspar René Gregory (278) and Frederick Henry Ambrose Scrivener (number 329).,Le manuscrit a été ajouté à la liste des manuscrits du Nouveau Testament par Caspar René Gregory (278) et Frederick Henry Ambrose Scrivener (numéro 329).,Les manuscrits ont été découverts par des archéologues français.,hyp2
3,"He also donated $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.","Il a également fait un don de 34 000 $ à Ted Cruz et de 7 000 $ US à Mitt Romney, y compris à sa campagne présidentielle de 2016.",Il a donné 34 000 dollars à Ted Cruz et 7 000 dollars à Mitt Romney pour des motifs personnels.,hyp2
4,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.","Le président des États-Unis George W. Bush est arrivé à Singapour le matin du 16 novembre, débute une semaine de voyage en Asie.","Le président des États-Unis George W. Bush est arrivé à Singapour le matin du 16 novembre, démarche d'une semaine de voyage en Asie.",hyp1
5,The American pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.,L'américain pionnier John Sutter (1803-1880) arriva en Alta-Californie avec d'autres colons euro-suisses en août 1839.,"John Sutter, un pionnier américain, est arrivé en Californie en 1839 avec d'autres Européens.",
6,"Zedtwitz was president of the American Contract Bridge League in 1932, one of the organizations whose merger founded the American Bridge League in 1937.","Zedtwitz a été président de l'American Contract Bridge League en 1932, l'une des organisations qui ont fondé la Ligue américaine de bridge en 1937 par une fusion.","Zedtwitz a été président de la Ligue Américaine de Bridge en 1932, l'une des organisations qui ont fondé la Ligue Américaine de Bridge en 1937.",hyp2
7,The issue started on January 1st when dozens of local residents started complaining to the Obanazawa Post Office that they hadn't received their traditional and regular New Year cards.,"Le problème a commencé le 1er mars, lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de Noël traditionnelles et régulières.","Le problème a commencé le 1er janvier, lorsque des dizaines de résidents locaux ont commencé à se plaindre au bureau de poste d'Obanazawa qu'ils n'avaient pas reçu leurs cartes de Nouvel An traditionnelles et régulières.",hyp1
8,"On April 30, 1983, a C-311 that was assigned to NAS Jacksonville, Cuba, at NAS Guantanamo Bay crashed with the loss of 13 lives.","En avril 1983, un C-311 s'est écrasé à Cuba.","Le 30 avril 1983, un C-311, affecté à la NAS Jacksonville, à Cuba, à la base navale de Guantanamo Bay, s'est écrasé entraînant la perte de 13 vies.",hyp1
9,The first cases of the disease this season were reported in late July.,Les premiers cas de la maladie de cette saison ont été signalés fin octobre.,Les premiers cas de la maladie de cette saison ont été signalés fin juillet.,hyp1
10,He was selected by the Philadelphia 76ers in the 77th round (7th pick overall) of the 1967 NBA Draft.,Il a été sélectionné par les 76ers de Philadelphie dans la 77ème tour (7ème choix global) de la draft NBA 1967.,Il a été sélectionné par les 76ers de Philadelphie dans la 77e tour (7e choix overall) de la draft NBA 1967.,hyp2
11,"She was raised by the Germans and sunk by Allied bombers twice in 1943 -- 1944, and finally scrapped in 1946 -- 1947.","Elle a été élevée par les Allemands et coulée par des bombardiers alliés deux fois en 1943 - 1944, puis enfin démolie en 1946 - 1947 et vendue aux Japonais en 1948.","Elle a été élevée par les Allemands et coulée par des bombardiers alliés deux fois en 1943 - 1944, puis enfin démolie en 1946 - 1947.",hyp1
12,"Retzius was born in Stockholm, son of the anatomist Anders Retzius (and grandson of the naturalist and chemist Anders Jahan Retzius).","Retzius est né à Stockholm, fils de l'anatomiste Anders Retzius (et grandson du naturalist et du chimiste Anders Jahan Retzius).","Retzius est né à Stockholm, fils d'un anatomiste Anders Retzius (et grandson d'un naturalist et d'un chimiste Anders Jahan Retzius).",hyp1
13,``Acoustic and Live: Pure ''was released in early 2003.,Pure was released in the early 2000s.,Pure was released in early 2003.,hyp1
14,"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.","Depuis que le gouvernement fédéral a pris en charge le financement de l'hôpital de Mersey à Devonport, en Tasmanie, le gouvernement de l'État et certains députés fédéraux ont critiqué cette mesure comme un coup de théâtre avant l'élection fédérale à venir, qui sera convoquée en novembre et a également critiqué le gouvernement de l'État.","Depuis que le gouvernement fédéral a pris en charge le financement de l'hôpital de Mersey à Devonport, en Tasmanie, le gouvernement de l'État et certains députés fédéraux ont critiqué cette mesure comme un coup de théâtre avant l'élection fédérale à venir, qui sera convoquée en novembre.",hyp1
15,Couchsurfing was founded in January 2004 after computer programmer Casey Fenton found a cheap flight to Iceland but did not have a place to stay.,Couchsurfing a été fondé en janvier 2004 après que le programmeur informatique Casey Fenton ait trouvé un vol bon marché pour l'Islande mais n'avait pas de logement.,"Couchsurfing a été créé en février 2004 après que Casey Fenton, plombier de profession, ait trouvé un vol bon marché pour la Norvège mais n'avait pas de logement.",hyp1
16,"Like many ethnic communities in Uganda, including the Langi, Acholi, and Alur, the Luo do not practice the ritual circumcision of males as initiation.","Les Luo sont connus pour leur pratique de la circoncision rituelle des hommes comme initiation, contrairement à d'autres communautés ethniques en Ouganda.","Comme beaucoup de communautés ethniques en Ouganda, y compris les Langi, les Acholi et les Alur, les Luo ne pratiquent pas la circoncision rituelle des hommes comme initiation.",hyp1
17,"Robbins was born in Coventry on 21 September 1933, with his twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.","Robbins est né à Coventry en 1933, avec son frère jumeau David, et il est le premier enfant de Charles et Jessamine Robbins.","Robbins est né à Coventry le 21 septembre 1933, avec son jumeau David, huitième et neuvième enfants de douze que Charles et Jessamine Robbins ont eus.",hyp2
18,The Măgheruş River is a tributary of the Giuroc River in Romania.,Le fleuve Măgheruş est un affluent du fleuve Giuroc en Roumanie.,Le Măgheruş River est un sous-fleuve du Giuroc River en France.,
19,"The temple of Artemis at Ephesus was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",Le temple d'Artémis d'Ephèse a été détruit le 21 juillet 356 av. J.-C. par un incendie criminel commis par Herostrate.,Le temple d'Artémis d'Ephèse a été détruit le 21 juillet 356 av. J.-C. par un incendie criminel perpétré par Herostratus.,hyp2
20,"In 1924 he was an invited spokesperson for the ICM in Toronto, in 1932 in Zurich and in Oslo in 1936.","En 1924, il était un orateur invité pour l'ICM à Toronto, en 1932 à Zurich et en 1936 à Oslo.","En 1924, il a été invité à être le porte-parole de l'ICM à Toronto, en 1932 à Zurich et en 1936 à Oslo.",hyp1
